holding_identifier,company_name,old_sector,new_sector,old_gics_subindustry_code,new_gics_subindustry_code,effective_close_date,new_sector_valid_from,change_group,primary_source_url,secondary_source_url,evidence_note
525327102,Leidos Holdings Inc,Information Technology,Industrials,45102010,20202020,2021-02-26,2021-03-01,COMPANY_SPECIFIC,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=ec8i7koGwNY%3D,,MSCI GICS announcement states Leidos changes from IT Consulting & Other Services to Research & Consulting Services as of the close of 2021-02-26.
879360105,Teledyne Technologies Inc,Industrials,Information Technology,20101010,45203010,2021-08-31,2021-09-01,COMPANY_SPECIFIC,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=mJJG2rhaVeQ%3D,,MSCI GICS announcement states Teledyne changes from Aerospace & Defense to Electronic Equipment & Instruments as of the close of 2021-08-31.
776696106,Roper Technologies Inc,Industrials,Information Technology,20105010,45103010,2022-04-29,2022-05-02,COMPANY_SPECIFIC,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=dJ8PmmJy8xk%3D,,MSCI GICS announcement states Roper changes from Industrial Conglomerates to Application Software as of the close of 2022-04-29.
053015103,Automatic Data Processing Inc,Information Technology,Industrials,45102020,20202010,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
11133T103,Broadridge Financial Solutions Inc,Information Technology,Industrials,45102020,20202030,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
15677J108,Ceridian HCM Holding Inc,Information Technology,Industrials,45103010,20202010,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
256677105,Dollar General Corp,Consumer Discretionary,Consumer Staples,25503020,30101040,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
256746108,Dollar Tree Inc,Consumer Discretionary,Consumer Staples,25503020,30101040,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
31620M106,Fidelity National Information Services Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
337738108,Fiserv Inc,Information Technology,Financials,45102020,40201060,2023-03-17,2023-03-20,2023_GICS_STRUCTURE_REVISION,https://www.spglobal.com/spdji/en/documents/indexnews/announcements/20220630-1453818/1453818_2023gicspressreleaseselectlistjune2022-final.pdf,https://app2.msci.com/webapp/index_ann/DocGet?format=html&lang=en&pub_key=9piYXWAaifg%3D,S&P DJI/MSCI state the 2023 GICS structure revision was implemented in GICS Direct and S&P DJI indices after the close of 2023-03-17; MSCI's detailed impacted-company announcement confirms this company's old and new GICS sub-industry.
