accession_number,filing_date,accepted_date,report_date,series_id,series_name,gics_sector,sector_etf_ticker,holding_name,holding_title,holding_ticker,cusip,isin,lei,identifier_type,holding_identifier,value_usd,pct_value,source_file,source_type
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,EQT Corp,EQT Corp,,26884L109,US26884L1098,4NT01YGM4X7ZX86ISY52,CUSIP,26884L109,641623779.22,2.382910206186,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Valero Energy Corp,Valero Energy Corp,,91913Y100,US91913Y1001,549300XTO5VR8SKV1V74,CUSIP,91913Y100,999073591.54,3.710433956962,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Marathon Petroleum Corp,Marathon Petroleum Corp,,56585A102,US56585A1025,3BNYRYQHD39K4LCKQF12,CUSIP,56585A102,1106853780.2,4.110716053574,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Schlumberger NV,Schlumberger NV,,806857108,AN8068571086,213800ZUA17OK3QLGM62,CUSIP,806857108,968618914.48,3.597329107761,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,EOG Resources Inc,EOG Resources Inc,,26875P101,US26875P1012,XWTZDRYZPBUHIQBKDB46,CUSIP,26875P101,1115967023.24,4.144561494711,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Williams Cos Inc/The,Williams Cos Inc/The,,969457100,US9694571004,D71FAKCBLFS2O0RBPG08,CUSIP,969457100,1290481627.75,4.792686838072,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Coterra Energy Inc,Coterra Energy Inc,,127097103,US1270971039,FCNMH6O7VWU7LHXMK351,CUSIP,127097103,340921797.7,1.266140778383,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Phillips 66,Phillips 66,,718546104,US7185461040,5493005JBO5YSIGK1814,CUSIP,718546104,1038333833.7,3.856241570037,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Baker Hughes Co,Baker Hughes Co,,05722G100,US05722G1004,N/A,CUSIP,05722G100,907292048.88,3.369568824111,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001410368-25-031925,2025-11-26,,2025-09-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,Targa Resources Corp,Targa Resources Corp,,87612G101,US87612G1013,5493003QENHHS261UR94,CUSIP,87612G101,681030330.28,2.529261192158,data\reference\gics\sec_select_sector_submission_text\0001410368-25-031925.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
