accession_number,filing_date,accepted_date,report_date,series_id,series_name,gics_sector,sector_etf_ticker,equity_rows,source_file,source_type
0001752724-21-043958,2021-02-26,,2020-12-31,S000006408,The Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary,XLY,62,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043958.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043875,2021-02-26,,2020-12-31,S000006409,The Consumer Staples Select Sector SPDR Fund,Consumer Staples,XLP,32,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043875.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043939,2021-02-26,,2020-12-31,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,25,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043939.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043901,2021-02-26,,2020-12-31,S000006411,The Financial Select Sector SPDR Fund,Financials,XLF,65,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043901.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043965,2021-02-26,,2020-12-31,S000006412,The Health Care Select Sector SPDR Fund,Health Care,XLV,63,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043965.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043812,2021-02-26,,2020-12-31,S000006413,The Industrial Select Sector SPDR Fund,Industrials,XLI,73,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043812.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043893,2021-02-26,,2020-12-31,S000006414,The Materials Select Sector SPDR Fund,Materials,XLB,28,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043893.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043938,2021-02-26,,2020-12-31,S000006415,The Technology Select Sector SPDR Fund,Information Technology,XLK,73,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043938.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043786,2021-02-26,,2020-12-31,S000006416,The Utilities Select Sector SPDR Fund,Utilities,XLU,28,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043786.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043947,2021-02-26,,2020-12-31,S000051152,The Real Estate Select Sector SPDR Fund,Real Estate,XLRE,30,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043947.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-043839,2021-02-26,,2020-12-31,S000062095,The Communication Services Select Sector SPDR Fund,Communication Services,XLC,26,data\reference\gics\sec_select_sector_submission_text\0001752724-21-043839.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118971,2021-05-28,,2021-03-31,S000006408,The Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary,XLY,63,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118971.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118949,2021-05-28,,2021-03-31,S000006409,The Consumer Staples Select Sector SPDR Fund,Consumer Staples,XLP,32,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118949.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118924,2021-05-28,,2021-03-31,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,23,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118924.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118911,2021-05-28,,2021-03-31,S000006411,The Financial Select Sector SPDR Fund,Financials,XLF,65,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118911.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118943,2021-05-28,,2021-03-31,S000006412,The Health Care Select Sector SPDR Fund,Health Care,XLV,63,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118943.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-119019,2021-05-28,,2021-03-31,S000006413,The Industrial Select Sector SPDR Fund,Industrials,XLI,74,data\reference\gics\sec_select_sector_submission_text\0001752724-21-119019.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-119083,2021-05-28,,2021-03-31,S000006414,The Materials Select Sector SPDR Fund,Materials,XLB,28,data\reference\gics\sec_select_sector_submission_text\0001752724-21-119083.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118952,2021-05-28,,2021-03-31,S000006415,The Technology Select Sector SPDR Fund,Information Technology,XLK,74,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118952.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118938,2021-05-28,,2021-03-31,S000006416,The Utilities Select Sector SPDR Fund,Utilities,XLU,28,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118938.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118934,2021-05-28,,2021-03-31,S000051152,The Real Estate Select Sector SPDR Fund,Real Estate,XLRE,29,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118934.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-118956,2021-05-28,,2021-03-31,S000062095,The Communication Services Select Sector SPDR Fund,Communication Services,XLC,26,data\reference\gics\sec_select_sector_submission_text\0001752724-21-118956.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-189794,2021-08-27,,2021-06-30,S000006408,The Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary,XLY,63,data\reference\gics\sec_select_sector_submission_text\0001752724-21-189794.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-189799,2021-08-27,,2021-06-30,S000006409,The Consumer Staples Select Sector SPDR Fund,Consumer Staples,XLP,32,data\reference\gics\sec_select_sector_submission_text\0001752724-21-189799.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-189805,2021-08-27,,2021-06-30,S000006410,The Energy Select Sector SPDR Fund,Energy,XLE,22,data\reference\gics\sec_select_sector_submission_text\0001752724-21-189805.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
0001752724-21-189783,2021-08-27,,2021-06-30,S000006411,The Financial Select Sector SPDR Fund,Financials,XLF,65,data\reference\gics\sec_select_sector_submission_text\0001752724-21-189783.txt,SEC_NPORT_P_COMPLETE_SUBMISSION
