security_key,gics_sector,sector_valid_from,sector_valid_to_exclusive,source_basis
A,Health Care,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AAL,Industrials,2021-01-01,2024-09-23,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AAP,Consumer Discretionary,2021-01-01,2023-08-25,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AAPL,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ABBV,Health Care,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ABMD,Health Care,2021-01-01,2022-12-22,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ABNB,Consumer Discretionary,2023-09-18,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ABT,Health Care,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ACGL,Financials,2022-11-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ACN,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ADBE,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ADI,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ADM,Consumer Staples,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ADP,Information Technology,2021-01-01,2023-03-20,SEC_QUARTERLY_STATE_PLUS_AUTHORITATIVE_GICS_TRANSITION
ADP,Industrials,2023-03-20,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ADSK,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AEE,Utilities,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AEP,Utilities,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AES,Utilities,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AFL,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AIG,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AIZ,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AJG,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AKAM,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ALB,Materials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ALGN,Health Care,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ALK,Industrials,2021-01-01,2023-12-18,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ALL,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ALLE,Industrials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ALXN,Health Care,2021-01-01,2021-07-21,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMAT,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMCR,Materials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMD,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AME,Industrials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMGN,Health Care,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMP,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMT,Real Estate,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMTM,Industrials,2024-09-30,2024-12-23,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AMZN,Consumer Discretionary,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ANET,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ANSS,Information Technology,2021-01-01,2025-07-18,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AON,Financials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AOS,Industrials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
APA,Energy,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
APD,Materials,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
APH,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
APO,Financials,2024-12-23,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
APP,Information Technology,2025-09-22,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
APTV,Consumer Discretionary,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ARE,Real Estate,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ARES,Financials,2025-12-11,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ATO,Utilities,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
ATVI,Communication Services,2021-01-01,2023-10-18,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AVB,Real Estate,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
AVGO,Information Technology,2021-01-01,2026-01-01,SEC_QUARTERLY_STATE_PLUS_OFFICIAL_MEMBERSHIP_GICS
