security_key,latest_project_ticker,from_name_key,to_name_key,bounded_start,bounded_end,resolution_status,exact_legal_effective_date,public_or_trading_effective_date,source_type,source_title,source_url,evidence_note,production_implication
BXP,BXP,BOSTON PROPERTIES,BXP,2024-06-30,2024-09-30,RESOLVED_TRUE_LEGAL_RENAME,2024-07-01,2024-07-01,SEC_8K,BXP 2024-06-20 Form 8-K,https://www.sec.gov/Archives/edgar/data/1037540/000165642324000036/bxp-20240620.htm,"Boston Properties, Inc. amended its certificate of incorporation; name BXP, Inc. effective 12:00 a.m. EDT July 1, 2024.",TRUE_RENAME
CCI,CCI,CROWN CASTLE INTERNATIONAL,CROWN CASTLE,2022-06-30,2022-09-30,RESOLVED_TRUE_LEGAL_RENAME,2022-08-01,2022-08-01,SEC_10Q,Crown Castle 2022 Q2 Form 10-Q,https://www.sec.gov/Archives/edgar/data/1051470/000105147022000153/cci-20220630.htm,"Crown Castle officially changed its legal name from Crown Castle International Corp. to Crown Castle Inc. on August 1, 2022.",TRUE_RENAME
CI,CI,CIGNA,CIGNA GROUP,2022-12-31,2023-03-31,RESOLVED_TRUE_LEGAL_RENAME,2023-02-13,2023-02-23,SEC_8K,The Cigna Group 2023-02-13 Form 8-K,https://www.sec.gov/Archives/edgar/data/1739940/000095015923000019/cigna8k.htm,"Cigna Corporation changed its corporate name to The Cigna Group effective February 13, 2023; NYSE began trading under the new company name February 23.",TRUE_RENAME_DUAL_PUBLIC_DATE
COR,COR,AMERISOURCEBERGEN,CENCORA,2023-06-30,2023-09-30,RESOLVED_TRUE_LEGAL_RENAME,2023-08-30,2023-08-30,SEC_8K,Cencora 2023-08-30 Form 8-K,https://www.sec.gov/Archives/edgar/data/1140859/000110465923096698/tm2324358d1_8k.htm,"AmerisourceBergen Corporation changed its name to Cencora, Inc. and changed ticker ABC to COR on August 30, 2023.",TRUE_RENAME
CPAY,CPAY,FLEETCOR TECHNOLOGIES,CORPAY,2023-12-31,2024-03-31,RESOLVED_TRUE_LEGAL_RENAME_WITH_ONE_DAY_PUBLIC_LAG,2024-03-24,2024-03-25,SEC_CERTIFICATE_AND_10Q,FLEETCOR certificate of ownership/merger and Corpay 2024 Q1 Form 10-Q,https://www.sec.gov/Archives/edgar/data/1175454/000162828024010593/exhibit31certificateofowne.htm|https://www.sec.gov/Archives/edgar/data/1175454/000162828024021986/cpay-20240331.htm,"Certificate made Corpay, Inc. the surviving corporate name effective March 24, 2024; company states corporate name/ticker transition effective March 25, 2024.",TRUE_RENAME_DUAL_PUBLIC_DATE
CPB,CPB,CAMPBELL SOUP,CAMPBELL S,2024-09-30,2024-12-31,RESOLVED_TRUE_LEGAL_RENAME,2024-11-19,2024-11-19,SEC_8K,The Campbell's Company 2024-11-19 Form 8-K,https://www.sec.gov/Archives/edgar/data/16732/000001673224000194/cpb-20241119.htm,"Shareholders approved and the charter amendment became effective November 19, 2024, changing Campbell Soup Company to The Campbell's Company.",TRUE_RENAME
CRM,CRM,SALESFORCE COM,SALESFORCE,2022-03-31,2022-06-30,RESOLVED_TRUE_LEGAL_RENAME,2022-04-04,2022-04-04,SEC_8K,Salesforce 2022-04-04 Form 8-K,https://www.sec.gov/Archives/edgar/data/1108524/000119312522094496/d347891d8k.htm,"salesforce.com, inc. changed its legal name to Salesforce, Inc. effective April 4, 2022.",TRUE_RENAME
CSCO,CSCO,CISCO SYSTEMS,CISCO SYSTEMS INC DELAWARE,2020-12-31,2021-03-31,REJECT_FALSE_TRANSITION_NPORT_LABEL_VARIANT,,,SEC_10K_10Q,Cisco 2021 Form 10-K / 2021-2022 filings,https://www.sec.gov/Archives/edgar/data/858877/000085887721000013/csco-20210731.htm,"Cisco Systems, Inc. remained the SEC registrant name; 'Inc Delaware' is a holdings-label/jurisdiction variant, not a company rename.",NO_RENAME_CANONICALIZE_LABEL_VARIANT
CSCO,CSCO,CISCO SYSTEMS INC DELAWARE,CISCO SYSTEMS,2021-12-31,2022-03-31,REJECT_FALSE_TRANSITION_NPORT_LABEL_VARIANT,,,SEC_10K_10Q,Cisco 2021 Form 10-K / 2022 Form 8-K,https://www.sec.gov/Archives/edgar/data/858877/000119312522037227/d537278d8k.htm,"Cisco Systems, Inc. remained the legal registrant; the apparent reverse transition is further evidence of NPORT naming variation rather than a legal rename.",NO_RENAME_CANONICALIZE_LABEL_VARIANT
CTRA,CTRA,CABOT OIL AND GAS,COTERRA ENERGY,2021-09-30,2021-12-31,RESOLVED_TRUE_LEGAL_RENAME_MERGER,2021-10-01,2021-10-04,SEC_8K,Cabot/Coterra 2021-10-01 Form 8-K,https://www.sec.gov/Archives/edgar/data/858470/000110465921122041/tm2129019d1_8k.htm,"Cabot Oil & Gas Corporation completed the Cimarex combination and changed its name to Coterra Energy Inc. on October 1, 2021; CTRA trading began October 4.",TRUE_RENAME_DUAL_PUBLIC_DATE
EG,EG,EVEREST RE GROUP,EVEREST GROUP,2023-06-30,2023-09-30,RESOLVED_TRUE_LEGAL_RENAME,2023-07-10,2023-07-10,SEC_10Q,Everest Group 2023 Q2 Form 10-Q,https://www.sec.gov/Archives/edgar/data/1095073/000109507323000039/eg-20230630.htm,"Everest Re Group, Ltd. changed its name to Everest Group, Ltd. effective July 10, 2023, with ticker EG.",TRUE_RENAME
ELV,ELV,ANTHEM,ELEVANCE HEALTH,2022-03-31,2022-06-30,RESOLVED_TRUE_LEGAL_RENAME,2022-06-27,2022-06-28,SEC_10K,Elevance Health 2022 Form 10-K,https://www.sec.gov/Archives/edgar/data/1156039/000115603923000007/elv-20221231.htm,"Anthem, Inc. name change to Elevance Health, Inc. went into effect June 27, 2022; company began operating/trading as Elevance Health/ELV June 28.",TRUE_RENAME_DUAL_PUBLIC_DATE
FFIV,FFIV,F5 NETWORKS,F5,2021-09-30,2021-12-31,RESOLVED_TRUE_LEGAL_RENAME,2021-11-12,2021-11-12,SEC_8K,F5 2021-11-12 Form 8-K,https://www.sec.gov/Archives/edgar/data/1048695/000104869521000041/ffiv-20211112.htm,"F5 Networks, Inc. changed its legal name to F5, Inc. effective November 12, 2021.",TRUE_RENAME
