security_key,project_ticker,primary_source,primary_symbol,primary_status,fallback_source,fallback_symbol,resolution_status,source_url,notes
ABMD,ABMD,Yahoo Finance,ABMD,FAILED,Tiingo,ABMD,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/ABMD,Yahoo Finance: $ABMD: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 750. Returned range: 2020-01-02 through 2022-12-21. Required-field null count: 0. Duplicate dates: 0.
ALXN,ALXN,Yahoo Finance,ALXN,FAILED,Tiingo,ALXN,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/ALXN,Yahoo Finance: $ALXN: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 390. Returned range: 2020-01-02 through 2021-07-20. Required-field null count: 0. Duplicate dates: 0.
ANSS,ANSS,Yahoo Finance,ANSS,FAILED,Tiingo,ANSS,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/ANSS,Yahoo Finance: $ANSS: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 1392. Returned range: 2020-01-02 through 2025-07-17. Required-field null count: 0. Duplicate dates: 0.
ATVI,ATVI,Yahoo Finance,ATVI,FAILED,Tiingo,ATVI,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/ATVI,Yahoo Finance: $ATVI: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 953. Returned range: 2020-01-02 through 2023-10-13. Required-field null count: 0. Duplicate dates: 0.
CERN,CERN,Yahoo Finance,CERN,FAILED,Tiingo,CERN,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/CERN,Yahoo Finance: $CERN: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 613. Returned range: 2020-01-02 through 2022-06-07. Required-field null count: 0. Duplicate dates: 0.
CMA,CMA,Yahoo Finance,CMA,FAILED,Tiingo,CMA,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/CMA,Yahoo Finance: $CMA: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 1125. Returned range: 2020-01-02 through 2024-06-21. Required-field null count: 0. Duplicate dates: 0.
CTLT,CTLT,Yahoo Finance,CTLT,FAILED,Tiingo,CTLT,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/CTLT,Yahoo Finance: $CTLT: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 1250. Returned range: 2020-01-02 through 2024-12-18. Required-field null count: 0. Duplicate dates: 0.
CTRA,CTRA,Yahoo Finance,CTRA,FAILED,Tiingo,CTRA,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/CTRA,Yahoo Finance: $CTRA: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 1508. Returned range: 2020-01-02 through 2025-12-31. Required-field null count: 0. Duplicate dates: 0.
CTXS,CTXS,Yahoo Finance,CTXS,FAILED,Tiingo,CTXS,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/CTXS,Yahoo Finance: $CTXS: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 693. Returned range: 2020-01-02 through 2022-09-30. Required-field null count: 0. Duplicate dates: 0.
CXO,CXO,Yahoo Finance,CXO,FAILED,Tiingo,CXO,FALLBACK_VALIDATED,https://api.tiingo.com/tiingo/daily/CXO,Yahoo Finance: $CXO: possibly delisted; no timezone found Tiingo direct-symbol fallback validated. Rows returned: 263. Returned range: 2020-01-02 through 2021-01-15. Required-field null count: 0. Duplicate dates: 0.
