announcement_date,effective_date,index_name,action,company_name,ticker,gics_sector,source_type,source_url,notes
2026-02-04,2026-02-09,S&P 500,Addition,Ciena,CIEN,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2026-02-04-Ciena-Set-to-Join-S-P-500-Arrowhead-Pharmaceuticals-to-Join-S-P-MidCap-400-ADT-and-OneSpaWorld-Holdings-to-Join-S-P-SmallCap-600,"Replaced Dayforce following acquisition"
2026-02-04,2026-02-09,S&P 500,Deletion,Dayforce,DAY,Industrials,S&P DJI Press Release,https://press.spglobal.com/2026-02-04-Ciena-Set-to-Join-S-P-500-Arrowhead-Pharmaceuticals-to-Join-S-P-MidCap-400-ADT-and-OneSpaWorld-Holdings-to-Join-S-P-SmallCap-600,"Acquired by Thoma Bravo"
2026-03-06,2026-03-23,S&P 500,Addition,Vertiv Holdings,VRT,Industrials,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Addition,Lumentum Holdings,LITE,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Addition,Coherent,COHR,Information Technology,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Addition,EchoStar,SATS,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Deletion,Match Group,MTCH,Communication Services,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Deletion,Molina Healthcare,MOH,Health Care,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Deletion,Lamb Weston Holdings,LW,Consumer Staples,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-03-06,2026-03-23,S&P 500,Deletion,Paycom Software,PAYC,Industrials,S&P DJI Press Release,https://press.spglobal.com/2026-03-06-Vertiv-Holdings%2C-Lumentum-Holdings%2C-Coherent%2C-and-EchoStar-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400%2C-and-S-P-SmallCap-600,"Quarterly rebalance"
2026-04-06,2026-04-09,S&P 500,Addition,Casey's General Stores,CASY,Consumer Staples,S&P DJI Press Release,https://press.spglobal.com/2026-04-06-Caseys-General-Stores-Set-to-Join-S-P-500-DigitalOcean-Holdings-to-Join-S-P-MidCap-400-Broadstone-Net-Lease-to-Join-S-P-SmallCap-600,"Replaced Hologic"
2026-04-06,2026-04-09,S&P 500,Deletion,Hologic,HOLX,Health Care,S&P DJI Press Release,https://press.spglobal.com/2026-04-06-Caseys-General-Stores-Set-to-Join-S-P-500-DigitalOcean-Holdings-to-Join-S-P-MidCap-400-Broadstone-Net-Lease-to-Join-S-P-SmallCap-600,"Removed following acquisition"
2026-04-30,2026-05-07,S&P 500,Addition,Veeva Systems,VEEV,Health Care,S&P DJI Press Release,https://press.spglobal.com/2026-04-30-Veeva-Systems-Set-to-Join-S-P-500,"Replaced Coterra Energy"
2026-04-30,2026-05-07,S&P 500,Deletion,Coterra Energy,CTRA,Energy,S&P DJI Press Release,https://press.spglobal.com/2026-04-30-Veeva-Systems-Set-to-Join-S-P-500,"Acquisition by Devon Energy"
2026-05-27,2026-06-01,S&P 500,Addition,FedEx Freight,FDXF,Industrials,S&P DJI Press Release,https://press.spglobal.com/2026-05-27-FedEx-Freight-Holding-Company-Set-to-Join-S-P-500-EPAM-Systems-and-Dave-to-Join-S-P-SmallCap-600,"FedEx spin-off; official table gives June 1 addition date"
