security_key,project_ticker,company_name,market_inception_date,regular_way_start_date,event_type,parent_company,inception_market_type,date_basis,evidence_status,source_type,source_url_primary,source_url_secondary,notes
CARR,CARR,Carrier Global Corporation,2020-03-18,2020-04-03,SPIN_OFF,United Technologies Corporation,WHEN_ISSUED,OFFICIAL_EXPECTED,VERIFIED,SEC / Company Press Release,https://www.sec.gov/Archives/edgar/data/101829/000114036120005675/nc10009877x1_ex99-1.htm,,"UTC stated that when-issued trading for Carrier was expected to begin on or around 2020-03-18 under CARR-WI. Regular-way trading began following the separation on 2020-04-03. Yahoo history currently begins 2020-03-19, so the approximate when-issued boundary must remain visible during validation."
OTIS,OTIS,Otis Worldwide Corporation,2020-03-18,2020-04-03,SPIN_OFF,United Technologies Corporation,WHEN_ISSUED,OFFICIAL_EXPECTED,VERIFIED,SEC / Company Press Release,https://www.sec.gov/Archives/edgar/data/101829/000114036120005675/nc10009877x1_ex99-1.htm,,UTC stated that when-issued trading for Otis was expected to begin on or around 2020-03-18 under OTIS-WI. Regular-way trading began following the separation on 2020-04-03. Yahoo history currently begins 2020-03-19.
VNT,VNT,Vontier Corporation,2020-09-24,2020-10-09,SPIN_OFF,Fortive Corporation,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company Investor Relations,https://investors.fortive.com/news-events/press-releases/detail/109/fortive-announces-expected-completion-date-of-october-9-2020-for-spin-off-of-vontier,,Fortive announced that Vontier when-issued trading was expected to begin 2020-09-24 under VNT WI. Regular-way trading was expected to begin 2020-10-09.
OGN,OGN,Organon & Co.,2021-05-14,2021-06-03,SPIN_OFF,"Merck & Co., Inc.",WHEN_ISSUED,OFFICIAL_WINDOW_PLUS_PROVIDER_OBSERVATION,CORROBORATED,SEC Information Statement,https://www.sec.gov/Archives/edgar/data/1821825/000119312521140380/d56612dex991.htm,https://www.sec.gov/Archives/edgar/data/1821825/000182182522000002/ogn-20211231.htm,"Organon's information statement said a when-issued market was expected on or shortly before the 2021-05-17 record date. The first validated provider observation is 2021-05-14, consistent with that official window. Regular-way trading commenced 2021-06-03."
CEG,CEG,Constellation Energy Corporation,2022-01-19,2022-02-02,SPIN_OFF,Exelon Corporation,WHEN_ISSUED,EXCHANGE_EXACT,VERIFIED,Nasdaq Corporate Actions,https://www.nasdaqtrader.com/TraderNews.aspx?id=eca2022-5,,Nasdaq established the CEGVV when-issued market with first trade date 2022-01-19. The symbol changed to CEG when regular-way trading began 2022-02-02.
MBC,MBC,"MasterBrand, Inc.",2022-12-09,2022-12-15,SPIN_OFF,"Fortune Brands Home & Security, Inc.",WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company Investor Relations,https://ir.fbin.com/news-releases/news-release-details/fortune-brands-board-directors-approves-separation-masterbrand,,"Fortune Brands stated that MasterBrand when-issued trading would commence on or about 2022-12-09 under MBC WI, with regular-way MBC trading beginning 2022-12-15."
GEHC,GEHC,GE HealthCare Technologies Inc.,2022-12-16,2023-01-04,SPIN_OFF,General Electric Company,WHEN_ISSUED,COMPANY_10K_EXACT,VERIFIED,SEC Form 10-K,https://www.sec.gov/Archives/edgar/data/1932393/000193239323000025/gehc-20221231.htm,,"GE HealthCare's Form 10-K states that a when-issued trading market began 2022-12-16 and regular-way trading began 2023-01-04. Yahoo contains a 2022-12-15 observation, which will remain a separate one-session review rather than changing the official inception."
KVUE,KVUE,Kenvue Inc.,2023-05-04,2023-05-04,IPO,Johnson & Johnson,REGULAR_WAY_IPO,OFFICIAL_EXACT,VERIFIED,Company Investor Relations,https://investors.kenvue.com/financial-news/news-details/2023/Kenvue-to-Begin-Trading-on-the-New-York-Stock-Exchange/default.aspx,,Kenvue began NYSE trading under KVUE on 2023-05-04 in connection with its IPO. No independent public Kenvue price history exists before the IPO.
FTRE,FTRE,Fortrea Holdings Inc.,2023-06-16,2023-07-03,SPIN_OFF,Laboratory Corporation of America Holdings,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company Investor Relations,https://ir.fortrea.com/news-releases/news-release-details/labcorp-announces-additional-information-connection-its-spin,,Labcorp expected Fortrea's when-issued market to begin on or around 2023-06-16 under FTREV. Regular-way trading was expected to begin 2023-07-03.
PHIN,PHIN,PHINIA Inc.,2023-06-28,2023-07-05,SPIN_OFF,BorgWarner Inc.,WHEN_ISSUED,OFFICIAL_RULE_DERIVED,VERIFIED,SEC Information Statement,https://www.sec.gov/Archives/edgar/data/1968915/000162828023018828/exhibit991-form10.htm,https://www.borgwarner.com/newsroom/press-releases/2023/06/14/borgwarner-announces-anticipated-completion-date-of-phinia-spin-off,PHINIA stated that a when-issued market would develop on the third trading day before the 2023-07-03 distribution date. That produces 2023-06-28. Regular-way trading began 2023-07-05 after the July 4 market holiday.
VLTO,VLTO,Veralto Corporation,2023-09-27,2023-10-02,SPIN_OFF,Danaher Corporation,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company Investor Relations / SEC Form 10-K,https://investors.danaher.com/2023-08-25-Danaher-Declares-pro-Rata-Dividend-of-Veralto-Common-Stock-and-Announces-Expected-When-issued-Trading-of-Veralto-Common-Stock,https://www.sec.gov/Archives/edgar/data/1967680/000196768024000033/vlto-20231231.htm,Danaher explicitly announced that Veralto when-issued trading was expected to begin 2023-09-27 under VLTO WI. Regular-way VLTO trading began 2023-10-02. Yahoo history begins 2023-10-04. Tiingo subsequently identified the when-issued instrument as VLTO-W and returned all three 2023-09-27 through 2023-09-29 sessions.
SOLV,SOLV,Solventum Corporation,2024-03-26,2024-04-01,SPIN_OFF,3M Company,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company SEC Filing,https://investors.solventum.com/financials/sec-filings/content/0001628280-24-010988/solventum-effectiveness8xk.htm,,Solventum expected when-issued trading to begin on or about 2024-03-26 under SOLV WI. Regular-way trading began 2024-04-01.
GEV,GEV,GE Vernova Inc.,2024-03-27,2024-04-02,SPIN_OFF,General Electric Company,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company Press Release,https://www.ge.com/news/press-releases/ge-board-of-directors-approves-spin-off-of-ge-vernova-ge-vernova-and-ge-aerospace-to,,GE anticipated when-issued GE Vernova trading beginning on or about 2024-03-27 under GEV WI. Regular-way GEV trading began 2024-04-02.
AMTM,AMTM,"Amentum Holdings, Inc.",2024-09-24,2024-09-30,SPIN_OFF_AND_COMBINATION,Jacobs Solutions Inc.,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,SEC Filing,https://www.sec.gov/Archives/edgar/data/52988/000119312524219294/d876828dex991.htm,,Jacobs expected Amentum when-issued trading to commence on or about 2024-09-24 under AMTM WI. Regular-way trading began 2024-09-30.
SNDK,SNDK,Sandisk Corporation,2025-02-13,2025-02-24,SPIN_OFF,Western Digital Corporation,WHEN_ISSUED,EXCHANGE_EXACT,VERIFIED,Nasdaq Corporate Actions / SEC,https://www.nasdaqtrader.com/TraderNews.aspx?id=ECA2025-38,https://www.sec.gov/Archives/edgar/data/2023554/000119312525027285/d229754d8k.htm,Nasdaq records Sandisk's when-issued market beginning 2025-02-13 under SNDKV. Regular-way trading under SNDK began 2025-02-24.
SOLS,SOLS,Solstice Advanced Materials Inc.,2025-10-20,2025-10-30,SPIN_OFF,Honeywell International Inc.,WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,Company Investor Relations,https://investor.honeywell.com/news-releases/news-release-details/honeywell-board-directors-sets-record-date-and-announces,,Honeywell anticipated Solstice when-issued trading beginning on or about 2025-10-20. Regular-way SOLS trading began 2025-10-30.
Q,Q,"Qnity Electronics, Inc.",2025-10-27,2025-11-03,SPIN_OFF,"DuPont de Nemours, Inc.",WHEN_ISSUED,OFFICIAL_EXACT,VERIFIED,SEC Information Statement,https://www.sec.gov/Archives/edgar/data/2058873/000119312525240313/d21160dex991.htm,,NYSE advised that Qnity when-issued trading would begin 2025-10-27 under Q WI. Regular-way trading under Q began 2025-11-03.
