excluded_sector,mean_monthly_wml,annualized_arithmetic_mean,hac_p,positive_mean
Communication Services,0.0010107057166153218,0.012128468599383862,0.7725613679963248,True
Consumer Discretionary,0.002126869442687733,0.025522433312252794,0.555276010991578,True
Consumer Staples,0.0013693090312142037,0.016431708374570444,0.7202012252503893,True
Energy,0.0011339642935398002,0.013607571522477602,0.7491670367493338,True
Financials,0.0021805171561167336,0.0261662058734008,0.5540437740347841,True
Health Care,0.002668071799565427,0.032016861594785125,0.4577289282512249,True
Industrials,0.0024975783771592204,0.029970940525910643,0.4891210913000442,True
Information Technology,0.001975203832947329,0.02370244599536795,0.5768379252320296,True
Materials,0.0011591524815530005,0.013909829778636005,0.7608380837794904,True
Real Estate,0.0018516876181390884,0.022220251417669062,0.6154369591696143,True
Utilities,0.002536167619474428,0.030434011433693137,0.4923740383521472,True
