scope,q1_mean,q2_mean,q3_mean,q4_mean,q5_mean,q5_minus_q1,adjacent_increases_of_4,spearman_quintile_vs_mean_return
AGGREGATE_SECTOR_NEUTRAL,0.009045366790345748,0.009522200755299534,0.00901632427647621,0.010197090978369449,0.010909842005710501,0.001864475215364753,3,0.7
Communication Services,-0.0027331321243908393,0.011368228490178742,0.0038333044228505294,0.014347011012243976,0.0076690380784682245,0.010402170202859063,2,0.49999999999999994
Consumer Discretionary,0.008403126656608329,0.008824953089290346,0.008958258480831236,0.010272012041334868,0.007643659598743298,-0.0007594670578650311,3,0.0
Consumer Staples,0.002048454974722522,-4.4698858271967884e-07,-2.452253505275644e-05,0.004223159025277085,0.008864592031592768,0.006816137056870245,2,0.6
Energy,0.017743050580532927,0.01778088152970986,0.024851304932751124,0.021894705300125272,0.026912635014147212,0.009169584433614285,3,0.8999999999999998
Financials,0.009966419968907103,0.01511293395540336,0.01548651034264976,0.011650712773418247,0.008670475776752062,-0.0012959441921550404,2,-0.3
Health Care,0.010362012497461595,0.00312225135644118,0.0039608693539379715,0.003762236653758116,0.004190521870819617,-0.006171490626641978,2,-0.09999999999999999
Industrials,0.017249031156061675,0.013255472417854016,0.012596750625938636,0.009089201244976903,0.012782474753481756,-0.004466556402579919,1,-0.7
Information Technology,0.01113191022501256,0.014371704127455705,0.010740321328455744,0.014319519625364778,0.011889099264551546,0.0007571890395389851,2,0.09999999999999999
Materials,0.00271508754705879,0.006679403800510362,0.008455803575998762,0.005308235919933293,0.01163279010054106,0.00891770255348227,3,0.7
Real Estate,0.007004178147900418,0.007281941376774025,0.003179487312298028,0.006370013458758607,0.008996529335521817,0.0019923511876213983,3,0.19999999999999998
Utilities,0.015608895063928149,0.006946885153259996,0.007141479200579274,0.01093119370687279,0.010756446238196153,-0.0048524488257319955,2,-0.09999999999999999
