gics_sector,sector_sum_monthly_wml,aggregate_additive_contribution,share_of_aggregate_arithmetic_cumulative_wml
Communication Services,0.6137280419686847,0.05579345836078952,0.5071946405243849
Consumer Discretionary,-0.04480855641403694,-0.004073505128548813,-0.03703050554759189
Consumer Staples,0.4021520863553445,0.03655928057775859,0.3323448969691005
Energy,0.5410054815832429,0.04918231650756754,0.4470955569720172
Financials,-0.07646070733714745,-0.006950973394286132,-0.06318834780256538
Health Care,-0.36411794697187666,-0.03310163154289788,-0.3009128776819052
Industrials,-0.26352682775221525,-0.023956984341110477,-0.21778277271080965
Information Technology,0.04467415333280016,0.004061286666618196,0.03691943269803691
Materials,0.526144450655454,0.04783131369595037,0.43481416403604595
Real Estate,0.11754872006966247,0.010686247279060224,0.09714413672314504
Utilities,-0.2862944807181877,-0.0260267709743807,-0.23659832417985846
