analysis_month_number,portfolio,security_count,target_weight_sum,target_weight_one_way_turnover,security_overlap_count
1,WINNER,96,1.0,,
2,WINNER,97,1.0,0.26563436563436565,72.0
3,WINNER,95,1.0,0.5328671328671329,46.0
4,WINNER,96,1.0,0.21831501831501832,75.0
5,WINNER,95,1.0,0.2963702963702964,69.0
6,WINNER,95,1.0,0.1686813186813187,79.0
7,WINNER,95,1.0,0.2038794538794539,75.0
8,WINNER,95,1.0,0.26290376290376294,70.0
9,WINNER,96,1.0,0.23563103563103566,75.0
10,WINNER,96,1.0,0.2393772893772894,72.0
11,WINNER,96,1.0,0.32998667998668,62.0
12,WINNER,96,1.0,0.25712620712620715,70.0
13,WINNER,96,1.0,0.26245421245421247,68.0
14,WINNER,96,1.0,0.3245754245754246,64.0
15,WINNER,96,1.0,0.23604728604728606,70.0
16,WINNER,97,1.0,0.2421744921744922,70.0
17,WINNER,98,1.0,0.21135531135531138,76.0
18,WINNER,96,1.0,0.30109890109890114,68.0
19,WINNER,96,1.0,0.2473980564889656,73.0
20,WINNER,96,1.0,0.32132413041503954,66.0
21,WINNER,96,1.0,0.19301304755850213,77.0
22,WINNER,96,1.0,0.22146338509974875,76.0
23,WINNER,96,1.0,0.18541458541458541,77.0
24,WINNER,96,1.0,0.17326612781158238,81.0
25,WINNER,97,1.0,0.20317561226652137,79.0
26,WINNER,97,1.0,0.2835013471377108,69.0
27,WINNER,95,1.0,0.2995080676898859,68.0
28,WINNER,95,1.0,0.2616883116883117,68.0
29,WINNER,95,1.0,0.2564935064935065,69.0
30,WINNER,96,1.0,0.27002997002997003,66.0
31,WINNER,96,1.0,0.2647019647019647,69.0
32,WINNER,96,1.0,0.2605894105894106,70.0
33,WINNER,96,1.0,0.2144855144855145,74.0
34,WINNER,95,1.0,0.27465867465867466,74.0
35,WINNER,95,1.0,0.3251082251082251,64.0
36,WINNER,95,1.0,0.2567099567099567,72.0
37,WINNER,95,1.0,0.2233766233766234,74.0
38,WINNER,95,1.0,0.2367965367965368,75.0
39,WINNER,96,1.0,0.32868797868797867,63.0
40,WINNER,96,1.0,0.21701631701631702,77.0
41,WINNER,96,1.0,0.297019647019647,68.0
42,WINNER,96,1.0,0.2551781551781552,70.0
43,WINNER,96,1.0,0.2873626373626374,69.0
44,WINNER,96,1.0,0.3133366633366633,69.0
45,WINNER,96,1.0,0.24925074925074928,73.0
46,WINNER,96,1.0,0.23511488511488512,71.0
47,WINNER,96,1.0,0.3106560106560107,66.0
48,WINNER,96,1.0,0.26744921744921746,69.0
49,WINNER,96,1.0,0.1680985680985681,77.0
50,WINNER,96,1.0,0.19731934731934733,76.0
51,WINNER,96,1.0,0.2952214452214452,67.0
52,WINNER,96,1.0,0.3074758574758575,64.0
53,WINNER,96,1.0,0.24167499167499168,70.0
54,WINNER,96,1.0,0.23013653013653015,75.0
55,WINNER,96,1.0,0.29810189810189813,69.0
56,WINNER,97,1.0,0.2302863802863803,73.0
57,WINNER,97,1.0,0.2033799533799534,78.0
58,WINNER,96,1.0,0.30004995004995005,70.0
59,WINNER,96,1.0,0.27782772782772786,71.0
60,WINNER,97,1.0,0.22894466644466646,74.0
1,LOSER,105,1.0,,
2,LOSER,105,1.0,0.28861138861138863,77.0
3,LOSER,105,1.0,0.5923742923742924,46.0
4,LOSER,105,1.0,0.21834831834831836,83.0
5,LOSER,105,1.0,0.1861804861804862,86.0
6,LOSER,105,1.0,0.19930069930069932,82.0
7,LOSER,105,1.0,0.21252081252081254,83.0
8,LOSER,105,1.0,0.1798867798867799,83.0
9,LOSER,105,1.0,0.21804861804861805,82.0
10,LOSER,105,1.0,0.17102897102897102,85.0
11,LOSER,105,1.0,0.38331668331668334,65.0
12,LOSER,107,1.0,0.31364468864468864,76.0
13,LOSER,107,1.0,0.3332708957708958,73.0
14,LOSER,105,1.0,0.36545121545121545,69.0
15,LOSER,105,1.0,0.3216949716949717,74.0
16,LOSER,105,1.0,0.2561105561105561,80.0
17,LOSER,106,1.0,0.2794080919080919,78.0
18,LOSER,107,1.0,0.22162837162837162,82.0
