series_code,series_name,observations,gross_annualized_return,annualized_volatility,mean_monthly_excess_return,annualized_arithmetic_excess_return,annualized_sharpe
D01,Loser Decile,59,0.10539474335971977,0.23567077968189698,0.007849316896125226,0.09419180275350272,0.3993542886683027
D02,Momentum Decile 2,59,0.05891466504763687,0.1850208712298769,0.0034231868129485066,0.04107824175538208,0.22171405091461993
D03,Momentum Decile 3,59,0.13395850374698481,0.1725878867106429,0.008992945690868007,0.10791534829041609,0.6254178783466854
D04,Momentum Decile 4,59,0.1002124429481186,0.16808108891839516,0.006387476610360308,0.0766497193243237,0.4547440277828559
D05,Momentum Decile 5,59,0.11229548098654529,0.15648318373240352,0.007154079744706581,0.08584895693647897,0.5481197251638661
D06,Momentum Decile 6,59,0.11508014312054993,0.15316433116720932,0.0073188883124006695,0.08782665974880803,0.5729498640453483
D07,Momentum Decile 7,59,0.12139374287645421,0.15007557238722746,0.007763172950048046,0.09315807540057655,0.6206476492189651
D08,Momentum Decile 8,59,0.10033080179633691,0.15013071154133248,0.006165418231010193,0.07398501877212232,0.4936946431236342
D09,Momentum Decile 9,59,0.09160358608970731,0.15634966398551778,0.005572224335419789,0.06686669202503746,0.4286303853087254
D10,Winner Decile,59,0.1322951493820066,0.18491669865933372,0.009031698901378088,0.10838038681653706,0.5874412147491745
SPY,SPDR S&P 500 ETF Trust,59,0.1483398366940516,0.15232329388080146,0.009792899742417156,0.11751479690900588,0.7744846398225728
SP500,S&P 500 Index,59,0.13241903793844778,0.1518206712278775,0.008611562049934296,0.10333874459921155,0.6833643360235337
