analysis_month_number,month_end_date,ranking_snapshot_rows,assigned_rows,unique_security_keys,sectors_present,difference
1,2021-01-29,505,505,505,11,0
2,2021-02-26,505,505,505,11,0
3,2021-03-31,505,505,505,11,0
4,2021-04-30,505,505,505,11,0
5,2021-05-28,505,505,505,11,0
6,2021-06-30,505,505,505,11,0
7,2021-07-30,505,505,505,11,0
8,2021-08-31,505,505,505,11,0
9,2021-09-30,505,505,505,11,0
10,2021-10-29,505,505,505,11,0
11,2021-11-30,505,505,505,11,0
12,2021-12-31,505,505,505,11,0
13,2022-01-31,505,505,505,11,0
14,2022-02-28,504,504,504,11,0
15,2022-03-31,505,505,505,11,0
16,2022-04-29,504,504,504,11,0
17,2022-05-31,504,504,504,11,0
18,2022-06-30,503,503,503,11,0
19,2022-07-29,503,503,503,11,0
20,2022-08-31,503,503,503,11,0
21,2022-09-30,503,503,503,11,0
22,2022-10-31,502,502,502,11,0
23,2022-11-30,503,503,503,11,0
24,2022-12-30,503,503,503,11,0
25,2023-01-31,503,503,503,11,0
26,2023-02-28,503,503,503,11,0
27,2023-03-31,503,503,503,11,0
28,2023-04-28,503,503,503,11,0
29,2023-05-31,503,503,503,11,0
30,2023-06-30,503,503,503,11,0
31,2023-07-31,503,503,503,11,0
32,2023-08-31,503,503,503,11,0
33,2023-09-29,503,503,503,11,0
34,2023-10-31,503,503,503,11,0
35,2023-11-30,503,503,503,11,0
36,2023-12-29,503,503,503,11,0
37,2024-01-31,503,503,503,11,0
38,2024-02-29,503,503,503,11,0
39,2024-03-28,503,503,503,11,0
40,2024-04-30,503,503,503,11,0
41,2024-05-31,503,503,503,11,0
42,2024-06-28,503,503,503,11,0
43,2024-07-31,503,503,503,11,0
44,2024-08-30,503,503,503,11,0
45,2024-09-30,504,504,504,11,0
46,2024-10-31,503,503,503,11,0
47,2024-11-29,503,503,503,11,0
48,2024-12-31,503,503,503,11,0
49,2025-01-31,503,503,503,11,0
50,2025-02-28,503,503,503,11,0
51,2025-03-31,503,503,503,11,0
52,2025-04-30,503,503,503,11,0
53,2025-05-30,503,503,503,11,0
54,2025-06-30,503,503,503,11,0
55,2025-07-31,503,503,503,11,0
56,2025-08-29,503,503,503,11,0
57,2025-09-30,503,503,503,11,0
58,2025-10-31,503,503,503,11,0
59,2025-11-28,503,503,503,11,0
60,2025-12-31,503,503,503,11,0
