report_date,canonical_sector_count,canonical_filing_count,unique_equity_identifiers,unresolved_cross_sector_identifiers,complete_11_sector_partition
2020-12-31,11,11,505,0,True
2021-03-31,11,11,505,0,True
2021-06-30,11,11,505,0,True
2021-09-30,11,11,505,0,True
2021-12-31,11,11,505,0,True
2022-03-31,11,11,505,0,True
2022-06-30,11,11,503,0,True
2022-09-30,11,11,503,0,True
2022-12-31,11,11,503,0,True
2023-03-31,11,11,503,0,True
2023-06-30,11,11,503,0,True
2023-09-30,11,11,503,0,True
2023-12-31,11,11,503,0,True
2024-03-31,11,11,503,0,True
2024-06-30,11,11,503,0,True
2024-09-30,11,11,504,0,True
2024-12-31,11,11,503,0,True
2025-03-31,11,11,503,0,True
2025-06-30,11,11,504,0,True
2025-09-30,11,11,503,0,True
2025-12-31,11,11,503,0,True
