security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale
AOS,AOS,SMITH (A.O.) CORP,0000091142,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,SMITH A O CORP,SMITH A O,A O Smith Corp,A O SMITH,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,0001043277,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"C. H. ROBINSON WORLDWIDE, INC.",C H ROBINSON WORLDWIDE,CH Robinson Worldwide Inc,CH ROBINSON WORLDWIDE,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
EL,EL,ESTEE LAUDER COMPANIES CL A,0001001250,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ESTEE LAUDER COMPANIES INC,ESTEE LAUDER COMPANIES,Estee Lauder Cos Inc/The,ESTEE LAUDER COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
JBHT,JBHT,HUNT (JB) TRANSPRT SVCS INC,0000728535,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,HUNT J B TRANSPORT SERVICES INC,HUNT J B TRANSPORT SERVICES,JB Hunt Transport Services Inc,JB HUNT TRANSPORT SERVICES,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
LYB,LYB,LYONDELLBASELL INDU CL A,0001489393,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,LyondellBasell Industries N.V.,LYONDELLBASELL INDUSTRIES N V,LyondellBasell Industries NV,LYONDELLBASELL INDUSTRIES,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
MRSH,MRSH,MARSH + MCLENNAN COS,0000062709,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"MARSH & MCLENNAN COMPANIES, INC.",MARSH AND MCLENNAN COMPANIES,Marsh & McLennan Cos Inc,MARSH AND MCLENNAN COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
SCHW,SCHW,SCHWAB (CHARLES) CORP,0000316709,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,SCHWAB CHARLES CORP,SCHWAB CHARLES,Charles Schwab Corp/The,CHARLES SCHWAB,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
SNDK,SNDK,Sandisk,0002023554,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Sandisk Corp,SANDISK,Sandisk Corp/DE,SANDISK CORP DE,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
TJX,TJX,TJX COMPANIES INC,,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,,,TJX Cos Inc/The,TJX COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
WFC,WFC,WELLS FARGO + CO,0000072971,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,WELLS FARGO & COMPANY/MN,WELLS FARGO AND COMPANY MN,Wells Fargo & Co,WELLS FARGO AND,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
WRB,WRB,WR BERKLEY CORP,0000011544,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,BERKLEY W R CORP,BERKLEY W R,W R Berkley Corp,W R BERKLEY,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
XOM,XOM,EXXONMOBIL HOLDINGS CORP,0002115436,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ExxonMobil Holdings Corp,EXXONMOBIL HOLDINGS,Exxon Mobil Corp,EXXON MOBIL,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
XYL,XYL,XYLEM INC,0001524472,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,Xylem Inc.,XYLEM,Xylem Inc/NY,XYLEM INC NY,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,0001137789,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Seagate Technology Holdings plc,SEAGATE TECHNOLOGY HOLDINGS,Seagate Technology Holdings PLC|Seagate Technology PLC,SEAGATE TECHNOLOGY|SEAGATE TECHNOLOGY HOLDINGS,2,0,1,1,SEAGATE TECHNOLOGY,0,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Multiple authoritative historical NPORT issuer-name states remain and must be resolved from primary evidence.
APO,APO,Apollo Global Mgt,0001858681,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Apollo Global Management, Inc.",APOLLO GLOBAL MANAGEMENT,Apollo Global Management Inc,APOLLO GLOBAL MANAGEMENT,1,1,1,1,TANGO HOLDINGS,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
BLK,BLK,BLACKROCK INC,0002012383,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"BlackRock, Inc.",BLACKROCK,BlackRock Inc|Blackrock Inc,BLACKROCK,1,1,2,1,BLACKROCK|BLACKROCK FUNDING INC DE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
BX,BX,Blackstone,0001393818,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Blackstone Inc.,BLACKSTONE,Blackstone Inc,BLACKSTONE,1,1,2,1,BLACKSTONE|BLACKSTONE GROUP,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
CEG,CEG,Constellation Energy,0001868275,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Constellation Energy Corp,CONSTELLATION ENERGY,Constellation Energy Corp,CONSTELLATION ENERGY,1,1,1,1,CONSTELLATION NEWHOLDCO,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
EXE,EXE,Expand Energy,0000895126,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,EXPAND ENERGY Corp,EXPAND ENERGY,Expand Energy Corp,EXPAND ENERGY,1,1,1,1,CHESAPEAKE ENERGY,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
GEHC,GEHC,GE HealthCare Technologies,0001932393,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,GE HealthCare Technologies Inc.,GE HEALTHCARE TECHNOLOGIES,GE HealthCare Technologies Inc,GE HEALTHCARE TECHNOLOGIES,1,1,1,1,GE HEALTHCARE HOLDING,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
HBAN,HBAN,HUNTINGTON BANCSHARES INC,0000049196,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES,Huntington Bancshares Inc/OH,HUNTINGTON BANCSHARES INC OH,1,0,2,1,HUNTINGTON BANCSHARES|HUNTINGTON BANCSHARES INC MD,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
IVZ,IVZ,INVESCO LTD,0000914208,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Invesco Ltd.,INVESCO,Invesco Ltd,INVESCO,1,1,1,1,INVESCO ASSET MANAGEMENT DEUTSCHLAND GMBH,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
J,J,JACOBS SOLUTIONS INC,0000052988,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,JACOBS SOLUTIONS INC.,JACOBS SOLUTIONS,Jacobs Solutions Inc,JACOBS SOLUTIONS,1,1,1,1,JACOBS ENGINEERING GROUP,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
JKHY,JKHY,JACK HENRY + ASSOCIATES INC,0000779152,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,JACK HENRY & ASSOCIATES INC,JACK HENRY AND ASSOCIATES,Jack Henry & Associates Inc,JACK HENRY AND ASSOCIATES,1,1,1,1,HENRY JACK AND ASSOCIATES,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
KVUE,KVUE,Kenvue,0001944048,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Kenvue Inc.,KENVUE,Kenvue Inc,KENVUE,1,1,1,1,JNTL,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.
