security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,original_reconciliation_status,sec_current_name,sec_current_registry_core,nport_raw_names_pipe,nport_registry_cores_pipe,nport_registry_core_count,sec_nport_authoritative_agreement_flag,project_period_sec_former_name_rows,former_name_date_complete_flag,former_name_registry_cores_pipe,all_former_names_same_authoritative_core_flag,stage3f_status,stage3f_rationale,research_priority,required_source_standard,research_question,resolution_category,sample_authoritative_company_name,sample_authoritative_cik,predecessor_public_company_name,predecessor_public_cik,legal_effective_date,public_effective_date,post_sample_effective_date,excluded_name,excluded_name_reason,source_type,source_url,evidence_note,production_implication,stage3g_resolution_status,resolution_confidence
AOS,AOS,SMITH (A.O.) CORP,0000091142,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,SMITH A O CORP,SMITH A O,A O Smith Corp,A O SMITH,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_CONFORMED_OR_DISPLAY_NAME_VARIANT,A. O. Smith Corporation,0000091142,,,,,,SMITH A O CORP|A O Smith Corp,SEC conformed-name word order/punctuation and NPORT display formatting describe the same public issuer.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0000091142.json,SEC conformed-name word order/punctuation and NPORT display formatting describe the same public issuer.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
APO,APO,Apollo Global Mgt,0001858681,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"Apollo Global Management, Inc.",APOLLO GLOBAL MANAGEMENT,Apollo Global Management Inc,APOLLO GLOBAL MANAGEMENT,1,1,1,1,TANGO HOLDINGS,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PUBLIC_BRAND_CONTINUITY_INTERNAL_REORG,"Apollo Global Management, Inc.",0001858681,"Apollo Global Management, Inc.",0001411494,2022-01-01,2022-01-01,,"Tango Holdings, Inc.",Transaction holding company name immediately replaced by Apollo Global Management at merger close; not a substantive public attention brand.,SEC_CERTIFICATE_AND_MERGER_FILINGS,https://www.sec.gov/Archives/edgar/data/1858681/000119312522000274/d285518dex32.htm|https://www.sec.gov/Archives/edgar/data/1411494/000141149423000010/apo-20221231.htm,Tango Holdings changed its name to Apollo Global Management at 1:01 a.m. EST on 2022-01-01 as the Athene merger/reorganization closed; legacy Apollo was renamed Apollo Asset Management.,EXCLUDE_TANGO_FROM_ATTENTION_ALIASES; TREAT_APOLLO_GLOBAL_MANAGEMENT_AS_PUBLIC_IDENTITY_CONTINUITY,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
BLK,BLK,BLACKROCK INC,0002012383,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,"BlackRock, Inc.",BLACKROCK,BlackRock Inc|Blackrock Inc,BLACKROCK,1,1,2,1,BLACKROCK|BLACKROCK FUNDING INC DE,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PUBLIC_BRAND_CONTINUITY_INTERNAL_REORG,"BlackRock, Inc.",0002012383,"BlackRock, Inc.",0001364742,2024-10-01,2024-10-01,,"BlackRock Funding, Inc.","Internal successor-parent name immediately changed to BlackRock, Inc. at closing; not a public attention identity.",SEC_10Q_AND_PREDECESSOR_10K,https://www.sec.gov/Archives/edgar/data/2012383/000095017024122256/blk-20240930.htm|https://www.sec.gov/Archives/edgar/data/1364742/000095017024019271/blk-20231231.htm,"On 2024-10-01 New BlackRock, formerly BlackRock Funding, became the listed parent; old BlackRock became BlackRock Finance. The BLK public brand/name remained BlackRock.",EXCLUDE_BLACKROCK_FUNDING_FROM_ATTENTION_ALIASES; RETAIN_PUBLIC_BLACKROCK_CONTINUITY; PRESERVE_CIK_SUCCESSION_AS_PROVENANCE,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
BX,BX,Blackstone,0001393818,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Blackstone Inc.,BLACKSTONE,Blackstone Inc,BLACKSTONE,1,1,2,1,BLACKSTONE|BLACKSTONE GROUP,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,TRUE_PUBLIC_LEGAL_NAME_TRANSITION_BRAND_CONTINUITY,Blackstone Inc.,0001393818,The Blackstone Group Inc.,0001393818,2021-08-06,2021-08-06,,,,SEC_10Q,https://www.sec.gov/Archives/edgar/data/1393818/000119312521239233/d188135d10q.htm,The Blackstone Group Inc. changed its legal name to Blackstone Inc. effective 2021-08-06.,PRESERVE_PRE_AND_POST_LEGAL_NAME_STATES; PUBLIC_BLACKSTONE_BRAND_CONTINUITY_MAY_SUPPORT_TRANSITION_MONTH_OVERLAP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
CEG,CEG,Constellation Energy,0001868275,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,Constellation Energy Corp,CONSTELLATION ENERGY,Constellation Energy Corp,CONSTELLATION ENERGY,1,1,1,1,CONSTELLATION NEWHOLDCO,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,Constellation Energy Corporation,0001868275,,,2021-06-17,2022-02-02,,"Constellation Newholdco, Inc.",Pre-public corporate setup name preceding standalone launch; not the public company identity during S&P 500 membership.,SEC_8K_AND_COMPANY_PRESS_RELEASE_EXHIBIT,https://www.sec.gov/Archives/edgar/data/1868275/000110465922010603/tm224960d4_8k.htm|https://www.sec.gov/Archives/edgar/data/1868275/000110465922010603/tm224960d4_ex99-1.htm,Constellation completed separation from Exelon on 2022-02-01 and launched as a standalone public company trading CEG on 2022-02-02. Newholdco was a pre-public setup name.,EXCLUDE_CONSTELLATION_NEWHOLDCO; USE_CONSTELLATION_ENERGY_ONLY_WHEN_MEMBERSHIP_ACTIVE,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
CHRW,CHRW,C.H. ROBINSON WORLDWIDE INC,0001043277,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,"C. H. ROBINSON WORLDWIDE, INC.",C H ROBINSON WORLDWIDE,CH Robinson Worldwide Inc,CH ROBINSON WORLDWIDE,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_CONFORMED_OR_DISPLAY_NAME_VARIANT,"C.H. Robinson Worldwide, Inc.",0001043277,,,,,,"C. H. ROBINSON WORLDWIDE, INC.|CH Robinson Worldwide Inc",Punctuation/spacing presentation difference only.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0001043277.json,Punctuation/spacing presentation difference only.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
EL,EL,ESTEE LAUDER COMPANIES CL A,0001001250,RESEARCH_PROJECT_VS_NPORT_NAME_CORE_CONFLICT,ESTEE LAUDER COMPANIES INC,ESTEE LAUDER COMPANIES,Estee Lauder Cos Inc/The,ESTEE LAUDER COS,1,0,0,1,,0,RESEARCH_AUTHORITATIVE_NAME_CONVERGENCE_NOT_ESTABLISHED,Frozen automatic authoritative-convergence rules were not met.,2,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,SEC_CONFORMED_OR_DISPLAY_NAME_VARIANT,The Estée Lauder Companies Inc.,0001001250,,,,,,ESTEE LAUDER COMPANIES INC|Estee Lauder Cos Inc/The,Source abbreviation and placement of 'The' do not represent a substantive issuer-name transition.,SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0001001250.json,Source abbreviation and placement of 'The' do not represent a substantive issuer-name transition.,SINGLE_STABLE_PUBLIC_IDENTITY; USE_AUTHORITATIVE_PUBLIC_LEGAL_NAME; DO_NOT_CREATE_RENAME_INTERVAL,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
EXE,EXE,Expand Energy,0000895126,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,EXPAND ENERGY Corp,EXPAND ENERGY,Expand Energy Corp,EXPAND ENERGY,1,1,1,1,CHESAPEAKE ENERGY,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,TRUE_PUBLIC_NAME_TRANSITION,Expand Energy Corporation,0000895126,Chesapeake Energy Corporation,0000895126,2024-10-01,2024-10-02,,,,SEC_8K,https://www.sec.gov/Archives/edgar/data/895126/000110465924104976/tm2425151d1_8k.htm,Chesapeake completed the Southwestern merger and changed its name to Expand Energy on 2024-10-01; EXE trading began 2024-10-02.,PIT_ATTENTION_NAME_TRANSITION_REQUIRED: CHESAPEAKE_ENERGY_TO_EXPAND_ENERGY,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
GEHC,GEHC,GE HealthCare Technologies,0001932393,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,GE HealthCare Technologies Inc.,GE HEALTHCARE TECHNOLOGIES,GE HealthCare Technologies Inc,GE HEALTHCARE TECHNOLOGIES,1,1,1,1,GE HEALTHCARE HOLDING,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,PREPUBLIC_TRANSACTION_NAME_NOT_ATTENTION_ALIAS,GE HealthCare Technologies Inc.,0001932393,,,2022-12-29,2023-01-03,,GE Healthcare Holding LLC,Pre-spin holding entity; converted and renamed before the GE HealthCare public separation.,SEC_8K,https://www.sec.gov/Archives/edgar/data/1932393/000119312522314166/d439598d8k.htm,GE Healthcare Holding LLC converted to a Delaware corporation and changed its name to GE HealthCare Technologies Inc. at 8:30 a.m. ET on 2022-12-29; GE completed the spin on 2023-01-03.,EXCLUDE_GE_HEALTHCARE_HOLDING_LLC; USE_GE_HEALTHCARE_TECHNOLOGIES_DURING_PUBLIC_MEMBERSHIP,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
HBAN,HBAN,HUNTINGTON BANCSHARES INC,0000049196,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,HUNTINGTON BANCSHARES INC /MD/,HUNTINGTON BANCSHARES,Huntington Bancshares Inc/OH,HUNTINGTON BANCSHARES INC OH,1,0,2,1,HUNTINGTON BANCSHARES|HUNTINGTON BANCSHARES INC MD,0,RESEARCH_SUBSTANTIVE_OR_DISTINCT_SEC_FORMER_NAME,At least one project-overlapping SEC former-name registry core differs from the authoritative SEC/NPORT current core or SEC/NPORT current names do not agree. Primary-source historical-name review is still required.,1,SEC filing/SEC exhibit/official company investor-relations announcement or equivalent primary authoritative source,Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) required for a high-precision GDELT attention alias.,JURISDICTION_OR_SOURCE_LABEL_VARIANT,Huntington Bancshares Incorporated,0000049196,,,,,,Huntington Bancshares Inc/OH,"NPORT source/jurisdiction presentation variant, not a substantive company-name change.",SEC_SUBMISSIONS_PLUS_SEC_NPORT,https://data.sec.gov/submissions/CIK0000049196.json,SEC current identity and historical filings support Huntington Bancshares Incorporated; /MD/ and /OH source annotations are not attention-name states.,SINGLE_STABLE_PUBLIC_IDENTITY; STRIP_JURISDICTION_PRESENTATION_ONLY,CLOSED_AUTHORITATIVE,PRIMARY_AUTHORITATIVE
