security_key,from_name_key,to_name_key,resolution_class,resolution_status,exact_legal_effective_date,source_layer
BXP,BOSTON PROPERTIES,BXP,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2024-07-01,STAGE3D_AUTHORITATIVE
CCI,CROWN CASTLE INTERNATIONAL,CROWN CASTLE,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2022-08-01,STAGE3D_AUTHORITATIVE
CI,CIGNA,CIGNA GROUP,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2023-02-13,STAGE3D_AUTHORITATIVE
COR,AMERISOURCEBERGEN,CENCORA,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2023-08-30,STAGE3D_AUTHORITATIVE
CPAY,FLEETCOR TECHNOLOGIES,CORPAY,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME_WITH_ONE_DAY_PUBLIC_LAG,2024-03-24,STAGE3D_AUTHORITATIVE
CPB,CAMPBELL SOUP,CAMPBELL S,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2024-11-19,STAGE3D_AUTHORITATIVE
CRM,SALESFORCE COM,SALESFORCE,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2022-04-04,STAGE3D_AUTHORITATIVE
CSCO,CISCO SYSTEMS,CISCO SYSTEMS INC DELAWARE,FALSE_TRANSITION,REJECT_FALSE_TRANSITION_NPORT_LABEL_VARIANT,,STAGE3D_AUTHORITATIVE
CSCO,CISCO SYSTEMS INC DELAWARE,CISCO SYSTEMS,FALSE_TRANSITION,REJECT_FALSE_TRANSITION_NPORT_LABEL_VARIANT,,STAGE3D_AUTHORITATIVE
CTRA,CABOT OIL AND GAS,COTERRA ENERGY,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME_MERGER,2021-10-01,STAGE3D_AUTHORITATIVE
DAY,CERIDIAN HCM,DAYFORCE,TRUE_RENAME,RESOLVED_EXACT,2024-02-01,STAGE3C_AUTO_EXACT
EG,EVEREST RE GROUP,EVEREST GROUP,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2023-07-10,STAGE3D_AUTHORITATIVE
ELV,ANTHEM,ELEVANCE HEALTH,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2022-06-27,STAGE3D_AUTHORITATIVE
FFIV,F5 NETWORKS,F5,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2021-11-12,STAGE3D_AUTHORITATIVE
FRT,FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY OP LP,FALSE_TRANSITION,REJECT_FALSE_TRANSITION_MULTI_REGISTRANT_CONTAMINATION,,STAGE3D_AUTHORITATIVE
FRT,FEDERAL REALTY OP LP,FEDERAL REALTY INVESTMENT TRUST,FALSE_TRANSITION,REJECT_FALSE_TRANSITION_MULTI_REGISTRANT_CONTAMINATION,,STAGE3D_AUTHORITATIVE
GEN,NORTONLIFELOCK,GEN DIGITAL,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2022-11-07,STAGE3D_AUTHORITATIVE
HIG,HARTFORD FINANCIAL SERVICES GROUP,HARTFORD INSURANCE GROUP,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2025-02-06,STAGE3D_AUTHORITATIVE
META,FACEBOOK,META PLATFORMS,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2021-10-28,STAGE3D_AUTHORITATIVE
RTX,RAYTHEON TECHNOLOGIES,RTX,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2023-07-17,STAGE3D_AUTHORITATIVE
RVTY,PERKINELMER,REVVITY,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2023-04-26,STAGE3D_AUTHORITATIVE
SLB,SCHLUMBERGER NV,SLB,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2025-10-07,STAGE3D_AUTHORITATIVE
SRE,SEMPRA ENERGY,SEMPRA,TRUE_RENAME,RESOLVED_TRUE_LEGAL_RENAME,2023-05-12,STAGE3D_AUTHORITATIVE
