security_key,canonical_company_name,ticker_segment_count,latest_project_ticker,ticker_history_pipe,multiple_ticker_segments_flag,security_table_ticker,exact_legal_name_alias,suffix_stripped_alias_candidate,suffix_stripped_diff_flag,base_token_count,base_alias_length,exact_alias_security_count,duplicate_exact_alias_flag,ticker_like_exact_name_flag,structural_ambiguity_tier,current_name_point_in_time_validated,production_alias_status,production_aliases_pipe,historical_name_review_flag,review_priority,review_reason
AAPL,APPLE INC,1,AAPL,AAPL[?→OPEN],0,,apple inc,apple,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,apple inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ABBV,ABBVIE INC,1,ABBV,ABBV[?→OPEN],0,,abbvie inc,abbvie,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,abbvie inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ABMD,Abiomed,1,ABMD,ABMD[?→OPEN],0,,abiomed,abiomed,0,1,7,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,abiomed,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ABNB,Airbnb,1,ABNB,ABNB[?→OPEN],0,,airbnb,airbnb,0,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,airbnb,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ADBE,ADOBE INC,1,ADBE,ADBE[?→OPEN],0,,adobe inc,adobe,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,adobe inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
ADSK,AUTODESK INC,1,ADSK,ADSK[?→OPEN],0,,autodesk inc,autodesk,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,autodesk inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AEE,AMEREN CORPORATION,1,AEE,AEE[?→OPEN],0,,ameren corporation,ameren,1,1,6,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,ameren corporation,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AES,AES CORP,1,AES,AES[?→OPEN],0,,aes corp,aes,1,1,3,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,aes corp,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AFL,AFLAC INC,1,AFL,AFL[?→OPEN],0,,aflac inc,aflac,1,1,5,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,aflac inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
AIZ,ASSURANT INC,1,AIZ,AIZ[?→OPEN],0,,assurant inc,assurant,1,1,8,1,0,0,HIGH,0,CANDIDATE_EXACT_NAME_ONLY_PENDING_PIT_NAME_HISTORY_REVIEW,assurant inc,1,1,PIT company-name history not yet validated; structurally ambiguous/short base name
