security_key,ticker,ticker_valid_from,ticker_valid_to_exclusive,left_censored,right_censored,created_at_utc
A,A,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AAL,AAL,2021-01-01,2024-09-23,True,False,2026-08-19 17:02:59
AAP,AAP,2021-01-01,2023-08-25,True,False,2026-08-19 17:02:59
AAPL,AAPL,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ABBV,ABBV,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ABMD,ABMD,2021-01-01,2022-12-22,True,False,2026-08-19 17:02:59
ABNB,ABNB,2023-09-18,2026-01-01,False,True,2026-08-19 17:02:59
ABT,ABT,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ACGL,ACGL,2022-11-01,2026-01-01,False,True,2026-08-19 17:02:59
ACN,ACN,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ADBE,ADBE,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ADI,ADI,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ADM,ADM,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ADP,ADP,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ADSK,ADSK,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AEE,AEE,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AEP,AEP,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AES,AES,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AFL,AFL,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AIG,AIG,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AIZ,AIZ,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AJG,AJG,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AKAM,AKAM,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ALB,ALB,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ALGN,ALGN,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ALK,ALK,2021-01-01,2023-12-18,True,False,2026-08-19 17:02:59
ALL,ALL,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ALLE,ALLE,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ALXN,ALXN,2021-01-01,2021-07-21,True,False,2026-08-19 17:02:59
AMAT,AMAT,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AMCR,AMCR,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AMD,AMD,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AME,AME,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AMGN,AMGN,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AMP,AMP,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AMT,AMT,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AMTM,AMTM,2024-09-30,2024-12-23,False,False,2026-08-19 17:02:59
AMZN,AMZN,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ANET,ANET,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ANSS,ANSS,2021-01-01,2025-07-18,True,False,2026-08-19 17:02:59
AON,AON,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AOS,AOS,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
APA,APA,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
APD,APD,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
APH,APH,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
APO,APO,2024-12-23,2026-01-01,False,True,2026-08-19 17:02:59
APP,APP,2025-09-22,2026-01-01,False,True,2026-08-19 17:02:59
APTV,APTV,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ARE,ARE,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ARES,ARES,2025-12-11,2026-01-01,False,True,2026-08-19 17:02:59
ATO,ATO,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
ATVI,ATVI,2021-01-01,2023-10-18,True,False,2026-08-19 17:02:59
AVB,AVB,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AVGO,AVGO,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AVY,AVY,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AWK,AWK,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AXON,AXON,2023-05-04,2026-01-01,False,True,2026-08-19 17:02:59
AXP,AXP,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
AZO,AZO,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BA,BA,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BAC,BAC,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BALL,BALL,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BAX,BAX,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BBWI,BBWI,2021-01-01,2024-10-01,True,False,2026-08-19 17:02:59
BBY,BBY,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BDX,BDX,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BEN,BEN,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BF.B,BF.B,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BG,BG,2023-03-15,2026-01-01,False,True,2026-08-19 17:02:59
BIIB,BIIB,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BIO,BIO,2021-01-01,2024-09-23,True,False,2026-08-19 17:02:59
BKNG,BKNG,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BKR,BKR,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BLDR,BLDR,2023-12-18,2026-01-01,False,True,2026-08-19 17:02:59
BLK,BLK,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BMY,BMY,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BNY,BNY,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BR,BR,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BRK.B,BRK.B,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BRO,BRO,2021-09-20,2026-01-01,False,True,2026-08-19 17:02:59
BSX,BSX,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
BWA,BWA,2021-01-01,2025-03-24,True,False,2026-08-19 17:02:59
BX,BX,2023-09-18,2026-01-01,False,True,2026-08-19 17:02:59
BXP,BXP,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
C,C,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CAG,CAG,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CAH,CAH,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CARR,CARR,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CAT,CAT,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CB,CB,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CBOE,CBOE,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CBRE,CBRE,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
CCI,CCI,2021-01-01,2026-01-01,True,True,2026-08-19 17:02:59
