security_key,from_name_key,to_name_key,last_observed_old_state_date,first_observed_new_state_date,resolution_status,unresolved_reason,matching_alias_event_rows,matching_alias_event_dates_pipe
BXP,BOSTON PROPERTIES,BXP,2024-06-30,2024-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
COR,AMERISOURCEBERGEN,CENCORA,2023-06-30,2023-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CPAY,FLEETCOR TECHNOLOGIES,CORPAY,2023-12-31,2024-03-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CRM,SALESFORCE COM,SALESFORCE,2022-03-31,2022-06-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
FFIV,F5 NETWORKS,F5,2021-09-30,2021-12-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
RTX,RAYTHEON TECHNOLOGIES,RTX,2023-06-30,2023-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
RVTY,PERKINELMER,REVVITY,2023-03-31,2023-06-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
SLB,SCHLUMBERGER NV,SLB,2025-09-30,2025-12-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
SRE,SEMPRA ENERGY,SEMPRA,2023-06-30,2023-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CI,CIGNA,CIGNA GROUP,2022-12-31,2023-03-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CPB,CAMPBELL SOUP,CAMPBELL S,2024-09-30,2024-12-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
FRT,FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY OP LP,2022-03-31,2022-06-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
FRT,FEDERAL REALTY OP LP,FEDERAL REALTY INVESTMENT TRUST,2022-06-30,2022-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
HIG,HARTFORD FINANCIAL SERVICES GROUP,HARTFORD INSURANCE GROUP,2024-12-31,2025-03-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
META,FACEBOOK,META PLATFORMS,2021-09-30,2021-12-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CCI,CROWN CASTLE INTERNATIONAL,CROWN CASTLE,2022-06-30,2022-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CSCO,CISCO SYSTEMS,CISCO SYSTEMS INC DELAWARE,2020-12-31,2021-03-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CSCO,CISCO SYSTEMS INC DELAWARE,CISCO SYSTEMS,2021-12-31,2022-03-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
CTRA,CABOT OIL AND GAS,COTERRA ENERGY,2021-09-30,2021-12-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
EG,EVEREST RE GROUP,EVEREST GROUP,2023-06-30,2023-09-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
ELV,ANTHEM,ELEVANCE HEALTH,2022-03-31,2022-06-30,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
GEN,NORTONLIFELOCK,GEN DIGITAL,2022-09-30,2022-12-31,UNRESOLVED_EXACT_DATE,NO_EXACT_MATCHING_ALIAS_EVENT_IN_BOUND,0,
