security_key,latest_project_ticker,canonical_company_name,structural_ambiguity_tier,stage3b2_original_status,stage3b2_original_review_flag,stage3b2_nport_unique_name_count,stage3b2_nport_raw_names_pipe,stage3b2_candidate_sec_cik,later_resolution_evidence_layers_pipe,final_name_resolution_status,final_name_resolution_layer,original_review_reason,original_review_priority,closure_research_priority,closure_research_question
AAL,AAL,American Airlines Group,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000006201,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
AAP,AAP,Advance Auto Parts,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001158449,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ABMD,ABMD,Abiomed,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ALK,ALK,Alaska Air Group,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000766421,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ALXN,ALXN,Alexion Pharmaceuticals,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
AMTM,AMTM,Amentum,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0002011286,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ANSS,ANSS,ANSYS,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
ATVI,ATVI,Activision Blizzard,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
BBWI,BBWI,Bath & Body Works,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000701985,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
BIO,BIO,Bio-Rad Laboratories,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000012208,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
BWA,BWA,Borgwarner,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0000908255,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CE,CE,Celanese,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001306830,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CERN,CERN,Cerner,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CMA,CMA,Comerica,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CTLT,CTLT,Catalent,HIGH,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CTXS,CTXS,Citrix Systems,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CXO,CXO,Concho Resources,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
CZR,CZR,Caesars Entertainment,MEDIUM,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001590895,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
DFS,DFS,Discover Financial Services,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,0001393612,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
DISCA,DISCA,Discovery Inc Class A,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
DISCK,DISCK,Discovery Inc Class C,LOW,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,0,,,,UNRESOLVED_CARRY_FORWARD_GAP,NONE,REVIEW_NO_MAPPED_SEC_NPORT_NAME,1,1,"This identity was flagged in Stage 3B2 but was not carried into a later resolution layer. Resolve whether the 2021-2025 public-company name state is stable, changed, unavailable from NPORT, or requires additional authoritative evidence before PIT attention aliases."
