anchor_id,ticker,canonical_company_name,ambiguity_tier,matched_source_documents,matched_namesets,total_source_documents,total_namesets,malformed_rows,news_attention_share,mentions_per_100k_source_documents
A2021,ALB,Albemarle Corporation,LOW,24,20,768867,506905,7,3.121476146069476e-05,3.1214761460694764
A2021,CEG,Constellation Energy Corporation,MEDIUM,0,0,768867,506905,7,0.0,0.0
A2021,IRM,Iron Mountain Incorporated,HIGH,9,7,768867,506905,7,1.1705535547760536e-05,1.1705535547760535
A2021,LLY,Eli Lilly and Company,MEDIUM,696,407,768867,506905,7,0.0009052280823601481,90.52280823601481
A2021,META,"Meta Platforms, Inc.",MEDIUM,35387,24859,768867,506905,7,0.046024865158733566,4602.486515873356
A2021,MOS,The Mosaic Company,HIGH,25,14,768867,506905,7,3.2515376521557046e-05,3.2515376521557044
A2021,MPC,Marathon Petroleum Corporation,MEDIUM,59,41,768867,506905,7,7.673628859087462e-05,7.673628859087462
A2021,NFLX,"Netflix, Inc.",LOW,6243,3993,768867,506905,7,0.008119739824963225,811.9739824963225
A2021,NRG,"NRG Energy, Inc.",MEDIUM,0,0,768867,506905,7,0.0,0.0
A2021,NUE,Nucor Corporation,LOW,11,11,768867,506905,7,1.43067656694851e-05,1.43067656694851
A2021,NVDA,NVIDIA Corporation,LOW,552,458,768867,506905,7,0.0007179395135959796,71.79395135959795
A2021,TPL,Texas Pacific Land Corporation,MEDIUM,2,2,768867,506905,7,2.6012301217245635e-06,0.26012301217245637
A2021,TSLA,"Tesla, Inc.",MEDIUM,444,340,768867,506905,7,0.0005774730870228531,57.74730870228531
A2021,WMB,"The Williams Companies, Inc.",MEDIUM,0,0,768867,506905,7,0.0,0.0
A2021,WMT,Walmart Inc.,LOW,2199,1546,768867,506905,7,0.0028600525188361577,286.00525188361576
A2022,ALB,Albemarle Corporation,LOW,17,12,589616,395308,7,2.883232476730618e-05,2.883232476730618
A2022,CEG,Constellation Energy Corporation,MEDIUM,25,18,589616,395308,7,4.240047759897967e-05,4.240047759897967
A2022,IRM,Iron Mountain Incorporated,HIGH,10,9,589616,395308,7,1.696019103959187e-05,1.696019103959187
A2022,LLY,Eli Lilly and Company,MEDIUM,154,124,589616,395308,7,0.0002611869420097148,26.11869420097148
A2022,META,"Meta Platforms, Inc.",MEDIUM,16748,12130,589616,395308,7,0.028404927953108464,2840.4927953108463
A2022,MOS,The Mosaic Company,HIGH,18,13,589616,395308,7,3.052834387126537e-05,3.0528343871265364
A2022,MPC,Marathon Petroleum Corporation,MEDIUM,9,6,589616,395308,7,1.5264171935632684e-05,1.5264171935632682
A2022,NFLX,"Netflix, Inc.",LOW,5098,3037,589616,395308,7,0.008646305391983935,864.6305391983935
A2022,NRG,"NRG Energy, Inc.",MEDIUM,0,0,589616,395308,7,0.0,0.0
A2022,NUE,Nucor Corporation,LOW,8,8,589616,395308,7,1.3568152831673496e-05,1.3568152831673497
A2022,NVDA,NVIDIA Corporation,LOW,305,256,589616,395308,7,0.0005172858267075521,51.7285826707552
A2022,TPL,Texas Pacific Land Corporation,MEDIUM,2,2,589616,395308,7,3.392038207918374e-06,0.3392038207918374
A2022,TSLA,"Tesla, Inc.",MEDIUM,434,380,589616,395308,7,0.0007360722911182872,73.60722911182872
A2022,WMB,"The Williams Companies, Inc.",MEDIUM,4,4,589616,395308,7,6.784076415836748e-06,0.6784076415836748
A2022,WMT,Walmart Inc.,LOW,2144,1341,589616,395308,7,0.003636264958888497,363.6264958888497
A2023,ALB,Albemarle Corporation,LOW,20,20,818345,733025,7,2.44395701079618e-05,2.44395701079618
A2023,CEG,Constellation Energy Corporation,MEDIUM,4,4,818345,733025,7,4.88791402159236e-06,0.488791402159236
A2023,IRM,Iron Mountain Incorporated,HIGH,1,1,818345,733025,7,1.22197850539809e-06,0.122197850539809
A2023,LLY,Eli Lilly and Company,MEDIUM,275,274,818345,733025,7,0.00033604408898447476,33.604408898447474
A2023,META,"Meta Platforms, Inc.",MEDIUM,24455,23283,818345,733025,7,0.02988348434951029,2988.348434951029
A2023,MOS,The Mosaic Company,HIGH,16,16,818345,733025,7,1.955165608636944e-05,1.955165608636944
A2023,MPC,Marathon Petroleum Corporation,MEDIUM,36,36,818345,733025,7,4.399122619433124e-05,4.3991226194331245
A2023,NFLX,"Netflix, Inc.",LOW,10196,9744,818345,733025,7,0.012459292841038926,1245.9292841038925
A2023,NRG,"NRG Energy, Inc.",MEDIUM,1,1,818345,733025,7,1.22197850539809e-06,0.122197850539809
A2023,NUE,Nucor Corporation,LOW,12,12,818345,733025,7,1.466374206477708e-05,1.466374206477708
A2023,NVDA,NVIDIA Corporation,LOW,1358,1352,818345,733025,7,0.0016594468103306062,165.94468103306062
A2023,TPL,Texas Pacific Land Corporation,MEDIUM,4,4,818345,733025,7,4.88791402159236e-06,0.488791402159236
A2023,TSLA,"Tesla, Inc.",MEDIUM,299,299,818345,733025,7,0.0003653715731140289,36.53715731140289
A2023,WMB,"The Williams Companies, Inc.",MEDIUM,8,8,818345,733025,7,9.77582804318472e-06,0.977582804318472
A2023,WMT,Walmart Inc.,LOW,2570,2459,818345,733025,7,0.0031404847588730913,314.04847588730917
A2024,ALB,Albemarle Corporation,LOW,17,17,696305,628633,7,2.4414588434665842e-05,2.4414588434665845
A2024,CEG,Constellation Energy Corporation,MEDIUM,63,63,696305,628633,7,9.047759243434989e-05,9.047759243434989
A2024,IRM,Iron Mountain Incorporated,HIGH,5,5,696305,628633,7,7.180761304313484e-06,0.7180761304313483
A2024,LLY,Eli Lilly and Company,MEDIUM,438,413,696305,628633,7,0.0006290346902578612,62.903469025786116
A2024,META,"Meta Platforms, Inc.",MEDIUM,17625,16635,696305,628633,7,0.02531218359770503,2531.218359770503
A2024,MOS,The Mosaic Company,HIGH,273,273,696305,628633,7,0.0003920695672155162,39.20695672155162
A2024,MPC,Marathon Petroleum Corporation,MEDIUM,32,32,696305,628633,7,4.595687234760629e-05,4.5956872347606295
A2024,NFLX,"Netflix, Inc.",LOW,5530,5363,696305,628633,7,0.007941922002570713,794.1922002570712
A2024,NRG,"NRG Energy, Inc.",MEDIUM,3,3,696305,628633,7,4.30845678258809e-06,0.430845678258809
A2024,NUE,Nucor Corporation,LOW,6,6,696305,628633,7,8.61691356517618e-06,0.861691356517618
A2024,NVDA,NVIDIA Corporation,LOW,1725,1722,696305,628633,7,0.0024773626499881517,247.7362649988152
A2024,TPL,Texas Pacific Land Corporation,MEDIUM,5,5,696305,628633,7,7.180761304313484e-06,0.7180761304313483
A2024,TSLA,"Tesla, Inc.",MEDIUM,325,324,696305,628633,7,0.0004667494847803764,46.67494847803764
A2024,WMB,"The Williams Companies, Inc.",MEDIUM,9,9,696305,628633,7,1.292537034776427e-05,1.292537034776427
A2024,WMT,Walmart Inc.,LOW,2800,2652,696305,628633,7,0.004021226330415551,402.12263304155505
A2025,ALB,Albemarle Corporation,LOW,11,11,597481,537333,7,1.8410627283545418e-05,1.8410627283545418
A2025,CEG,Constellation Energy Corporation,MEDIUM,39,39,597481,537333,7,6.527404218711558e-05,6.527404218711557
A2025,IRM,Iron Mountain Incorporated,HIGH,1,1,597481,537333,7,1.6736933894132197e-06,0.16736933894132197
A2025,LLY,Eli Lilly and Company,MEDIUM,377,377,597481,537333,7,0.0006309824078087839,63.098240780878385
A2025,META,"Meta Platforms, Inc.",MEDIUM,14151,13136,597481,537333,7,0.023684435153586474,2368.4435153586473
A2025,MOS,The Mosaic Company,HIGH,26,26,597481,537333,7,4.351602812474371e-05,4.351602812474372
A2025,MPC,Marathon Petroleum Corporation,MEDIUM,9,9,597481,537333,7,1.5063240504718979e-05,1.5063240504718978
A2025,NFLX,"Netflix, Inc.",LOW,10046,9283,597481,537333,7,0.016813923790045208,1681.3923790045205
A2025,NRG,"NRG Energy, Inc.",MEDIUM,0,0,597481,537333,7,0.0,0.0
A2025,NUE,Nucor Corporation,LOW,5,5,597481,537333,7,8.3684669470661e-06,0.8368466947066099
A2025,NVDA,NVIDIA Corporation,LOW,3348,3332,597481,537333,7,0.00560352546775546,560.352546775546
A2025,TPL,Texas Pacific Land Corporation,MEDIUM,2,2,597481,537333,7,3.3473867788264395e-06,0.33473867788264394
A2025,TSLA,"Tesla, Inc.",MEDIUM,153,153,597481,537333,7,0.0002560750885802226,25.607508858022264
A2025,WMB,"The Williams Companies, Inc.",MEDIUM,12,12,597481,537333,7,2.008432067295864e-05,2.008432067295864
A2025,WMT,Walmart Inc.,LOW,1329,1197,597481,537333,7,0.002224338514530169,222.43385145301693
