month,expected_calendar_days,source_available_days,source_missing_days,source_coverage_rate
2021-01,31,31,0,1.0
2021-02,28,28,0,1.0
2021-03,31,31,0,1.0
2021-04,30,30,0,1.0
2021-05,31,31,0,1.0
2021-06,30,30,0,1.0
2021-07,31,31,0,1.0
2021-08,31,31,0,1.0
2021-09,30,30,0,1.0
2021-10,31,31,0,1.0
2021-11,30,30,0,1.0
2021-12,31,31,0,1.0
2022-01,31,31,0,1.0
2022-02,28,28,0,1.0
2022-03,31,31,0,1.0
2022-04,30,30,0,1.0
2022-05,31,31,0,1.0
2022-06,30,30,0,1.0
2022-07,31,31,0,1.0
2022-08,31,31,0,1.0
2022-09,30,30,0,1.0
2022-10,31,31,0,1.0
2022-11,30,29,1,0.9666666666666667
2022-12,31,31,0,1.0
2023-01,31,31,0,1.0
2023-02,28,28,0,1.0
2023-03,31,29,2,0.9354838709677419
2023-04,30,30,0,1.0
2023-05,31,31,0,1.0
2023-06,30,30,0,1.0
2023-07,31,31,0,1.0
2023-08,31,31,0,1.0
2023-09,30,30,0,1.0
2023-10,31,31,0,1.0
2023-11,30,30,0,1.0
2023-12,31,31,0,1.0
2024-01,31,31,0,1.0
2024-02,29,29,0,1.0
2024-03,31,31,0,1.0
2024-04,30,30,0,1.0
2024-05,31,31,0,1.0
2024-06,30,30,0,1.0
2024-07,31,31,0,1.0
2024-08,31,31,0,1.0
2024-09,30,30,0,1.0
2024-10,31,31,0,1.0
2024-11,30,30,0,1.0
2024-12,31,31,0,1.0
2025-01,31,31,0,1.0
2025-02,28,28,0,1.0
2025-03,31,31,0,1.0
2025-04,30,30,0,1.0
2025-05,31,31,0,1.0
2025-06,30,13,17,0.43333333333333335
2025-07,31,30,1,0.967741935483871
2025-08,31,31,0,1.0
2025-09,30,30,0,1.0
2025-10,31,31,0,1.0
2025-11,30,30,0,1.0
2025-12,31,31,0,1.0
