date,year,month,source_url,resolved_source_url,source_file_sha256,source_file_md5,source_file_bytes,parsed_rows,malformed_rows,malformed_row_rate,total_source_document_weight,active_security_count,unique_active_alias_count,status,catalog_listed_flag,catalog_md5,catalog_size_bytes,source_available_flag,source_gap_class,source_gap_policy_sha256,source_gap_error
2022-11-10,2022,2022-11,https://data.gdeltproject.org/gkg/20221110.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,1,267bc1d89adeee67d4d8b0ed8a49c67e,24613876,0,CATALOG_LISTED_BUT_UNDELIVERABLE_AFTER_RETRIES,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20221110.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20221110.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20221110.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20221110.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20221110.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20221110.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20221110.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found
2023-03-22,2023,2023-03,https://data.gdeltproject.org/gkg/20230322.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,1,bd71df3ff8229c29898729ff5f210145,12132067,0,CATALOG_LISTED_BUT_UNDELIVERABLE_AFTER_RETRIES,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,"Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20230322.gkg.csv.zip | Catalog size mismatch: observed=12133692, expected=12132067 | history=url=http://data.gdeltproject.org/gkg/20230322.gkg.csv.zip attempt=1 http= error=Catalog size mismatch: observed=12133692, expected=12132067 || url=http://data.gdeltproject.org/gkg/20230322.gkg.csv.zip attempt=2 http= error=Catalog size mismatch: observed=12133692, expected=12132067 || url=http://data.gdeltproject.org/gkg/20230322.gkg.csv.zip attempt=3 http= error=Catalog size mismatch: observed=12133692, expected=12132067 || url=http://data.gdeltproject.org/gkg/20230322.gkg.csv.zip attempt=4 http= error=Catalog size mismatch: observed=12133692, expected=12132067 || url=http://data.gdeltproject.org/gkg/20230322.gkg.csv.zip attempt=5 http= error=Catalog size mismatch: observed=12133692, expected=12132067 || url=http://data.gdeltproject.org/gkg/20230322.gkg.csv.zip attempt=6 http= error=Catalog size mismatch: observed=12133692, expected=12132067"
2023-03-23,2023,2023-03,https://data.gdeltproject.org/gkg/20230323.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,1,273b5057d29cce6804ba2d9c9872b31b,38583688,0,CATALOG_LISTED_BUT_UNDELIVERABLE_AFTER_RETRIES,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 6 attempts per endpoint: https://data.gdeltproject.org/gkg/20230323.gkg.csv.zip | HTTP Error 404: Not Found | history=url=http://data.gdeltproject.org/gkg/20230323.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20230323.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20230323.gkg.csv.zip attempt=3 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20230323.gkg.csv.zip attempt=4 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20230323.gkg.csv.zip attempt=5 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20230323.gkg.csv.zip attempt=6 http=404 error=HTTP Error 404: Not Found
2025-06-14,2025,2025-06,https://data.gdeltproject.org/gkg/20250614.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250614.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250614.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250614.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250614.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250614.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-15,2025,2025-06,https://data.gdeltproject.org/gkg/20250615.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250615.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250615.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250615.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250615.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250615.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-16,2025,2025-06,https://data.gdeltproject.org/gkg/20250616.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250616.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250616.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250616.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250616.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250616.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-17,2025,2025-06,https://data.gdeltproject.org/gkg/20250617.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250617.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250617.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250617.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250617.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250617.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-18,2025,2025-06,https://data.gdeltproject.org/gkg/20250618.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250618.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250618.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250618.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250618.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250618.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-19,2025,2025-06,https://data.gdeltproject.org/gkg/20250619.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250619.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250619.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250619.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250619.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250619.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
2025-06-20,2025,2025-06,https://data.gdeltproject.org/gkg/20250620.gkg.csv.zip,,,,,,,,,503,500,DOCUMENTED_SOURCE_GAP,0,,,0,OFFICIAL_CATALOG_ABSENT_AND_DIRECT_UNAVAILABLE,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135,Download failed after 2 attempts per endpoint: https://data.gdeltproject.org/gkg/20250620.gkg.csv.zip | HTTP Error 404: Not Found | history=url=https://data.gdeltproject.org/gkg/20250620.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=https://data.gdeltproject.org/gkg/20250620.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250620.gkg.csv.zip attempt=1 http=404 error=HTTP Error 404: Not Found || url=http://data.gdeltproject.org/gkg/20250620.gkg.csv.zip attempt=2 http=404 error=HTTP Error 404: Not Found
