filename,catalog_md5,catalog_size_bytes
20130401.gkg.csv.zip,c8e40ee1b801408cbc52fa382539c46e,2822185
20130402.gkg.csv.zip,524e0fb0a19788698c0f48175424a793,3418872
20130403.gkg.csv.zip,7e38ea9cb0314731d829cc3d5c8ed2d5,3721890
20130404.gkg.csv.zip,5d476937113d6cb9ce6d0a672266a995,3613870
20130405.gkg.csv.zip,34846a96363eba01d07665d5b033f394,3431447
20130406.gkg.csv.zip,e31114e3621117cf6554f7093e383ac0,1956577
20130407.gkg.csv.zip,2f813c1bb102ca96017bfc7242c8adbc,2041785
20130408.gkg.csv.zip,6e49bb1d6f2f95739ae2f8fd18c60db3,3711229
20130409.gkg.csv.zip,e4a0d2c2acf34fa1112548194e023de7,3997616
20130410.gkg.csv.zip,a70383d35aad10f9466f0cc676541bb1,3876557
20130411.gkg.csv.zip,7f1cdf895cbea8513353e0ae93ed644a,3877527
20130412.gkg.csv.zip,2531ac20e7b323806e5c74cff9c87a86,3381890
20130413.gkg.csv.zip,e253f6187e8108a9f2029ac1236c0ff9,1969903
20130414.gkg.csv.zip,36eaf90e252e55ccea846bb250feb9f4,1904459
20130415.gkg.csv.zip,865d1e388a1ab38f4fe2a2cc36507408,3470778
20130416.gkg.csv.zip,6499c1a8c57d730a383c6f7ea28b990b,3142349
20130417.gkg.csv.zip,526eb389a1fde287dba80b0676d1e88d,3304165
20130418.gkg.csv.zip,1d08387312cbccbc9fc16f97aea7d674,3481182
20130419.gkg.csv.zip,31528677ee7a23b9fb93488c3a3d9fc2,2727488
20130420.gkg.csv.zip,2048d90cafd483b42cbb32cc6c6469cd,1659758
20130421.gkg.csv.zip,7537fe59b7295adff27714b0e42bb8f0,1783698
20130422.gkg.csv.zip,1b26704b999610d6b735707bdeed7e6d,3262981
20130423.gkg.csv.zip,3e87685962bddd42ccf103fd1455e973,3508028
20130424.gkg.csv.zip,73daf45c254b91554ff3e42ef1c7c69f,3382937
20130425.gkg.csv.zip,b09aedb287973e6721478e60656dabb3,3539841
20130426.gkg.csv.zip,b9b71d3ef305f434aca93f9089d77eb5,3127164
20130427.gkg.csv.zip,a9852a1704ecbe2912e8c97540c3ea58,1954197
20130428.gkg.csv.zip,59fb5b8996429123f23320016181fd91,1826762
20130429.gkg.csv.zip,7123995d6b405caec77418d94a232c44,3473304
20130430.gkg.csv.zip,c54222d363d3f4f007a14ed8c5112ab7,3574984
20130501.gkg.csv.zip,f7ab5778476601f7699b5c9c8f4e2fe0,2993626
20130502.gkg.csv.zip,71fa396282643d0fd5b1d53d3816d777,3517785
20130503.gkg.csv.zip,a73779c31fcfc4a974b26cbd69a4c57d,3273390
20130504.gkg.csv.zip,3d97d0c441580d5efe40a2c63f36d61f,1912417
20130505.gkg.csv.zip,01532a2db789c09459bab07812c27505,2013971
20130506.gkg.csv.zip,b4cf68f5b1ec4153d61eedc2bd9bdc53,3453949
20130507.gkg.csv.zip,bc7bf2201c9f7391c854fb620ce8c1b0,3929706
20130508.gkg.csv.zip,1dadf5db58f8317af5c49dde1db5283c,3712526
20130509.gkg.csv.zip,1dda286c595eef5de27065268483f7db,3524431
20130510.gkg.csv.zip,64c9186aba996cc5c66fee325bcbbb23,3208168
20130511.gkg.csv.zip,8927f74e7a6f575bcfceaa399827cb34,1864236
20130512.gkg.csv.zip,8759fac0e8db774b7a6af85cdf1cef07,2015428
20130513.gkg.csv.zip,1713c313e67d5563135f749034e54171,3358515
20130514.gkg.csv.zip,735d027c4beda2fa059d6dcc7359fca2,3654860
20130515.gkg.csv.zip,86e5a62dc28d350d39d6510715b76d75,3912865
20130516.gkg.csv.zip,e425e9e97ff6bce5415573372726965b,3709120
20130517.gkg.csv.zip,69051efe3942da2aca46ec043cd1b220,3300323
20130518.gkg.csv.zip,a81090311bbb472fbc65696145a2e93c,1828598
20130519.gkg.csv.zip,a9e7e039ed01ababd4f410d428cbc196,1967248
20130520.gkg.csv.zip,f72964e9fd50eeeb0456612d931bc87d,3414247
20130521.gkg.csv.zip,a79af1e000adab9fbcdee1cc47fc73be,3784941
20130522.gkg.csv.zip,123363ee94a0a2793e1fbb4530e7b49a,3835079
20130523.gkg.csv.zip,7585f05134ca40ecf762e96953cfd4dc,3624046
20130524.gkg.csv.zip,d3cdc0c1d3347dfc9d5078e87165eb7b,3306146
20130525.gkg.csv.zip,d598ab04396fd1096c5bd2a89673a774,1890812
20130526.gkg.csv.zip,648516469262888cf53510580b0348ea,1980844
20130527.gkg.csv.zip,f8b8910e3f9728a791a922063d31a5db,2859865
20130528.gkg.csv.zip,05ea6bb1d6f3c904b9a3ba4f494e4be4,3373112
20130529.gkg.csv.zip,2571b239b8354a796fd73ebaa2f0682b,3854899
20130530.gkg.csv.zip,cb8ab7cbc5b9d3d54d85cefad4b049cb,3605755
20130531.gkg.csv.zip,10bef38d97fdc5abb01286e967849417,3330034
20130601.gkg.csv.zip,552e0798703f71bf65aa6382761a311e,1980712
20130602.gkg.csv.zip,3155c6e7d0bed8ce4d29541864dc09a8,2026369
20130603.gkg.csv.zip,4544a60dc0a5507f00a68f136077b51d,3687161
20130604.gkg.csv.zip,9dee0448fd643132cc6ba1ffea08e9ae,3731785
20130605.gkg.csv.zip,6a27fdd7fda366781311940edb7ceb0e,3924617
20130606.gkg.csv.zip,0e73ca6b44b57f933e4da73ac8c919e7,3487710
20130607.gkg.csv.zip,310c3172beca766fd9ad48e569b1acd2,3425349
20130608.gkg.csv.zip,90b58663f5c412829fd02bb616bcfe53,1961484
20130609.gkg.csv.zip,4e5dcb97de5ee43a046af60089fa2eb8,2130612
20130610.gkg.csv.zip,1ceda49c10876aa8642b96d5b95890a0,3512301
20130611.gkg.csv.zip,0b4a1134499226426f1a3d84412e21ca,3780049
20130612.gkg.csv.zip,56948dc5ea0841f8c1c95351b6908c40,3929073
20130613.gkg.csv.zip,ffbc5af41edaa09b586859b9b7c5ab69,13944628
20130614.gkg.csv.zip,b3092bb7ce9ece7d7c4336edf2ef5bd0,12018179
20130615.gkg.csv.zip,9a19ad881a20b1952f62d0b2dbf5a39b,8253444
20130616.gkg.csv.zip,a21314f687336ebccd534abfaa14c710,8341766
20130617.gkg.csv.zip,590d8a50f1cbd140da30f2eaaac30e92,14105178
20130618.gkg.csv.zip,08b315347fd53251546f7ea80005825d,11634458
20130619.gkg.csv.zip,deb9e9a71db4fca6ccdb203f65f2c805,11575272
20130620.gkg.csv.zip,a59ab53d912d82a00bb9cbf0843f8e57,11927434
20130621.gkg.csv.zip,51424ee07d78125d4cba713e1cf3c14d,13503637
20130622.gkg.csv.zip,ee35e0f67a092a6673c1f9f108ff84c6,6944481
20130623.gkg.csv.zip,2e1d1efe7e8918679d453cf956bffdde,8556369
20130624.gkg.csv.zip,83451046b47b602946bedc075e48f5c1,10640830
20130625.gkg.csv.zip,eb249a6a2f763d1cf61ddf14bf5c7dcb,9613150
20130626.gkg.csv.zip,563d5448bd2f5e83a003f36c6cf2caab,14649285
20130627.gkg.csv.zip,e162f8e9c14c45257cb81f2e98ebf6b6,14770000
20130628.gkg.csv.zip,c4c78502e1fd2f39094503595338c122,13513978
20130629.gkg.csv.zip,f3a0ddc4514f5a0cae005e7379821429,7840140
20130630.gkg.csv.zip,16ecb7dd180a0e1782b56a675a08adfc,8704526
20130701.gkg.csv.zip,a6f2c282420e76a1daf4b2213cadaedd,15279238
20130702.gkg.csv.zip,cc35dbec04bee559fffeef5c62c0c77e,16093743
20130703.gkg.csv.zip,bfda9afd8731d408d9ea385039315f88,15557532
20130704.gkg.csv.zip,4b6ee034e90307ba4906cae930e82951,12542324
20130705.gkg.csv.zip,2d205aae221d08a5f781cf9159f56408,12593001
20130706.gkg.csv.zip,564207dc813f6ad729d8dffa840faaae,8238259
20130707.gkg.csv.zip,1ab4f36a43b97fa1854e20154f1253ae,8893935
20130708.gkg.csv.zip,d95a1729c3c9f4c7c7a6e32a2639aa97,15293865
20130709.gkg.csv.zip,0db920d25d00d0f19190668222c95d36,16163186
20130710.gkg.csv.zip,3b6682f049d211f5dac83283998f5ba1,15718383
20130711.gkg.csv.zip,215505f5db4e91b72d788411f15a2eed,15622040
20130712.gkg.csv.zip,a004f97864c0ac5dc2b925433e7060c3,14875312
20130713.gkg.csv.zip,2b3caeb0325f94a309a06d15b6a614a6,8737804
20130714.gkg.csv.zip,0736989dffc62cf8db4658d300f2fb7d,8978625
20130715.gkg.csv.zip,20744676f99da574baebc089340e0455,15407743
20130716.gkg.csv.zip,a2bcb703229f1f03f6238d1a3e4016d8,16651452
20130717.gkg.csv.zip,09c378b4e97dcc8e4d50dc00289b5486,18174631
20130718.gkg.csv.zip,04ef404bbec6268a38519b31f6f598a4,18381052
20130719.gkg.csv.zip,cb902030fa1326a0ad88cd2ebef68815,16540518
20130720.gkg.csv.zip,a654e97344dd7b63d565f5ee1e42ce6e,9584861
20130721.gkg.csv.zip,a3073934812a9c05619010eeeb2bcaf2,9666772
20130722.gkg.csv.zip,9e9e0c6a2b06dcc84a9db56bcfb08460,17073924
20130723.gkg.csv.zip,fb483c116804095acaf15de662d9e8d3,13967069
20130724.gkg.csv.zip,32205825e0e5859b0411d8533bb9445d,16636789
20130725.gkg.csv.zip,9ab3aeb8f427be39562a71cf17648546,17974747
20130726.gkg.csv.zip,ddcc56c16a2c6627691d5feda8afd982,16213149
20130727.gkg.csv.zip,c7e089d7465e3f7c8a0f75931a55fa23,9732985
20130728.gkg.csv.zip,864128d7abd1581d993d9b4a508b718b,9849156
20130729.gkg.csv.zip,a060316e24909f90b8255f4324f2e4df,16580955
20130730.gkg.csv.zip,f8ec0eccfe7bad00a5e79b2962de0de6,18060896
