month,expected_calendar_days,source_available_days,source_missing_days,source_coverage_rate,global_primary_attention_eligible_flag,primary_attention_exclusion_reason,fail_closed_policy_id,fail_closed_policy_sha256,source_gap_policy_sha256
2021-01,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-02,28,28,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-03,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-04,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-05,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-06,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-07,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-08,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-09,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-10,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-11,30,30,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2021-12,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
2022-01,31,31,0,1.0,1,,H3_GDELT_FAIL_CLOSED_MONTH_ELIGIBILITY_V1,9837f2d31b5da907f0ab17f7ef50d9b22d44d51f51689bae937ffa7e8ab84aac,1284f9141657400869b7eaef1ce7a19eb6fdf6e26e34509f819c6e0920dfd135
