security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,eligible_anchor_windows,nonzero_anchor_windows,total_matched_source_document_weight,total_source_document_weight,any_nonzero_window_flag,two_plus_nonzero_windows_flag,nonzero_window_rate
A,0001090872,A,MEDIUM,5,5,260,3470614,1,1,1.0
AAL,0000006201,AAL,LOW,3,3,136,2176828,1,1,1.0
AAP,0001158449,AAP,LOW,3,3,31,2176828,1,1,1.0
AAPL,0000320193,AAPL,HIGH,5,5,1814,3470614,1,1,1.0
ABBV,0001551152,ABBV,HIGH,5,5,253,3470614,1,1,1.0
ABMD,0000815094,ABMD,HIGH,2,2,13,1358483,1,1,1.0
ABNB,0001559720,ABNB,HIGH,2,2,33,1293786,1,1,1.0
ABT,0000001800,ABT,MEDIUM,5,5,478,3470614,1,1,1.0
ACGL,0000947484,ACGL,LOW,3,3,26,2112131,1,1,1.0
ACN,0001467373,ACN,LOW,5,5,1184,3470614,1,1,1.0
ADBE,0000796343,ADBE,HIGH,5,5,163,3470614,1,1,1.0
ADI,0000006281,ADI,MEDIUM,5,5,239,3470614,1,1,1.0
ADM,0000007084,ADM,LOW,5,5,292,3470614,1,1,1.0
ADP,0000008670,ADP,LOW,5,5,61,3470614,1,1,1.0
ADSK,0000769397,ADSK,HIGH,5,5,98,3470614,1,1,1.0
AEE,0001002910,AEE,HIGH,5,2,125,3470614,1,1,0.4
AEP,0000004904,AEP,LOW,5,5,132,3470614,1,1,1.0
AES,0000874761,AES,HIGH,5,0,0,3470614,0,0,0.0
AFL,0000004977,AFL,HIGH,5,4,123,3470614,1,1,0.8
AIG,0000005272,AIG,LOW,5,5,206,3470614,1,1,1.0
AIZ,0001267238,AIZ,HIGH,5,4,24,3470614,1,1,0.8
AJG,0000354190,AJG,LOW,5,0,0,3470614,0,0,0.0
AKAM,0001086222,AKAM,MEDIUM,5,5,83,3470614,1,1,1.0
ALB,0000915913,ALB,HIGH,5,4,54,3470614,1,1,0.8
ALGN,0001097149,ALGN,MEDIUM,5,0,0,3470614,0,0,0.0
ALK,0000766421,ALK,LOW,3,3,87,2176828,1,1,1.0
ALL,0000899051,ALL,HIGH,5,4,26,3470614,1,1,0.8
ALLE,0001579241,ALLE,HIGH,5,3,6,3470614,1,1,0.6
ALXN,0000899866,ALXN,MEDIUM,1,1,29,768867,1,0,1.0
AMAT,,AMAT,MEDIUM,5,5,166,3470614,1,1,1.0
AMCR,0001748790,AMCR,HIGH,5,4,13,3470614,1,1,0.8
AMD,0000002488,AMD,LOW,5,5,241,3470614,1,1,1.0
