date,window_id,source_url,source_file_sha256,source_file_bytes,parsed_rows,malformed_rows,malformed_row_rate,total_source_document_weight,active_security_count,unique_active_alias_count,status,manifest_sha256,config_sha256,script_version
2021-01-11,W2021,https://data.gdeltproject.org/gkg/20210111.gkg.csv.zip,47528f01cb16ecdc03696462830d769833ab2b476f8df70d310e88777ba1f3ba,29355779,74168,1,1.3482721891895535e-05,108480,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2021-01-12,W2021,https://data.gdeltproject.org/gkg/20210112.gkg.csv.zip,cd379d543ba7ad7cb92f4a5cd9af68cb1bcddd8ac8a7d2095a75f801ae5caa32,33869711,85655,1,1.1674605398337537e-05,128241,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2021-01-13,W2021,https://data.gdeltproject.org/gkg/20210113.gkg.csv.zip,a8b3ad0a309cf6793dbc3d8d53d8b5474395b64de3b91ba67e0f9dd6cf7f7a73,35310595,89187,1,1.1212270709064e-05,133593,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2021-01-14,W2021,https://data.gdeltproject.org/gkg/20210114.gkg.csv.zip,9bc5c653b1777f6e2631c58ea13bfce7896a5a9776a10be2aefc0b516f18cafd,34311172,86832,1,1.1516358987942372e-05,130817,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2021-01-15,W2021,https://data.gdeltproject.org/gkg/20210115.gkg.csv.zip,7a567a0d3ba02991f905b6cd5dd54969a9fe903c590953534f69fdbedf9b5709,32472453,81481,1,1.2272649174050711e-05,126280,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2021-01-16,W2021,https://data.gdeltproject.org/gkg/20210116.gkg.csv.zip,1e0d62ea887f8373f741fd2446a77905d90e2639b1eb3d8008de7191f2d614c3,19589138,48347,1,2.0683378836766775e-05,76429,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2021-01-17,W2021,https://data.gdeltproject.org/gkg/20210117.gkg.csv.zip,843a972795f4463fb4d0bdf665a4d4a12fcb79be001eb677c9304f6c45c40b84,17145708,41235,1,2.425065476767873e-05,65027,505,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2022-04-11,W2022,https://data.gdeltproject.org/gkg/20220411.gkg.csv.zip,c24364e54e9d0091d6a2c6c3e810056ecc7f35a474795afee315ba53e33bb0e1,25058571,62694,1,1.5950235265970173e-05,92410,504,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2022-04-12,W2022,https://data.gdeltproject.org/gkg/20220412.gkg.csv.zip,303b76f5f86356db2475e1fcd172ccd4ad9c919abab870e67a0e769b0454f1c0,27767300,70039,1,1.4277555682467162e-05,104748,504,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
2022-04-13,W2022,https://data.gdeltproject.org/gkg/20220413.gkg.csv.zip,ee71728a2379dcd74d17e1adcf6b1ae94e7429306d670077ada7c1d751097464,28779672,71820,1,1.3923504267554058e-05,104597,504,500,DOWNLOADED_PARSED_RAW_DELETED,1924d4589afdf855fa03bc3637b273c6dd244a1827c48b620df29a1d6a157799,8184dbc3bfb147e1ba561b316c28e9b5c3a58c9e9d56951d1b6e4fe55a4b4533,2026-08-25-v1-h3-gdelt-alias-coverage-missingness-gate
