window_id,security_key,issuer_cik,latest_project_ticker,structural_ambiguity_tier,alias_selection_reason,authoritative_name_source_layer,eligible_days,nonzero_days,matched_source_document_weight,total_source_document_weight,attention_share,strict_nonzero_window_flag
W2021,A,0001090872,A,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,110,768867,0.00014306765669485098,1
W2021,AAL,0000006201,AAL,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,7,43,768867,5.5926447617078114e-05,1
W2021,AAP,0001158449,AAP,LOW,CONSERVATIVE_LEGAL_CORE,STAGE3I_MEMBERSHIP_NAME,7,1,2,768867,2.6012301217245635e-06,1
W2021,AAPL,0000320193,AAPL,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,999,768867,0.0012993144458014194,1
W2021,ABBV,0001551152,ABBV,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,53,768867,6.893259822570093e-05,1
W2021,ABMD,0000815094,ABMD,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STAGE3I_MEMBERSHIP_NAME,7,4,8,768867,1.0404920486898254e-05,1
W2021,ABT,0000001800,ABT,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,161,768867,0.00020939902479882736,1
W2021,ACN,0001467373,ACN,LOW,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,405,768867,0.0005267490996492242,1
W2021,ADBE,0000796343,ADBE,HIGH,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,6,15,768867,1.9509225912934226e-05,1
W2021,ADI,0000006281,ADI,MEDIUM,CONSERVATIVE_LEGAL_CORE,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,7,7,82,768867,0.0001066504349907071,1
