security_key,latest_project_ticker,canonical_company_name,research_type,from_name_key,to_name_key,search_start_date,search_end_date,candidate_sec_cik,research_priority,required_source_standard,research_question
ABNB,ABNB,Airbnb,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001559720,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ACN,ACN,ACCENTURE PLC CL A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001467373,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ADM,ADM,ARCHER DANIELS MIDLAND CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000007084,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AIG,AIG,AMERICAN INTERNATIONAL GROUP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000005272,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AJG,AJG,ARTHUR J GALLAGHER + CO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000354190,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AOS,AOS,SMITH (A.O.) CORP,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000091142,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
APD,APD,AIR PRODUCTS + CHEMICALS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000002969,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
APO,APO,Apollo Global Mgt,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001858681,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001035443,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
AZO,AZO,AUTOZONE INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000866787,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BG,BG,Bunge,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001996862,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BLK,BLK,BLACKROCK INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0002012383,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BR,BR,BROADRIDGE FINANCIAL SOLUTIO,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001383312,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
BX,BX,Blackstone,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001393818,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
C,C,CITIGROUP INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000831001,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CAH,CAH,CARDINAL HEALTH INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000721371,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CBRE,CBRE,CBRE GROUP INC   A,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0001138118,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CCL,CCL,CARNIVAL CORP LTD,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000815097,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
CDNS,CDNS,CADENCE DESIGN SYS INC,NAME_STATE_RECONCILIATION,,,2021-01-01,2025-12-31,0000813672,2,SEC/company primary authoritative source,"Did this issuer have a project-period company-name change relevant to attention-query aliases, and if so what were the exact names and effective dates?"
