security_key,latest_project_ticker,canonical_company_name,candidate_sec_cik,project_name_exact,project_name_legal_core,sec_current_name,sec_current_name_exact,sec_current_name_legal_core,nport_raw_names_pipe,nport_exact_names_pipe,nport_legal_cores_pipe,nport_legal_core_count,true_transition_count,false_transition_count,all_nport_states_explained_by_transition_flag,project_period_sec_former_name_count,reconciliation_status,reconciliation_rationale,research_priority,required_source_standard,research_question
STX,STX,SEAGATE TECHNOLOGY HOLDINGS,0001137789,SEAGATE TECHNOLOGY HOLDINGS,SEAGATE TECHNOLOGY HOLDINGS,Seagate Technology Holdings plc,SEAGATE TECHNOLOGY HOLDINGS PLC,SEAGATE TECHNOLOGY HOLDINGS,Seagate Technology Holdings PLC|Seagate Technology PLC,SEAGATE TECHNOLOGY HOLDINGS PLC|SEAGATE TECHNOLOGY PLC,SEAGATE TECHNOLOGY|SEAGATE TECHNOLOGY HOLDINGS,2,0,0,0,1,RESEARCH_MULTIPLE_UNEXPLAINED_NPORT_STATES,Multiple historical NPORT name states remain after applying all already resolved transition evidence.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
ABNB,ABNB,Airbnb,0001559720,AIRBNB,AIRBNB,"Airbnb, Inc.",AIRBNB INC,AIRBNB,Airbnb Inc,AIRBNB INC,AIRBNB,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
ACN,ACN,ACCENTURE PLC CL A,0001467373,ACCENTURE PLC CL A,ACCENTURE,Accenture plc,ACCENTURE PLC,ACCENTURE,Accenture PLC,ACCENTURE PLC,ACCENTURE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
ADM,ADM,ARCHER DANIELS MIDLAND CO,0000007084,ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,Archer-Daniels-Midland Co,ARCHER DANIELS MIDLAND CO,ARCHER DANIELS MIDLAND,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
AIG,AIG,AMERICAN INTERNATIONAL GROUP,0000005272,AMERICAN INTERNATIONAL GROUP,AMERICAN INTERNATIONAL GROUP,"AMERICAN INTERNATIONAL GROUP, INC.",AMERICAN INTERNATIONAL GROUP INC,AMERICAN INTERNATIONAL GROUP,American International Group Inc,AMERICAN INTERNATIONAL GROUP INC,AMERICAN INTERNATIONAL GROUP,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
APD,APD,AIR PRODUCTS + CHEMICALS INC,0000002969,AIR PRODUCTS CHEMICALS INC,AIR PRODUCTS CHEMICALS,"Air Products & Chemicals, Inc.",AIR PRODUCTS AND CHEMICALS INC,AIR PRODUCTS AND CHEMICALS,Air Products and Chemicals Inc,AIR PRODUCTS AND CHEMICALS INC,AIR PRODUCTS AND CHEMICALS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
APO,APO,Apollo Global Mgt,0001858681,APOLLO GLOBAL MGT,APOLLO GLOBAL MGT,"Apollo Global Management, Inc.",APOLLO GLOBAL MANAGEMENT INC,APOLLO GLOBAL MANAGEMENT,Apollo Global Management Inc,APOLLO GLOBAL MANAGEMENT INC,APOLLO GLOBAL MANAGEMENT,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
ARE,ARE,ALEXANDRIA REAL ESTATE EQUIT,0001035443,ALEXANDRIA REAL ESTATE EQUIT,ALEXANDRIA REAL ESTATE EQUIT,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",ALEXANDRIA REAL ESTATE EQUITIES INC,ALEXANDRIA REAL ESTATE EQUITIES,Alexandria Real Estate Equities Inc,ALEXANDRIA REAL ESTATE EQUITIES INC,ALEXANDRIA REAL ESTATE EQUITIES,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
AZO,AZO,AUTOZONE INC,0000866787,AUTOZONE INC,AUTOZONE,AUTOZONE INC,AUTOZONE INC,AUTOZONE,AutoZone Inc,AUTOZONE INC,AUTOZONE,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
BLK,BLK,BLACKROCK INC,0002012383,BLACKROCK INC,BLACKROCK,"BlackRock, Inc.",BLACKROCK INC,BLACKROCK,BlackRock Inc|Blackrock Inc,BLACKROCK INC,BLACKROCK,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
BR,BR,BROADRIDGE FINANCIAL SOLUTIO,0001383312,BROADRIDGE FINANCIAL SOLUTIO,BROADRIDGE FINANCIAL SOLUTIO,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",BROADRIDGE FINANCIAL SOLUTIONS INC,BROADRIDGE FINANCIAL SOLUTIONS,Broadridge Financial Solutions Inc,BROADRIDGE FINANCIAL SOLUTIONS INC,BROADRIDGE FINANCIAL SOLUTIONS,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
BX,BX,Blackstone,0001393818,BLACKSTONE,BLACKSTONE,Blackstone Inc.,BLACKSTONE INC,BLACKSTONE,Blackstone Inc,BLACKSTONE INC,BLACKSTONE,1,0,0,0,2,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
C,C,CITIGROUP INC,0000831001,CITIGROUP INC,CITIGROUP,CITIGROUP INC,CITIGROUP INC,CITIGROUP,Citigroup Inc,CITIGROUP INC,CITIGROUP,1,0,0,0,1,RESEARCH_PROJECT_PERIOD_SEC_FORMER_NAME_EVIDENCE,SEC former-name metadata overlaps the project window and has not yet been tied to an exact authoritative transition or rejected as irrelevant.,1,"SEC filing, SEC exhibit, official company investor-relations announcement, or equivalent primary corporate source",Resolve the issuer's valid public/company name state(s) and any project-period effective date(s) needed for a high-precision GDELT company-attention alias.
