security_key,latest_project_ticker,canonical_company_name,membership_company_name,membership_valid_from,membership_valid_to_exclusive,left_censored,right_censored,entry_source_url,exit_source_url,stage3b2_candidate_sec_cik,resolved_sec_cik,cik_resolution_basis,known_in_membership_public_name_event_count,known_in_membership_legal_only_name_event_count,known_in_membership_ticker_only_event_count,unexpected_in_membership_sec_former_name_signal_count,final_no_nport_disposition,name_state_resolution_basis,resolution_status
LUMN,LUMN,Lumen Technologies,Lumen Technologies,2021-01-01,2023-03-20,True,False,,https://press.spglobal.com/2023-03-03-Fair-Isaac-Co-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0000018926,0000018926,STAGE3B2_CANDIDATE,0,1,0,0,PREWINDOW_PUBLIC_REBRAND_WITH_INWINDOW_LEGAL_NAME_FINALIZATION,PRIMARY_SOURCE_PUBLIC_REBRAND_PREWINDOW_PLUS_LEGAL_FINALIZATION_INWINDOW,CLOSED_NO_NPORT_SOURCE_GAP
AAL,AAL,American Airlines Group,American Airlines Group,2021-01-01,2024-09-23,True,False,,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0000006201,0000006201,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
AAP,AAP,Advance Auto Parts,Advance Auto Parts,2021-01-01,2023-08-25,True,False,,https://press.spglobal.com/2023-08-21-Kenvue-Set-to-Join-S-P-500-Advance-Auto-Parts-to-Join-S-P-SmallCap-600,0001158449,0001158449,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ABMD,ABMD,Abiomed,Abiomed,2021-01-01,2022-12-22,True,False,,https://press.spglobal.com/2022-12-19-Steel-Dynamics-Set-to-Join-S-P-500-Super-Micro-Computer-to-Join-S-P-MidCap-400,,0000815094,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ALK,ALK,Alaska Air Group,Alaska Air Group,2021-01-01,2023-12-18,True,False,,https://press.spglobal.com/2023-12-01-Uber-Technologies%2C-Jabil-and-Builders-FirstSource-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0000766421,0000766421,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ALXN,ALXN,Alexion Pharmaceuticals,Alexion Pharmaceuticals,2021-01-01,2021-07-21,True,False,,https://press.spglobal.com/2021-07-15-Moderna-Set-to-Join-S-P-500,,0000899866,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
AMTM,AMTM,Amentum,Amentum,2024-09-30,2024-12-23,False,False,https://press.spglobal.com/2024-09-24-Amentum-Set-to-Join-S-P-500-Bath-Body-Works-to-Join-S-P-SmallCap-600,https://press.spglobal.com/2024-12-06-Apollo-Global-Management-and-Workday-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0002011286,0002011286,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
ANSS,ANSS,ANSYS,ANSYS,2021-01-01,2025-07-18,True,False,,https://press.spglobal.com/2025-07-14-The-Trade-Desk-Set-to-Join-S-P-500,,0001013462,UNIQUE_EXACT_SEC_CIK_LOOKUP_NAME_CORE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
BIO,BIO,Bio-Rad Laboratories,Bio-Rad Laboratories,2021-01-01,2024-09-23,True,False,,https://press.spglobal.com/2024-09-06-Palantir-Technologies%2C-Dell-Technologies%2C-and-Erie-Indemnity-Set-to-Join-S-P-500-Others-to-Join-S-P-MidCap-400-and-S-P-SmallCap-600,0000012208,0000012208,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
BWA,BWA,Borgwarner,Borgwarner,2021-01-01,2025-03-24,True,False,,https://press.spglobal.com/2025-03-07-DoorDash%2C-TKO-Group-Holdings%2C-Williams-Sonoma-and-Expand-Energy-Set-to-Join-S-P-500-Others-to-Join-S-P-100%2C-S-P-MidCap-400-and-S-P-SmallCap-600,0000908255,0000908255,STAGE3B2_CANDIDATE,0,0,0,0,STABLE_PUBLIC_NAME_OFFICIAL_MEMBERSHIP_PLUS_SEC_IDENTITY,OFFICIAL_SP500_MEMBERSHIP_PLUS_SEC_IDENTITY,CLOSED_NO_NPORT_SOURCE_GAP
