security_key,issuer_cik,issuer_cik_source,latest_project_ticker,structural_ambiguity_tier,ticker_like_exact_name_flag,membership_valid_from,membership_valid_to_exclusive,alias_valid_from,alias_valid_to_exclusive,authoritative_state_name,authoritative_name_source_layer,state_basis,full_normalized_alias,legal_core_alias,production_alias,alias_selection_reason,bare_ticker_qualification_source,matching_mode,policy_id,policy_sha256,bare_ticker_alias_flag
A,0001090872,STAGE3B2_CANDIDATE_CIK,A,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Agilent Technologies Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,agilent technologies inc,agilent technologies,agilent technologies,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AAL,0000006201,STAGE3I_RESOLVED_CIK,AAL,LOW,0,2021-01-01,2024-09-23,2021-01-01,2024-09-23,American Airlines Group,STAGE3I_MEMBERSHIP_NAME,STABLE,american airlines group,american airlines group,american airlines group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AAP,0001158449,STAGE3I_RESOLVED_CIK,AAP,LOW,0,2021-01-01,2023-08-25,2021-01-01,2023-08-25,Advance Auto Parts,STAGE3I_MEMBERSHIP_NAME,STABLE,advance auto parts,advance auto parts,advance auto parts,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
AAPL,0000320193,STAGE3B2_CANDIDATE_CIK,AAPL,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Apple Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,apple inc,apple,apple inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ABBV,0001551152,STAGE3B2_CANDIDATE_CIK,ABBV,HIGH,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,AbbVie Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,abbvie inc,abbvie,abbvie inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ABMD,0000815094,STAGE3I_RESOLVED_CIK,ABMD,HIGH,0,2021-01-01,2022-12-22,2021-01-01,2022-12-22,Abiomed,STAGE3I_MEMBERSHIP_NAME,STABLE,abiomed,abiomed,abiomed,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ABNB,0001559720,STAGE3B2_CANDIDATE_CIK,ABNB,HIGH,0,2023-09-18,2026-01-01,2023-09-18,2026-01-01,Airbnb Inc,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,airbnb inc,airbnb,airbnb inc,FULL_AUTHORITATIVE_NAME_PRECISION_CONTROL,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ABT,0000001800,STAGE3B2_CANDIDATE_CIK,ABT,MEDIUM,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Abbott Laboratories,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,abbott laboratories,abbott laboratories,abbott laboratories,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ACGL,0000947484,STAGE3B2_CANDIDATE_CIK,ACGL,LOW,0,2022-11-01,2026-01-01,2022-11-01,2026-01-01,Arch Capital Group Ltd,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,arch capital group ltd,arch capital group,arch capital group,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
ACN,0001467373,STAGE3B2_CANDIDATE_CIK,ACN,LOW,0,2021-01-01,2026-01-01,2021-01-01,2026-01-01,Accenture PLC,LATEST_IN_MEMBERSHIP_SEC_NPORT_NAME,STABLE,accenture plc,accenture,accenture,CONSERVATIVE_LEGAL_CORE,STATE_NAME,EXACT_NORMALIZED_GKG_ORGANIZATION,H3_PIT_ATTENTION_ALIAS_POLICY_V5,c18b1ce9c421f52afb3d0d2ea85fe4e1e4f282fa5d14a85cefd9ccf21da2bb40,0
