security_key,alias_interval_count,unique_production_alias_count,first_alias_date,last_alias_end_exclusive,ambiguity_tier,bare_ticker_alias_rows
A,1,1,2021-01-01,2026-01-01,MEDIUM,0
AAL,1,1,2021-01-01,2024-09-23,LOW,0
AAP,1,1,2021-01-01,2023-08-25,LOW,0
AAPL,1,1,2021-01-01,2026-01-01,HIGH,0
ABBV,1,1,2021-01-01,2026-01-01,HIGH,0
ABMD,1,1,2021-01-01,2022-12-22,HIGH,0
ABNB,1,1,2023-09-18,2026-01-01,HIGH,0
ABT,1,1,2021-01-01,2026-01-01,MEDIUM,0
ACGL,1,1,2022-11-01,2026-01-01,LOW,0
ACN,1,1,2021-01-01,2026-01-01,LOW,0
ADBE,1,1,2021-01-01,2026-01-01,HIGH,0
ADI,1,1,2021-01-01,2026-01-01,MEDIUM,0
ADM,1,1,2021-01-01,2026-01-01,LOW,0
ADP,1,1,2021-01-01,2026-01-01,LOW,0
ADSK,1,1,2021-01-01,2026-01-01,HIGH,0
AEE,1,1,2021-01-01,2026-01-01,HIGH,0
AEP,1,1,2021-01-01,2026-01-01,LOW,0
AES,1,1,2021-01-01,2026-01-01,HIGH,0
AFL,1,1,2021-01-01,2026-01-01,HIGH,0
AIG,1,1,2021-01-01,2026-01-01,LOW,0
AIZ,1,1,2021-01-01,2026-01-01,HIGH,0
AJG,1,1,2021-01-01,2026-01-01,LOW,0
AKAM,1,1,2021-01-01,2026-01-01,MEDIUM,0
ALB,1,1,2021-01-01,2026-01-01,HIGH,0
ALGN,1,1,2021-01-01,2026-01-01,MEDIUM,0
ALK,1,1,2021-01-01,2023-12-18,LOW,0
ALL,1,1,2021-01-01,2026-01-01,HIGH,0
ALLE,1,1,2021-01-01,2026-01-01,HIGH,0
ALXN,1,1,2021-01-01,2021-07-21,MEDIUM,0
AMAT,1,1,2021-01-01,2026-01-01,MEDIUM,0
AMCR,1,1,2021-01-01,2026-01-01,HIGH,0
AMD,1,1,2021-01-01,2026-01-01,LOW,0
AME,1,1,2021-01-01,2026-01-01,HIGH,0
AMGN,1,1,2021-01-01,2026-01-01,HIGH,0
AMP,1,1,2021-01-01,2026-01-01,MEDIUM,0
AMT,1,1,2021-01-01,2026-01-01,MEDIUM,0
AMTM,1,1,2024-09-30,2024-12-23,HIGH,0
AMZN,1,1,2021-01-01,2026-01-01,MEDIUM,0
ANET,1,1,2021-01-01,2026-01-01,MEDIUM,0
ANSS,1,1,2021-01-01,2025-07-18,HIGH,0
AON,1,1,2021-01-01,2026-01-01,LOW,0
AOS,1,1,2021-01-01,2026-01-01,LOW,0
APA,1,1,2021-01-01,2026-01-01,HIGH,0
APD,1,1,2021-01-01,2026-01-01,LOW,0
APH,1,1,2021-01-01,2026-01-01,LOW,0
APO,1,1,2024-12-23,2026-01-01,LOW,0
APP,1,1,2025-09-22,2026-01-01,HIGH,0
APTV,1,1,2021-01-01,2026-01-01,HIGH,0
ARE,1,1,2021-01-01,2026-01-01,LOW,0
ARES,1,1,2025-12-11,2026-01-01,MEDIUM,0
ATO,1,1,2021-01-01,2026-01-01,MEDIUM,0
ATVI,1,1,2021-01-01,2023-10-18,MEDIUM,0
AVB,1,1,2021-01-01,2026-01-01,MEDIUM,0
AVGO,1,1,2021-01-01,2026-01-01,HIGH,0
AVY,1,1,2021-01-01,2026-01-01,MEDIUM,0
AWK,1,1,2021-01-01,2026-01-01,LOW,0
AXON,1,1,2023-05-04,2026-01-01,MEDIUM,0
AXP,1,1,2021-01-01,2026-01-01,MEDIUM,0
AZO,1,1,2021-01-01,2026-01-01,HIGH,0
BA,1,1,2021-01-01,2026-01-01,LOW,0
BAC,1,1,2021-01-01,2026-01-01,LOW,0
BALL,1,1,2021-01-01,2026-01-01,HIGH,0
BAX,1,1,2021-01-01,2026-01-01,MEDIUM,0
BBWI,2,2,2021-01-01,2024-10-01,LOW,0
BBY,1,1,2021-01-01,2026-01-01,HIGH,0
BDX,1,1,2021-01-01,2026-01-01,LOW,0
BEN,1,1,2021-01-01,2026-01-01,MEDIUM,0
BF.B,1,1,2021-01-01,2026-01-01,LOW,0
BG,1,1,2023-03-15,2026-01-01,HIGH,0
BIIB,1,1,2021-01-01,2026-01-01,HIGH,0
BIO,1,1,2021-01-01,2024-09-23,LOW,0
BKNG,1,1,2021-01-01,2026-01-01,HIGH,0
BKR,1,1,2021-01-01,2026-01-01,MEDIUM,0
BLDR,1,1,2023-12-18,2026-01-01,MEDIUM,0
BLK,1,1,2021-01-01,2026-01-01,HIGH,0
BMY,1,1,2021-01-01,2026-01-01,LOW,0
BNY,1,1,2021-01-01,2026-01-01,LOW,0
BR,1,1,2021-01-01,2026-01-01,LOW,0
BRK.B,1,1,2021-01-01,2026-01-01,LOW,0
BRO,1,1,2021-09-20,2026-01-01,LOW,0
BSX,1,1,2021-01-01,2026-01-01,MEDIUM,0
BWA,1,1,2021-01-01,2025-03-24,HIGH,0
BX,1,1,2023-09-18,2026-01-01,HIGH,0
BXP,2,2,2021-01-01,2026-01-01,HIGH,0
C,1,1,2021-01-01,2026-01-01,HIGH,0
CAG,1,1,2021-01-01,2026-01-01,MEDIUM,0
CAH,1,1,2021-01-01,2026-01-01,MEDIUM,0
CARR,1,1,2021-01-01,2026-01-01,MEDIUM,0
CAT,1,1,2021-01-01,2026-01-01,HIGH,0
CB,1,1,2021-01-01,2026-01-01,HIGH,0
CBOE,1,1,2021-01-01,2026-01-01,LOW,0
CBRE,1,1,2021-01-01,2026-01-01,LOW,0
CCI,2,2,2021-01-01,2026-01-01,MEDIUM,0
CCL,1,1,2021-01-01,2026-01-01,HIGH,0
CDNS,1,1,2021-01-01,2026-01-01,LOW,0
CDW,1,1,2021-01-01,2026-01-01,LOW,0
CE,1,1,2021-01-01,2025-03-24,HIGH,0
CEG,1,1,2022-02-02,2026-01-01,MEDIUM,0
CERN,1,1,2021-01-01,2022-06-08,HIGH,0
CF,1,1,2021-01-01,2026-01-01,MEDIUM,0
CFG,1,1,2021-01-01,2026-01-01,LOW,0
CHD,1,1,2021-01-01,2026-01-01,MEDIUM,0
CHRW,1,1,2021-01-01,2026-01-01,LOW,0
CHTR,1,1,2021-01-01,2026-01-01,LOW,0
CI,2,2,2021-01-01,2026-01-01,LOW,0
CINF,1,1,2021-01-01,2026-01-01,MEDIUM,0
CL,1,1,2021-01-01,2026-01-01,MEDIUM,0
CLX,1,1,2021-01-01,2026-01-01,HIGH,0
CMA,1,1,2021-01-01,2024-06-24,HIGH,0
CMCSA,1,1,2021-01-01,2026-01-01,LOW,0
CME,1,1,2021-01-01,2026-01-01,MEDIUM,0
CMG,1,1,2021-01-01,2026-01-01,LOW,0
CMI,1,1,2021-01-01,2026-01-01,HIGH,0
CMS,1,1,2021-01-01,2026-01-01,MEDIUM,0
CNC,1,1,2021-01-01,2026-01-01,HIGH,0
CNP,1,1,2021-01-01,2026-01-01,MEDIUM,0
COF,1,1,2021-01-01,2026-01-01,LOW,0
COIN,1,1,2025-05-19,2026-01-01,MEDIUM,0
COO,1,1,2021-01-01,2026-01-01,LOW,0
COP,1,1,2021-01-01,2026-01-01,HIGH,0
COR,2,2,2021-01-01,2026-01-01,HIGH,0
COST,1,1,2021-01-01,2026-01-01,MEDIUM,0
CPAY,2,2,2021-01-01,2026-01-01,HIGH,0
CPB,2,2,2021-01-01,2026-01-01,LOW,0
CPRT,1,1,2021-01-01,2026-01-01,HIGH,0
CPT,1,1,2022-04-04,2026-01-01,LOW,0
CRH,1,1,2025-12-22,2026-01-01,HIGH,0
CRL,1,1,2021-05-14,2026-01-01,LOW,0
CRM,2,2,2021-01-01,2026-01-01,HIGH,0
CRWD,1,1,2024-06-24,2026-01-01,HIGH,0
CSCO,1,1,2021-01-01,2026-01-01,MEDIUM,0
CSGP,1,1,2022-09-19,2026-01-01,MEDIUM,0
CSX,1,1,2021-01-01,2026-01-01,HIGH,0
CTAS,1,1,2021-01-01,2026-01-01,HIGH,0
