security_key,old_company_name,new_company_name,public_effective_date,legal_effective_date,effective_boundary_source,source_url,boundary_dt,old_core,new_core
BBWI,"L Brands, Inc.","Bath & Body Works, Inc.",2021-08-03,2021-08-02,STAGE3I_KNOWN_PRIMARY_EVENT,https://www.sec.gov/Archives/edgar/data/701985/000114036121026658/nt10026698x7_8k.htm,2021-08-03,l brands,bath and body works
BX,The Blackstone Group Inc.,Blackstone Inc.,2021-08-06,2021-08-06,STAGE3G_AUTHORITATIVE_NAME_STATE,https://www.sec.gov/Archives/edgar/data/1393818/000119312521239233/d188135d10q.htm,2021-08-06,blackstone group,blackstone
BXP,BOSTON PROPERTIES,BXP,2024-07-01,2024-07-01,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1037540/000165642324000036/bxp-20240620.htm,2024-07-01,boston properties,bxp
CCI,CROWN CASTLE INTERNATIONAL,CROWN CASTLE,2022-08-01,2022-08-01,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1051470/000105147022000153/cci-20220630.htm,2022-08-01,crown castle international,crown castle
CI,CIGNA,CIGNA GROUP,2023-02-23,2023-02-13,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1739940/000095015923000019/cigna8k.htm,2023-02-23,cigna,cigna group
COR,AMERISOURCEBERGEN,CENCORA,2023-08-30,2023-08-30,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1140859/000110465923096698/tm2324358d1_8k.htm,2023-08-30,amerisourcebergen,cencora
CPAY,FLEETCOR TECHNOLOGIES,CORPAY,2024-03-25,2024-03-24,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1175454/000162828024010593/exhibit31certificateofowne.htm|https://www.sec.gov/Archives/edgar/data/1175454/000162828024021986/cpay-20240331.htm,2024-03-25,fleetcor technologies,corpay
CPB,CAMPBELL SOUP,CAMPBELL S,2024-11-19,2024-11-19,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/16732/000001673224000194/cpb-20241119.htm,2024-11-19,campbell soup,campbell s
CRM,SALESFORCE COM,SALESFORCE,2022-04-04,2022-04-04,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1108524/000119312522094496/d347891d8k.htm,2022-04-04,salesforce com,salesforce
CTRA,CABOT OIL AND GAS,COTERRA ENERGY,2021-10-04,2021-10-01,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/858470/000110465921122041/tm2129019d1_8k.htm,2021-10-04,cabot oil and gas,coterra energy
DAY,CERIDIAN HCM,DAYFORCE,2024-02-01,2024-02-01,STAGE3C_EXACT_EVENT,https://www.sec.gov/Archives/edgar/data/1725057/000095017024050892/day-20240331.htm,2024-02-01,ceridian hcm,dayforce
EG,EVEREST RE GROUP,EVEREST GROUP,2023-07-10,2023-07-10,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1095073/000109507323000039/eg-20230630.htm,2023-07-10,everest re group,everest group
ELV,ANTHEM,ELEVANCE HEALTH,2022-06-28,2022-06-27,STAGE3D_AUTHORITATIVE_RENAME,https://www.sec.gov/Archives/edgar/data/1156039/000115603923000007/elv-20221231.htm,2022-06-28,anthem,elevance health
