security_key,from_name_key,to_name_key,last_observed_old_state_date,first_observed_new_state_date,transition_date_status
BXP,BOSTON PROPERTIES,BXP,2024-06-30,2024-09-30,BOUNDED_NOT_EXACT
COR,AMERISOURCEBERGEN,CENCORA,2023-06-30,2023-09-30,BOUNDED_NOT_EXACT
CPAY,FLEETCOR TECHNOLOGIES,CORPAY,2023-12-31,2024-03-31,BOUNDED_NOT_EXACT
CRM,SALESFORCE COM,SALESFORCE,2022-03-31,2022-06-30,BOUNDED_NOT_EXACT
FFIV,F5 NETWORKS,F5,2021-09-30,2021-12-31,BOUNDED_NOT_EXACT
RTX,RAYTHEON TECHNOLOGIES,RTX,2023-06-30,2023-09-30,BOUNDED_NOT_EXACT
RVTY,PERKINELMER,REVVITY,2023-03-31,2023-06-30,BOUNDED_NOT_EXACT
SLB,SCHLUMBERGER NV,SLB,2025-09-30,2025-12-31,BOUNDED_NOT_EXACT
SRE,SEMPRA ENERGY,SEMPRA,2023-06-30,2023-09-30,BOUNDED_NOT_EXACT
CI,CIGNA,CIGNA GROUP,2022-12-31,2023-03-31,BOUNDED_NOT_EXACT
CPB,CAMPBELL SOUP,CAMPBELL S,2024-09-30,2024-12-31,BOUNDED_NOT_EXACT
FRT,FEDERAL REALTY INVESTMENT TRUST,FEDERAL REALTY OP LP,2022-03-31,2022-06-30,BOUNDED_NOT_EXACT
FRT,FEDERAL REALTY OP LP,FEDERAL REALTY INVESTMENT TRUST,2022-06-30,2022-09-30,BOUNDED_NOT_EXACT
HIG,HARTFORD FINANCIAL SERVICES GROUP,HARTFORD INSURANCE GROUP,2024-12-31,2025-03-31,BOUNDED_NOT_EXACT
META,FACEBOOK,META PLATFORMS,2021-09-30,2021-12-31,BOUNDED_NOT_EXACT
DAY,CERIDIAN HCM,DAYFORCE,2023-12-31,2024-03-31,BOUNDED_NOT_EXACT
CCI,CROWN CASTLE INTERNATIONAL,CROWN CASTLE,2022-06-30,2022-09-30,BOUNDED_NOT_EXACT
CSCO,CISCO SYSTEMS,CISCO SYSTEMS INC DELAWARE,2020-12-31,2021-03-31,BOUNDED_NOT_EXACT
CSCO,CISCO SYSTEMS INC DELAWARE,CISCO SYSTEMS,2021-12-31,2022-03-31,BOUNDED_NOT_EXACT
CTRA,CABOT OIL AND GAS,COTERRA ENERGY,2021-09-30,2021-12-31,BOUNDED_NOT_EXACT
EG,EVEREST RE GROUP,EVEREST GROUP,2023-06-30,2023-09-30,BOUNDED_NOT_EXACT
ELV,ANTHEM,ELEVANCE HEALTH,2022-03-31,2022-06-30,BOUNDED_NOT_EXACT
GEN,NORTONLIFELOCK,GEN DIGITAL,2022-09-30,2022-12-31,BOUNDED_NOT_EXACT
