month,security_rows,issuer_count,true_zero_issuer_attention_security_rows,transition_security_rows,attention_z_mean_security_weighted,attention_z_sd_security_weighted
2021-01,507,502,75,0,0.006645927915204426,1.004202583617846
2021-02,506,501,70,0,0.010197194112784363,1.0094325457604154
2021-03,509,504,73,0,0.009453763251994155,1.0071354545594884
2021-04,506,501,76,0,0.008198566284780906,1.005446626786486
2021-05,506,501,70,0,0.009557239275725915,1.007050314630316
2021-06,506,501,74,0,0.007426699833780152,1.0045452990882366
2021-07,506,501,68,0,0.006469195456638898,1.003814124372309
2021-08,506,501,78,1,0.007548206738601666,1.005060084188643
2021-09,508,503,82,0,0.008420794049512884,1.0052541641791446
2021-10,505,500,76,2,0.006097015046177461,1.0036419645844161
2021-11,505,500,78,1,0.006142796663477267,1.0034823969013713
2021-12,509,504,73,0,0.007993103812469367,1.0052198761807438
2022-01,505,500,74,0,0.005634221023485728,1.0037470658805883
2022-02,507,502,67,0,0.007788096622879754,1.0059447971611442
2022-03,506,501,73,0,0.004672281626114773,1.0024327129112092
2022-04,507,501,68,1,0.009143983462456954,1.0045287179155686
2022-05,504,500,66,0,0.004340131127061816,1.0033977910898375
2022-06,507,503,71,1,0.005031317406236511,1.0039586410245616
2022-07,503,500,75,0,0.007686356617235606,1.0027395507012906
2022-08,503,500,65,2,0.009033938106207133,1.003909352039387
2022-09,505,502,81,0,0.007760155363907326,1.0022882962160689
2022-10,506,503,73,0,0.009371382815791992,1.0044970777966207
2022-11,503,500,73,1,0.00723646039062571,1.0019829489258891
2022-12,506,503,78,1,0.009158085405783745,1.0041276129147958
2023-01,504,501,72,0,0.011109205458840348,1.007689460914429
2023-02,503,500,61,1,0.011681764580492473,1.0084912082504365
2023-03,503,500,63,0,0.010519175466205758,1.0063863421690469
2023-04,503,500,58,0,0.012433415992224844,1.0101906094334212
2023-05,504,501,58,2,0.010066980561226806,1.0056387236337814
2023-06,504,501,67,0,0.008979263722646206,1.0039065088693746
2023-07,505,502,66,3,0.009079764263525834,1.0043775465094513
2023-08,504,501,61,1,0.008534562094124976,1.0033917420206317
2023-09,505,502,67,0,0.012883746814480401,1.01098613482153
2023-10,506,503,58,1,0.0078938650846479,1.0032057992522134
2023-11,503,500,62,0,0.009617071549457437,1.005336342879139
2023-12,506,503,75,0,0.007479708887515594,1.0028891649979481
2024-01,503,500,68,0,0.006484146760185282,1.0012379324823433
2024-02,503,500,57,0,0.0076919161762884275,1.0026510218209799
2024-03,505,502,71,1,0.008840986085233987,1.0045824841781419
2024-04,505,502,63,0,0.006458985134832773,1.0027236548460008
2024-05,504,501,63,1,0.009026260322525011,1.0044636650415517
2024-06,506,503,66,0,0.007903368221917628,1.0046018834784207
2024-07,503,500,64,0,0.008352294364015368,1.0037132795943295
2024-08,503,500,68,0,0.009558607610812625,1.0055410747742997
2024-09,507,504,65,0,0.010717272114365755,1.0068973908444985
2024-10,503,500,61,0,0.007861747539588541,1.0037940855888445
2024-11,504,501,65,1,0.009322014404853531,1.005253912715363
2024-12,506,503,76,0,0.01035761916958769,1.0064936463560405
2025-01,503,500,72,0,0.010088275307069391,1.005544255765238
2025-02,503,500,70,1,0.009249750801219333,1.0042290925476571
2025-03,507,504,77,0,0.006037601794661082,1.0015722479712048
2025-04,503,500,70,0,0.008601661556024156,1.0045174871969094
2025-05,504,501,74,0,0.009317779865799665,1.0051161972431264
2025-07,505,502,68,0,0.00869297798014369,1.005231873162732
2025-08,504,501,74,0,0.009590157217030517,1.0053089721819757
2025-09,506,503,78,0,0.012534842144214721,1.0102514993909855
2025-10,504,501,70,1,0.008605486038598332,1.0038604604486472
2025-11,505,502,83,0,0.0073461803783995095,1.0029398807899892
