sec_cik,former_name_position,former_name,former_name_normalized,former_name_from,former_name_to,former_from_dt,former_to_dt,project_period_relevant_flag
0000002969,1,AIR PRODUCTS & CHEMICALS INC /DE/,air products and chemicals inc de,1994-03-15T05:00:00.000Z,2022-04-07T04:00:00.000Z,1994-03-15 05:00:00,2022-04-07 04:00:00,1
0000005272,1,AMERICAN INTERNATIONAL GROUP INC,american international group inc,1994-08-12T04:00:00.000Z,2021-02-10T05:00:00.000Z,1994-08-12 04:00:00,2021-02-10 05:00:00,1
0000007084,1,Archer-Daniels-Midland Co,archer daniels midland co,2019-06-05T04:00:00.000Z,2026-08-19T04:00:00.000Z,2019-06-05 04:00:00,2026-08-19 04:00:00,1
0000016732,1,CAMPBELL SOUP CO,campbell soup co,1994-12-14T05:00:00.000Z,2024-11-12T05:00:00.000Z,1994-12-14 05:00:00,2024-11-12 05:00:00,1
0000018926,1,"CENTURYLINK, INC",centurylink inc,2010-11-09T05:00:00.000Z,2021-01-20T05:00:00.000Z,2010-11-09 05:00:00,2021-01-20 05:00:00,1
0000019617,1,JPMORGAN CHASE & CO,jpmorgan chase and co,2009-02-02T00:00:00.000Z,2026-08-24T00:00:00.000Z,2009-02-02 00:00:00,2026-08-24 00:00:00,1
0000021076,1,CLOROX CO /DE/,clorox co de,1994-03-28T05:00:00.000Z,2026-08-07T04:00:00.000Z,1994-03-28 05:00:00,2026-08-07 04:00:00,1
0000021665,1,COLGATE PALMOLIVE CO,colgate palmolive co,1994-05-18T00:00:00.000Z,2026-08-24T00:00:00.000Z,1994-05-18 00:00:00,2026-08-24 00:00:00,1
0000031791,1,PERKINELMER INC,perkinelmer inc,1999-11-05T05:00:00.000Z,2023-04-14T04:00:00.000Z,1999-11-05 05:00:00,2023-04-14 04:00:00,1
0000033185,1,EQUIFAX INC,equifax inc,1994-02-14T05:00:00.000Z,2026-08-12T04:00:00.000Z,1994-02-14 05:00:00,2026-08-12 04:00:00,1
0000049196,1,HUNTINGTON BANCSHARES INC /MD/,huntington bancshares inc md,2021-03-26T04:00:00.000Z,2026-08-13T04:00:00.000Z,2021-03-26 04:00:00,2026-08-13 04:00:00,1
0000049196,2,HUNTINGTON BANCSHARES INC/MD,huntington bancshares inc md,1994-02-14T05:00:00.000Z,2021-03-12T05:00:00.000Z,1994-02-14 05:00:00,2021-03-12 05:00:00,1
0000052988,1,JACOBS ENGINEERING GROUP INC /DE/,jacobs engineering group inc de,1994-05-12T04:00:00.000Z,2022-08-19T04:00:00.000Z,1994-05-12 04:00:00,2022-08-19 04:00:00,1
0000055067,1,KELLOGG CO,kellogg co,1994-04-29T00:00:00.000Z,2023-09-28T00:00:00.000Z,1994-04-29 00:00:00,2023-09-28 00:00:00,1
0000063754,1,MCCORMICK & CO INC,mccormick and co inc,1994-04-08T04:00:00.000Z,2026-08-12T04:00:00.000Z,1994-04-08 04:00:00,2026-08-12 04:00:00,1
0000076334,1,PARKER HANNIFIN CORP,parker hannifin corp,1994-02-11T00:00:00.000Z,2024-12-11T00:00:00.000Z,1994-02-11 00:00:00,2024-12-11 00:00:00,1
0000078003,1,PFIZER INC,pfizer inc,1994-03-18T05:00:00.000Z,2026-08-17T04:00:00.000Z,1994-03-18 05:00:00,2026-08-17 04:00:00,1
0000087347,1,SCHLUMBERGER LIMITED/NV,schlumberger limited nv,2015-10-19T04:00:00.000Z,2025-09-12T04:00:00.000Z,2015-10-19 04:00:00,2025-09-12 04:00:00,1
0000092122,1,SOUTHERN CO,southern co,1994-01-28T05:00:00.000Z,2026-08-07T04:00:00.000Z,1994-01-28 05:00:00,2026-08-07 04:00:00,1
