analysis_month_number,commonality_factor_equal_weight_residual,positive_residual_sector_count,cross_sector_residual_std,ranking_month_end_date,return_period_end_date,absolute_commonality_factor,largest_absolute_sector_share_of_monthly_residual_activity,absolute_commonality_rank
56,0.036804289069262,9,0.0376951764751859,2025-08-29,2025-09-30,0.036804289069262,0.2521921225730067,1
2,-0.0356121908414631,1,0.0361406718177698,2021-02-26,2021-03-31,0.0356121908414631,0.2669848125941689,2
24,-0.0312120412597236,2,0.0358625642868093,2022-12-30,2023-01-31,0.0312120412597236,0.17383990641482636,3
22,-0.0304047667239001,1,0.0322600510056035,2022-10-31,2022-11-30,0.0304047667239001,0.2564655471504339,4
12,-0.0289931560266946,1,0.0262028735102283,2021-12-31,2022-01-31,0.0289931560266946,0.2458606623787087,5
36,0.0281785759812571,9,0.0281880566328679,2023-12-29,2024-01-31,0.0281785759812571,0.18866448542719944,6
1,-0.026570510089296,3,0.039121662765879,2021-01-29,2021-02-26,0.026570510089296,0.34965402470641155,7
50,-0.0253731270417185,1,0.0255848634581935,2025-02-28,2025-03-31,0.0253731270417185,0.2326350625658168,8
48,0.0252698003019361,9,0.0371129964195773,2024-12-31,2025-01-31,0.0252698003019361,0.29689369950952876,9
35,-0.0246613613736501,1,0.0343430531458746,2023-11-30,2023-12-29,0.0246613613736501,0.20023616656011628,10
42,-0.0246093538642911,3,0.0366316263312271,2024-06-28,2024-07-31,0.0246093538642911,0.28496986629887516,11
37,0.0231646645293638,10,0.0234116200772995,2024-01-31,2024-02-29,0.0231646645293638,0.1924802887577492,12
46,0.0215465414423573,7,0.0220701776101922,2024-10-31,2024-11-29,0.0215465414423573,0.2591729477148043,13
19,0.0203271535655298,9,0.0212396672365961,2022-07-29,2022-08-31,0.0203271535655298,0.20355565931185046,14
43,0.0202047024805952,9,0.0244611892727991,2024-07-31,2024-08-30,0.0202047024805952,0.17555511183609204,15
45,0.0193663611725195,8,0.0360774166291465,2024-09-30,2024-10-31,0.0193663611725195,0.3293707099666329,16
51,0.018242169448524,8,0.0363430029603078,2025-03-31,2025-04-30,0.018242169448524,0.22582740664649723,17
21,0.0175925023717133,8,0.0227418725966423,2022-09-30,2022-10-31,0.0175925023717133,0.18097318193212708,18
55,-0.0175185485725618,2,0.0350726252169667,2025-07-31,2025-08-29,0.0175185485725618,0.26722188234109895,19
30,-0.0164626176104256,3,0.0275681658178278,2023-06-30,2023-07-31,0.0164626176104256,0.2208643238566777,20
9,0.0161165519219697,8,0.0268962504547963,2021-09-30,2021-10-29,0.0161165519219697,0.24490471005791992,21
14,0.0158407516767279,7,0.0463556769838313,2022-02-28,2022-03-31,0.0158407516767279,0.25914869556617,22
57,-0.0147803375173818,3,0.0289138520219197,2025-09-30,2025-10-31,0.0147803375173818,0.24387576144304204,23
16,-0.0141747443189113,3,0.0312784656226186,2022-04-29,2022-05-31,0.0141747443189113,0.21093303005806663,24
20,0.013974997835212,9,0.0195769319287126,2022-08-31,2022-09-30,0.013974997835212,0.20699251266630708,25
25,0.0138729690242993,8,0.0197384278243838,2023-01-31,2023-02-28,0.0138729690242993,0.20080307532794034,26
44,0.0131559473403163,7,0.0320610859106355,2024-08-30,2024-09-30,0.0131559473403163,0.4267396566034248,27
34,0.0126267700200857,7,0.0301607831697305,2023-10-31,2023-11-30,0.0126267700200857,0.21006159081793768,28
7,0.012173374055108,9,0.0200688387427506,2021-07-30,2021-08-31,0.012173374055108,0.1859271556840678,29
13,0.0119494207845293,5,0.0508709408204336,2022-01-31,2022-02-28,0.0119494207845293,0.37302067069876643,30
53,-0.0108125408351624,2,0.018022528636857,2025-05-30,2025-06-30,0.0108125408351624,0.19130737936503056,31
6,-0.0101285285565611,2,0.0310784918162762,2021-06-30,2021-07-30,0.0101285285565611,0.20074531044926802,32
18,-0.009238506382375,4,0.0324799973798048,2022-06-30,2022-07-29,0.009238506382375,0.21994418605477323,33
10,-0.0089659536708787,2,0.0224430989279758,2021-10-29,2021-11-30,0.0089659536708787,0.1676847105865419,34
15,-0.008876295590203,4,0.0180206928819511,2022-03-31,2022-04-29,0.008876295590203,0.22171414880797485,35
17,0.0083588027088511,7,0.0391683493796614,2022-05-31,2022-06-30,0.0083588027088511,0.18798081120658566,36
23,-0.0072981595634097,6,0.038783144985641,2022-11-30,2022-12-30,0.0072981595634097,0.2132314466701681,37
11,-0.0068449511039414,4,0.0236104167454854,2021-11-30,2021-12-31,0.0068449511039414,0.2140097901615357,38
31,0.0067270697611475,8,0.0235323565667028,2023-07-31,2023-08-31,0.0067270697611475,0.13214171566086647,39
54,-0.0063128062593659,6,0.0344940303624092,2025-06-30,2025-07-31,0.0063128062593659,0.32714667437276657,40
47,-0.0059751641454837,3,0.0235211005908518,2024-11-29,2024-12-31,0.0059751641454837,0.1672928334523738,41
4,0.0057917762034896,6,0.0188356972451954,2021-04-30,2021-05-28,0.0057917762034896,0.26828406463859805,42
40,0.00553998713446,7,0.0313287429980954,2024-04-30,2024-05-31,0.00553998713446,0.18899573722606505,43
52,-0.0050563676581227,6,0.0392574232213324,2025-04-30,2025-05-30,0.0050563676581227,0.20758891918553568,44
26,0.004974391368723,5,0.0266541121537629,2023-02-28,2023-03-31,0.004974391368723,0.2357164858594876,45
33,0.0048159159545982,6,0.0189420915473914,2023-09-29,2023-10-31,0.0048159159545982,0.17388790646385918,46
39,-0.0047691818457908,3,0.0190750453340144,2024-03-28,2024-04-30,0.0047691818457908,0.26558384460618445,47
