analysis_month_number,pc1_score,pc1_score_z,ranking_month_end_date,return_period_end_date
1,-1.9437323208577337,-1.1289467675726321,2021-01-29,2021-02-26
2,-3.161560285256434,-1.8362781882184387,2021-02-26,2021-03-31
3,-0.05756949199206232,-0.03343716169032837,2021-03-31,2021-04-30
4,0.4830009690758743,0.2805336809607786,2021-04-30,2021-05-28
5,-0.5126047689683115,-0.29772797970129955,2021-05-28,2021-06-30
6,-1.2134578163037073,-0.7047931778472925,2021-06-30,2021-07-30
7,1.2231104150024354,0.7103995414307288,2021-07-30,2021-08-31
8,0.40336348774962705,0.23427912411870344,2021-08-31,2021-09-30
9,1.234076153976397,0.7167685951506546,2021-09-30,2021-10-29
10,-1.1482513915333976,-0.666920379376295,2021-10-29,2021-11-30
11,-1.0846473480196286,-0.6299782662268197,2021-11-30,2021-12-31
12,-3.495882569849533,-2.030457221241012,2021-12-31,2022-01-31
13,-0.02562993632893129,-0.014886223509866275,2022-01-31,2022-02-28
14,1.2388594893815628,0.7195468228859915,2022-02-28,2022-03-31
15,-1.1281163796400433,-0.6552256844082102,2022-03-31,2022-04-29
16,-1.3672655950145525,-0.7941268750543805,2022-04-29,2022-05-31
17,1.9193362241762277,1.114777175291622,2022-05-31,2022-06-30
18,-1.9118231069878933,-1.1104134523277411,2022-06-30,2022-07-29
19,2.360181216718223,1.3708260787287192,2022-07-29,2022-08-31
20,1.4867315841105828,0.863514383188893,2022-08-31,2022-09-30
21,1.6256440338421447,0.9441966661438004,2022-09-30,2022-10-31
22,-2.579614349729273,-1.4982758945047117,2022-10-31,2022-11-30
23,-0.15137847504420915,-0.0879227238480142,2022-11-30,2022-12-30
24,-4.050835397001662,-2.3527815421599647,2022-12-30,2023-01-31
25,1.0453553069601416,0.6071569022615056,2023-01-31,2023-02-28
26,0.684616955055925,0.3976350499202172,2023-02-28,2023-03-31
27,0.4827423824586255,0.2803834902567665,2023-03-31,2023-04-28
28,-0.16957744169024674,-0.09849293680775953,2023-04-28,2023-05-31
29,-0.07922690978090904,-0.0460160911778512,2023-05-31,2023-06-30
30,-1.3783025630280248,-0.800537299591188,2023-06-30,2023-07-31
31,0.970624163403617,0.5637520146389574,2023-07-31,2023-08-31
32,-0.4117248740732191,-0.23913553359502462,2023-08-31,2023-09-29
33,0.2627262115422795,0.1525950379558303,2023-09-29,2023-10-31
34,1.671652391923883,0.9709189604537402,2023-10-31,2023-11-30
35,-2.784030997902292,-1.6170039270205905,2023-11-30,2023-12-29
36,2.986540765352177,1.7346244166894282,2023-12-29,2024-01-31
37,2.705418296516546,1.5713445766217522,2024-01-31,2024-02-29
38,0.09960598858485203,0.05785254360236349,2024-02-29,2024-03-28
39,-0.045022519387713816,-0.026149705484295373,2024-03-28,2024-04-30
40,1.031644444762326,0.5991934427908996,2024-04-30,2024-05-31
41,0.20836609428484915,0.12102192575097491,2024-05-31,2024-06-28
42,-2.4466420817812486,-1.421043751752422,2024-06-28,2024-07-31
43,2.2655075772070035,1.315838312072988,2024-07-31,2024-08-30
44,1.3319407862926462,0.7736097348114692,2024-08-30,2024-09-30
45,1.5004649016173017,0.8714908850152439,2024-09-30,2024-10-31
46,2.4768022612533898,1.4385612034915887,2024-10-31,2024-11-29
47,-0.6211246021477171,-0.36075780822797054,2024-11-29,2024-12-31
48,2.7867961196676565,1.6186099482023424,2024-12-31,2025-01-31
49,-0.6336395536281417,-0.3680266661198427,2025-01-31,2025-02-28
50,-3.291131681391509,-1.9115350573186116,2025-02-28,2025-03-31
51,1.9860337330893767,1.1535160161724582,2025-03-31,2025-04-30
52,-0.07859321060153932,-0.04564802988027131,2025-04-30,2025-05-30
53,-1.307443652182743,-0.7593814585867037,2025-05-30,2025-06-30
54,-0.005855719357026196,-0.0034010832505012674,2025-06-30,2025-07-31
55,-1.7605723319424968,-1.0225648984152327,2025-07-31,2025-08-29
56,3.1816998006268244,1.8479754988686254,2025-08-29,2025-09-30
57,-0.5911568136010126,-0.34335209981428694,2025-09-30,2025-10-31
58,0.01076946594915923,0.006255055617134407,2025-10-31,2025-11-28
59,-0.22719703555844364,-0.1319591983646202,2025-11-28,2025-12-31
