sector_a,sector_b,residual_correlation,absolute_residual_correlation
Health Care,Industrials,0.5421439844682986,0.5421439844682986
Consumer Discretionary,Industrials,0.4873608383733369,0.4873608383733369
Financials,Industrials,0.4629867677519537,0.4629867677519537
Communication Services,Information Technology,0.4071754616855311,0.4071754616855311
Industrials,Utilities,0.3272516804019104,0.3272516804019104
Financials,Utilities,0.32441648380048005,0.32441648380048005
Financials,Health Care,0.32084266335208794,0.32084266335208794
Health Care,Information Technology,0.3088999229516039,0.3088999229516039
Industrials,Information Technology,0.3008779387974108,0.3008779387974108
Consumer Staples,Materials,0.27366481495394235,0.27366481495394235
Consumer Discretionary,Information Technology,0.27341262167412694,0.27341262167412694
Energy,Information Technology,0.26752912820136,0.26752912820136
Financials,Real Estate,0.25544853069305584,0.25544853069305584
Communication Services,Industrials,0.2532732792838737,0.2532732792838737
Information Technology,Utilities,0.24356731691298855,0.24356731691298855
Information Technology,Real Estate,0.2293671023660125,0.2293671023660125
Financials,Information Technology,0.22813430803421497,0.22813430803421497
Energy,Utilities,0.22675566303496666,0.22675566303496666
Consumer Staples,Financials,0.219042963193135,0.219042963193135
Energy,Health Care,0.21760536533884492,0.21760536533884492
Communication Services,Utilities,0.21698950110115783,0.21698950110115783
Health Care,Materials,0.20824753555585543,0.20824753555585543
Consumer Staples,Health Care,0.20222617059323386,0.20222617059323386
Communication Services,Health Care,0.19933125807310734,0.19933125807310734
Materials,Real Estate,0.19173468519636622,0.19173468519636622
Energy,Real Estate,0.1895162920033896,0.1895162920033896
Consumer Staples,Real Estate,0.18442653872936313,0.18442653872936313
Communication Services,Consumer Discretionary,0.1837225645000137,0.1837225645000137
Consumer Discretionary,Financials,0.17812843792838323,0.17812843792838323
Consumer Discretionary,Health Care,0.17115105072322978,0.17115105072322978
Health Care,Real Estate,0.16132167886360588,0.16132167886360588
Consumer Staples,Industrials,0.14456740956803252,0.14456740956803252
Communication Services,Consumer Staples,0.14401038895703394,0.14401038895703394
Communication Services,Materials,0.14141774891957948,0.14141774891957948
Information Technology,Materials,0.13862178186750512,0.13862178186750512
Energy,Materials,0.13688945924729368,0.13688945924729368
Real Estate,Utilities,0.1349511388163664,0.1349511388163664
Energy,Financials,0.1338644110233162,0.1338644110233162
Consumer Discretionary,Materials,-0.12026901071390485,0.12026901071390485
Health Care,Utilities,0.1155606378701458,0.1155606378701458
Consumer Discretionary,Consumer Staples,0.10945075511683147,0.10945075511683147
Communication Services,Energy,0.10622794484740389,0.10622794484740389
Communication Services,Real Estate,0.08982303070799225,0.08982303070799225
Consumer Discretionary,Real Estate,0.08945725237579476,0.08945725237579476
Consumer Discretionary,Utilities,0.08091642136254801,0.08091642136254801
Consumer Staples,Information Technology,0.07561751157704022,0.07561751157704022
Consumer Discretionary,Energy,-0.07533421576930296,0.07533421576930296
Consumer Staples,Utilities,0.0736454029319459,0.0736454029319459
Financials,Materials,0.06492789058930246,0.06492789058930246
Energy,Industrials,0.06447372421200329,0.06447372421200329
Materials,Utilities,0.06403518431540686,0.06403518431540686
Industrials,Real Estate,0.06137561658548975,0.06137561658548975
Industrials,Materials,-0.059635115178215424,0.059635115178215424
Communication Services,Financials,0.03670389461909063,0.03670389461909063
Consumer Staples,Energy,0.01674765157169239,0.01674765157169239
