gics_sector,covariance_with_commonality_factor,additive_variance_contribution,share_of_commonality_factor_variance
Communication Services,0.00036817094201420115,3.347008563765465e-05,0.12350324670833172
Energy,0.00035842854079771763,3.258441279979251e-05,0.12023515017038032
Information Technology,0.0003367508105700915,3.06137100518265e-05,0.11296333765380236
Materials,0.00030752695190908283,2.795699562809844e-05,0.10316017011908488
Health Care,0.0002985142688675859,2.7137660806144173e-05,0.10013685814587907
Utilities,0.00025234621770126703,2.294056524556973e-05,0.08464974723472839
Financials,0.00023516280138706922,2.1378436489733566e-05,0.0788855560339397
Industrials,0.00023325881674771085,2.120534697706462e-05,0.07824686281345603
Consumer Discretionary,0.00020123889335160492,1.82944448501459e-05,0.06750575305303769
Real Estate,0.00019487537278600623,1.771594298054602e-05,0.06537110482130308
Consumer Staples,0.00019478924518403934,1.7708113198549032e-05,0.06534221324605839
