security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution
NUE,NUE,Materials,26,0.017466277848468655,0.04246732365884254,0.0006717799172487944,0.005458578605399364,-0.002891699462379278,0.013525585433294398,0.017466277848468655,0.013525585433294398
CEG,CEG,Utilities,31,0.011094799809901173,0.04149169232754904,0.00035789676806132815,0.005388006215628239,-0.0029448188267879277,0.013214852762010055,0.011094799809901173,0.02674043819530445
NFLX,NFLX,Communication Services,29,0.008338689548952068,0.04023388331490935,0.00028754101892938165,0.004750279089231227,-0.0028771284119383732,0.012814248207885215,0.008338689548952068,0.03955468640318967
META,META,Communication Services,23,0.007201412388960777,0.03889897063984752,0.0003131048864765555,0.005798560124005387,-0.0056106595284004,0.01238908660416412,0.007201412388960777,0.05194377300735379
NRG,NRG,Utilities,33,0.0017322129076359663,0.03693681381912724,5.249130023139292e-05,0.002480374415531714,-0.004069856586155105,0.01176415153819729,0.0017322129076359663,0.06370792454555108
MOS,MOS,Materials,26,-0.009689025423148026,0.03375873218235074,-0.0003726548239672318,0.003865111543721471,-0.0034490101742937957,0.010751951781096416,0.009689025423148026,0.0744598763266475
ALB,ALB,Materials,20,-0.0031706194681544557,0.03334935771402718,-0.0001585309734077228,0.0037188741213544253,-0.0037225024550464284,0.010621568491817323,0.0031706194681544557,0.08508144481846482
VST,VST,Utilities,17,0.004852032326114014,0.031090083202635822,0.00028541366624200085,0.00502263990220832,-0.0035471286085702433,0.00990200324050614,0.004852032326114014,0.09498344805897095
DVN,DVN,Energy,22,0.011910149428882879,0.029670126235105506,0.0005413704285855854,0.0031520119355943734,-0.0032688193520889293,0.009449755544601859,0.011910149428882879,0.1044332036035728
IRM,IRM,Real Estate,42,0.009705310921418879,0.02825460233620048,0.00023107883146235425,0.0021555774525203438,-0.001663365796901961,0.008998919754211208,0.009705310921418879,0.11343212335778402
TSLA,TSLA,Consumer Discretionary,31,-0.003558827142459961,0.027420978696877638,-0.00011480087556322456,0.002963691519798975,-0.0023622891730573485,0.00873341567292147,0.003558827142459961,0.12216553903070548
MPC,MPC,Energy,23,0.0016613793674659099,0.027288043530045804,7.223388554199608e-05,0.0030255775121637925,-0.003307435754972439,0.008691076627246788,0.0016613793674659099,0.13085661565795226
FCX,FCX,Materials,19,0.00026562469536769973,0.02680672971933152,1.3980247124615776e-05,0.00479295726532455,-0.0024521788602734997,0.008537781093029977,0.00026562469536769973,0.13939439675098222
CF,CF,Materials,19,0.007849674620540037,0.02553534598384318,0.0004131407695021072,0.0038331315617989624,-0.002640485842173443,0.008132853071876755,0.007849674620540037,0.14752724982285897
