analysis_month_number,commonality_factor_equal_weight_residual,positive_residual_sector_count,cross_sector_residual_std,ranking_month_end_date,return_period_end_date,absolute_commonality_factor,largest_absolute_sector_share_of_monthly_residual_activity,absolute_commonality_rank,pc1_score,pc1_score_z,research_priority_rank,research_priority_band
56,0.036804289069262,9,0.0376951764751859,2025-08-29,2025-09-30,0.036804289069262,0.2521921225730067,1,3.1816998006268244,1.8479754988686252,1,TIER_1_TOP_5
2,-0.0356121908414631,1,0.0361406718177698,2021-02-26,2021-03-31,0.0356121908414631,0.2669848125941689,2,-3.161560285256434,-1.8362781882184387,2,TIER_1_TOP_5
24,-0.0312120412597236,2,0.0358625642868093,2022-12-30,2023-01-31,0.0312120412597236,0.1738399064148263,3,-4.050835397001662,-2.3527815421599647,3,TIER_1_TOP_5
22,-0.0304047667239001,1,0.0322600510056035,2022-10-31,2022-11-30,0.0304047667239001,0.2564655471504339,4,-2.579614349729273,-1.4982758945047117,4,TIER_1_TOP_5
12,-0.0289931560266946,1,0.0262028735102283,2021-12-31,2022-01-31,0.0289931560266946,0.2458606623787087,5,-3.495882569849533,-2.030457221241012,5,TIER_1_TOP_5
36,0.0281785759812571,9,0.0281880566328679,2023-12-29,2024-01-31,0.0281785759812571,0.1886644854271994,6,2.986540765352177,1.7346244166894282,6,TIER_2_TOP_15
1,-0.026570510089296,3,0.039121662765879,2021-01-29,2021-02-26,0.026570510089296,0.3496540247064115,7,-1.9437323208577335,-1.128946767572632,7,TIER_2_TOP_15
50,-0.0253731270417185,1,0.0255848634581935,2025-02-28,2025-03-31,0.0253731270417185,0.2326350625658168,8,-3.291131681391509,-1.911535057318612,8,TIER_2_TOP_15
48,0.0252698003019361,9,0.0371129964195773,2024-12-31,2025-01-31,0.0252698003019361,0.2968936995095287,9,2.7867961196676565,1.6186099482023424,9,TIER_2_TOP_15
35,-0.0246613613736501,1,0.0343430531458746,2023-11-30,2023-12-29,0.0246613613736501,0.2002361665601162,10,-2.784030997902292,-1.6170039270205905,10,TIER_2_TOP_15
42,-0.0246093538642911,3,0.0366316263312271,2024-06-28,2024-07-31,0.0246093538642911,0.2849698662988751,11,-2.4466420817812486,-1.421043751752422,11,TIER_2_TOP_15
37,0.0231646645293638,10,0.0234116200772995,2024-01-31,2024-02-29,0.0231646645293638,0.1924802887577492,12,2.705418296516546,1.5713445766217522,12,TIER_2_TOP_15
46,0.0215465414423573,7,0.0220701776101922,2024-10-31,2024-11-29,0.0215465414423573,0.2591729477148043,13,2.4768022612533898,1.438561203491589,13,TIER_2_TOP_15
19,0.0203271535655298,9,0.0212396672365961,2022-07-29,2022-08-31,0.0203271535655298,0.2035556593118504,14,2.360181216718223,1.3708260787287192,14,TIER_2_TOP_15
43,0.0202047024805952,9,0.0244611892727991,2024-07-31,2024-08-30,0.0202047024805952,0.175555111836092,15,2.2655075772070035,1.315838312072988,15,TIER_2_TOP_15
45,0.0193663611725195,8,0.0360774166291465,2024-09-30,2024-10-31,0.0193663611725195,0.3293707099666329,16,1.5004649016173015,0.8714908850152439,16,TIER_3_REMAINDER
51,0.018242169448524,8,0.0363430029603078,2025-03-31,2025-04-30,0.018242169448524,0.2258274066464972,17,1.9860337330893767,1.1535160161724582,17,TIER_3_REMAINDER
21,0.0175925023717133,8,0.0227418725966423,2022-09-30,2022-10-31,0.0175925023717133,0.180973181932127,18,1.6256440338421447,0.9441966661438004,18,TIER_3_REMAINDER
55,-0.0175185485725618,2,0.0350726252169667,2025-07-31,2025-08-29,0.0175185485725618,0.2672218823410989,19,-1.7605723319424968,-1.022564898415233,19,TIER_3_REMAINDER
30,-0.0164626176104256,3,0.0275681658178278,2023-06-30,2023-07-31,0.0164626176104256,0.2208643238566777,20,-1.3783025630280248,-0.800537299591188,20,TIER_3_REMAINDER
9,0.0161165519219697,8,0.0268962504547963,2021-09-30,2021-10-29,0.0161165519219697,0.2449047100579199,21,1.234076153976397,0.7167685951506546,21,TIER_3_REMAINDER
14,0.0158407516767279,7,0.0463556769838313,2022-02-28,2022-03-31,0.0158407516767279,0.25914869556617,22,1.2388594893815628,0.7195468228859915,22,TIER_3_REMAINDER
57,-0.0147803375173818,3,0.0289138520219197,2025-09-30,2025-10-31,0.0147803375173818,0.243875761443042,23,-0.5911568136010126,-0.3433520998142869,23,TIER_3_REMAINDER
16,-0.0141747443189113,3,0.0312784656226186,2022-04-29,2022-05-31,0.0141747443189113,0.2109330300580666,24,-1.3672655950145525,-0.7941268750543805,24,TIER_3_REMAINDER
