analysis_month_number,gics_sector,sector_aggregate_commonality_contribution,absolute_sector_commonality_contribution,within_month_absolute_sector_rank
1,Energy,-0.0104603062348756,0.0104603062348756,1
1,Real Estate,-0.0075388604404795,0.0075388604404795,2
1,Consumer Discretionary,-0.0034374615673254,0.0034374615673254,3
1,Materials,-0.0022092331621139,0.0022092331621139,4
1,Utilities,-0.0017114957604327996,0.0017114957604327996,5
2,Communication Services,-0.0099654762091851,0.0099654762091851,1
2,Materials,-0.0067502444014941,0.0067502444014941,2
2,Utilities,-0.005195779124505,0.005195779124505,3
2,Information Technology,-0.004625775886657833,0.004625775886657833,4
2,Health Care,-0.004463444764973258,0.004463444764973258,5
12,Health Care,-0.007500703654564511,0.007500703654564511,1
12,Industrials,-0.004537180620673544,0.004537180620673544,2
12,Consumer Discretionary,-0.0041543000142021565,0.0041543000142021565,3
12,Information Technology,-0.004057258780088448,0.004057258780088448,4
12,Real Estate,-0.0032214862273818997,0.0032214862273818997,5
19,Industrials,0.004901156774795152,0.004901156774795152,1
19,Real Estate,0.0037618720448107,0.0037618720448107,2
19,Materials,0.0036752130118148,0.0036752130118148,3
19,Financials,0.0028078890462251184,0.0028078890462251184,4
19,Energy,0.0024702226688647,0.0024702226688647,5
22,Materials,-0.0088889324035454,0.0088889324035454,1
22,Real Estate,-0.0051362656876383535,0.0051362656876383535,2
22,Energy,-0.0040865582139877,0.0040865582139877,3
22,Consumer Staples,-0.004033921798958057,0.004033921798958057,4
22,Industrials,-0.0033687888267635063,0.0033687888267635063,5
24,Consumer Discretionary,-0.0068657862135345,0.0068657862135345,1
24,Industrials,-0.0063218079356642835,0.0063218079356642835,2
24,Communication Services,-0.005972231422919844,0.005972231422919844,3
24,Information Technology,-0.005764265264545406,0.005764265264545406,4
24,Financials,-0.0035495987515444588,0.0035495987515444588,5
35,Financials,-0.007023708086874201,0.007023708086874201,1
35,Consumer Discretionary,0.005207879423308152,0.005207879423308152,2
35,Materials,-0.004792443492469772,0.004792443492469772,3
35,Health Care,-0.0045777236592662,0.0045777236592662,4
35,Information Technology,-0.003100141095229875,0.003100141095229875,5
36,Information Technology,0.0063917848946046995,0.0063917848946046995,1
36,Health Care,0.0051822663218177,0.0051822663218177,2
36,Communication Services,0.004157025471573538,0.004157025471573538,3
36,Materials,0.0041504367090331,0.0041504367090331,4
36,Energy,0.003799152774686704,0.003799152774686704,5
37,Industrials,0.005180928454384964,0.005180928454384964,1
37,Utilities,0.0049078147045748,0.0049078147045748,2
37,Real Estate,0.0038010644736778,0.0038010644736778,3
37,Materials,0.0031132416993835,0.0031132416993835,4
37,Communication Services,0.0025586705705918002,0.0025586705705918002,5
42,Communication Services,-0.0090843422060251,0.0090843422060251,1
42,Information Technology,-0.006210535222145874,0.006210535222145874,2
42,Utilities,-0.0039683446163491,0.0039683446163491,3
42,Consumer Discretionary,-0.0036125533010247,0.0036125533010247,4
42,Financials,0.002780931255198462,0.002780931255198462,5
43,Communication Services,0.004817750733402,0.004817750733402,1
43,Consumer Staples,0.004180787795769978,0.004180787795769978,2
43,Health Care,0.0038504503536751,0.0038504503536751,3
43,Industrials,0.002623169334175024,0.002623169334175024,4
43,Real Estate,0.0025204394792045,0.0025204394792045,5
46,Energy,0.0057853909424799,0.0057853909424799,1
46,Financials,0.004554790519432819,0.004554790519432819,2
46,Information Technology,0.00313993061173139,0.00313993061173139,3
46,Industrials,0.00257307289689934,0.00257307289689934,4
46,Health Care,0.0022806303078792326,0.0022806303078792326,5
48,Utilities,0.0096901496006777,0.0096901496006777,1
48,Communication Services,0.0058449313970258005,0.0058449313970258005,2
48,Consumer Staples,0.003595247858430177,0.003595247858430177,3
48,Industrials,0.003137121692754581,0.003137121692754581,4
48,Financials,0.0029996819507628666,0.0029996819507628666,5
50,Financials,-0.0063691408970552,0.0063691408970552,1
50,Utilities,-0.0057214062136007994,0.0057214062136007994,2
50,Industrials,-0.004065863732450516,0.004065863732450516,3
50,Consumer Discretionary,-0.0034354496629522327,0.0034354496629522327,4
50,Health Care,-0.0024675045625122396,0.0024675045625122396,5
56,Communication Services,0.0095014990695356,0.0095014990695356,1
56,Information Technology,0.008683837346657697,0.008683837346657697,2
56,Materials,0.0050118231677252,0.0050118231677252,3
56,Energy,0.0046782603521127,0.0046782603521127,4
56,Consumer Discretionary,0.004303721249960231,0.004303721249960231,5
