security_key_a,ticker_a,security_key_b,ticker_b,winner_months_a,winner_months_b,cooccurring_winner_months,winner_month_jaccard
IRM,IRM,LLY,LLY,42,43,38,0.8085106382978723
LLY,LLY,ANET,ANET,43,39,35,0.7446808510638298
IRM,IRM,ANET,ANET,42,39,33,0.6875
NVDA,NVDA,ANET,ANET,39,39,31,0.6595744680851063
IRM,IRM,NVDA,NVDA,42,39,31,0.62
LLY,LLY,NVDA,NVDA,43,39,31,0.6078431372549019
RCL,RCL,WMT,WMT,30,32,29,0.8787878787878788
NVDA,NVDA,SPG,SPG,39,37,29,0.6170212765957447
NRG,NRG,WMT,WMT,33,32,27,0.7105263157894737
IRM,IRM,SPG,SPG,42,37,27,0.5192307692307693
LLY,LLY,SPG,SPG,43,37,27,0.5094339622641509
WMT,WMT,WELL,WELL,32,26,26,0.8125
NFLX,NFLX,WMT,WMT,29,32,26,0.7428571428571429
CEG,CEG,WMT,WMT,31,32,26,0.7027027027027027
COST,COST,NVDA,NVDA,30,39,26,0.6046511627906976
NVDA,NVDA,WMT,WMT,39,32,26,0.5777777777777777
CEG,CEG,IRM,IRM,31,42,26,0.5531914893617021
SPG,SPG,ANET,ANET,37,39,26,0.52
RCL,RCL,WELL,WELL,30,26,25,0.8064516129032258
NFLX,NFLX,RCL,RCL,29,30,25,0.7352941176470589
CEG,CEG,RCL,RCL,31,30,25,0.6944444444444444
NRG,NRG,RCL,RCL,33,30,25,0.6578947368421053
CEG,CEG,SPG,SPG,31,37,25,0.5813953488372093
NFLX,NFLX,NVDA,NVDA,29,39,25,0.5813953488372093
COST,COST,ANET,ANET,30,39,25,0.5681818181818182
NRG,NRG,NVDA,NVDA,33,39,25,0.5319148936170213
CEG,CEG,LLY,LLY,31,43,25,0.5102040816326531
CEG,CEG,NFLX,NFLX,31,29,24,0.6666666666666666
SPG,SPG,CBRE,CBRE,37,29,24,0.5714285714285714
NVDA,NVDA,RCL,RCL,39,30,24,0.5333333333333333
CEG,CEG,NVDA,NVDA,31,39,24,0.5217391304347826
NRG,NRG,SPG,SPG,33,37,24,0.5217391304347826
NFLX,NFLX,NRG,NRG,29,33,23,0.5897435897435898
META,META,NVDA,NVDA,23,39,23,0.5897435897435898
SPG,SPG,RCL,RCL,37,30,23,0.5227272727272727
SPG,SPG,WMT,WMT,37,32,23,0.5
LLY,LLY,COST,COST,43,30,23,0.46
NRG,NRG,LLY,LLY,33,43,23,0.4339622641509434
CEG,CEG,META,META,31,23,22,0.6875
CEG,CEG,WELL,WELL,31,26,22,0.6285714285714286
NRG,NRG,WELL,WELL,33,26,22,0.5945945945945946
COST,COST,WMT,WMT,30,32,22,0.55
CEG,CEG,NRG,NRG,31,33,22,0.5238095238095238
NFLX,NFLX,SPG,SPG,29,37,22,0.5
NFLX,NFLX,ANET,ANET,29,39,22,0.4782608695652174
CEG,CEG,ANET,ANET,31,39,22,0.4583333333333333
NFLX,NFLX,IRM,IRM,29,42,22,0.4489795918367347
NRG,NRG,ANET,ANET,33,39,22,0.44
IRM,IRM,COST,COST,42,30,22,0.44
IRM,IRM,WMT,WMT,42,32,22,0.4230769230769231
LLY,LLY,WMT,WMT,43,32,22,0.41509433962264153
META,META,RCL,RCL,23,30,21,0.65625
CEG,CEG,MPC,MPC,31,23,21,0.6363636363636364
NFLX,NFLX,WELL,WELL,29,26,21,0.6176470588235294
META,META,WMT,WMT,23,32,21,0.6176470588235294
MOS,MOS,TSLA,TSLA,26,31,21,0.5833333333333334
META,META,SPG,SPG,23,37,21,0.5384615384615384
COST,COST,RCL,RCL,30,30,21,0.5384615384615384
META,META,ANET,ANET,23,39,21,0.5121951219512195
NRG,NRG,CBRE,CBRE,33,29,21,0.5121951219512195
NRG,NRG,COST,COST,33,30,21,0.5
META,META,IRM,IRM,23,42,21,0.4772727272727273
IRM,IRM,MPC,MPC,42,23,21,0.4772727272727273
META,META,LLY,LLY,23,43,21,0.4666666666666667
MPC,MPC,LLY,LLY,23,43,21,0.4666666666666667
NUE,NUE,LLY,LLY,26,43,21,0.4375
RCL,RCL,ANET,ANET,30,39,21,0.4375
ANET,ANET,WMT,WMT,39,32,21,0.42
NFLX,NFLX,LLY,LLY,29,43,21,0.4117647058823529
IRM,IRM,RCL,RCL,42,30,21,0.4117647058823529
LLY,LLY,RCL,RCL,43,30,21,0.40384615384615385
NRG,NRG,IRM,IRM,33,42,21,0.3888888888888889
DVN,DVN,ADM,ADM,22,23,20,0.8
NFLX,NFLX,META,META,29,23,20,0.625
NFLX,NFLX,COST,COST,29,30,20,0.5128205128205128
NVDA,NVDA,WELL,WELL,39,26,20,0.4444444444444444
NUE,NUE,IRM,IRM,26,42,20,0.4166666666666667
MOS,MOS,DVN,DVN,26,22,19,0.6551724137931034
MOS,MOS,ADM,ADM,26,23,19,0.6333333333333333
TRGP,TRGP,COST,COST,19,30,19,0.6333333333333333
TRGP,TRGP,RCL,RCL,19,30,19,0.6333333333333333
TRGP,TRGP,WMT,WMT,19,32,19,0.59375
COST,COST,WELL,WELL,30,26,19,0.5135135135135135
SPG,SPG,WELL,WELL,37,26,19,0.4318181818181818
COST,COST,SPG,SPG,30,37,19,0.3958333333333333
TSLA,TSLA,NVDA,NVDA,31,39,19,0.37254901960784315
NUE,NUE,DVN,DVN,26,22,18,0.6
NUE,NUE,ADM,ADM,26,23,18,0.5806451612903226
RCL,RCL,CBRE,CBRE,30,29,18,0.43902439024390244
TSLA,TSLA,CBRE,CBRE,31,29,18,0.42857142857142855
CEG,CEG,COST,COST,31,30,18,0.4186046511627907
WMT,WMT,CBRE,CBRE,32,29,18,0.4186046511627907
NRG,NRG,TSLA,TSLA,33,31,18,0.391304347826087
NUE,NUE,ANET,ANET,26,39,18,0.3829787234042553
NVDA,NVDA,CBRE,CBRE,39,29,18,0.36
MOS,MOS,CF,CF,26,19,17,0.6071428571428571
TRGP,TRGP,WELL,WELL,19,26,17,0.6071428571428571
MOS,MOS,LYV,LYV,26,20,17,0.5862068965517241
VST,VST,RCL,RCL,17,30,17,0.5666666666666667
META,META,WELL,WELL,23,26,17,0.53125
VST,VST,WMT,WMT,17,32,17,0.53125
WMB,WMB,WMT,WMT,17,32,17,0.53125
NUE,NUE,MOS,MOS,26,26,17,0.4857142857142857
NRG,NRG,TRGP,TRGP,33,19,17,0.4857142857142857
META,META,COST,COST,23,30,17,0.4722222222222222
DVN,DVN,TSLA,TSLA,22,31,17,0.4722222222222222
TSLA,TSLA,ADM,ADM,31,23,17,0.4594594594594595
META,META,NRG,NRG,23,33,17,0.4358974358974359
TRGP,TRGP,NVDA,NVDA,19,39,17,0.4146341463414634
