security_key,project_ticker,gics_sectors_seen,winner_return_months,cumulative_signed_commonality_contribution,cumulative_absolute_commonality_contribution,mean_signed_commonality_contribution,max_positive_month_contribution,max_negative_month_contribution,share_of_total_absolute_commonality_contribution,absolute_signed_contribution,cumulative_share_of_total_absolute_commonality_contribution,winner_months,eligible_months,winner_share_of_eligible_months,max_consecutive_winner_streak,winner_sector_count,latest_winner_sector,research_priority_rank,research_priority_band
NUE,NUE,Materials,26,0.0174662778484686,0.0424673236588425,0.0006717799172487,0.0054585786053993,-0.0028916994623792,0.0135255854332943,0.0174662778484686,0.0135255854332943,27,60,0.45,15,1,Materials,1,TIER_1_TOP_10
CEG,CEG,Utilities,31,0.0110947998099011,0.041491692327549,0.0003578967680613,0.0053880062156282,-0.0029448188267879,0.01321485276201,0.0110947998099011,0.0267404381953044,32,36,0.8888888888888888,26,1,Utilities,2,TIER_1_TOP_10
NFLX,NFLX,Communication Services,29,0.008338689548952,0.0402338833149093,0.0002875410189293,0.0047502790892312,-0.0028771284119383,0.0128142482078852,0.008338689548952,0.0395546864031896,29,60,0.4833333333333333,13,1,Communication Services,3,TIER_1_TOP_10
META,META,Communication Services,23,0.0072014123889607,0.0388989706398475,0.0003131048864765,0.0057985601240053,-0.0056106595284004,0.0123890866041641,0.0072014123889607,0.0519437730073537,23,60,0.3833333333333333,21,1,Communication Services,4,TIER_1_TOP_10
NRG,NRG,Utilities,33,0.0017322129076359,0.0369368138191272,5.249130023139292e-05,0.0024803744155317,-0.0040698565861551,0.0117641515381972,0.0017322129076359,0.063707924545551,34,60,0.5666666666666667,17,1,Utilities,5,TIER_1_TOP_10
MOS,MOS,Materials,26,-0.009689025423148,0.0337587321823507,-0.0003726548239672,0.0038651115437214,-0.0034490101742937,0.0107519517810964,0.009689025423148,0.0744598763266475,26,60,0.4333333333333333,11,1,Materials,6,TIER_1_TOP_10
ALB,ALB,Materials,20,-0.0031706194681544,0.0333493577140271,-0.0001585309734077,0.0037188741213544,-0.0037225024550464,0.0106215684918173,0.0031706194681544,0.0850814448184648,21,60,0.35,12,1,Materials,7,TIER_1_TOP_10
VST,VST,Utilities,17,0.004852032326114,0.0310900832026358,0.000285413666242,0.0050226399022083,-0.0035471286085702,0.0099020032405061,0.004852032326114,0.0949834480589709,18,20,0.9,12,1,Utilities,8,TIER_1_TOP_10
DVN,DVN,Energy,22,0.0119101494288828,0.0296701262351055,0.0005413704285855,0.0031520119355943,-0.0032688193520889,0.0094497555446018,0.0119101494288828,0.1044332036035728,22,60,0.3666666666666666,22,1,Energy,9,TIER_1_TOP_10
IRM,IRM,Real Estate,42,0.0097053109214188,0.0282546023362004,0.0002310788314623,0.0021555774525203,-0.0016633657969019,0.0089989197542112,0.0097053109214188,0.113432123357784,42,60,0.7,30,1,Real Estate,10,TIER_1_TOP_10
TSLA,TSLA,Consumer Discretionary,31,-0.0035588271424599,0.0274209786968776,-0.0001148008755632,0.0029636915197989,-0.0023622891730573,0.0087334156729214,0.0035588271424599,0.1221655390307054,31,60,0.5166666666666667,9,1,Consumer Discretionary,11,TIER_2_TOP_30
MPC,MPC,Energy,23,0.0016613793674659,0.0272880435300458,7.223388554199608e-05,0.0030255775121637,-0.0033074357549724,0.0086910766272467,0.0016613793674659,0.1308566156579522,24,60,0.4,20,1,Energy,12,TIER_2_TOP_30
FCX,FCX,Materials,19,0.0002656246953676,0.0268067297193315,1.3980247124615776e-05,0.0047929572653245,-0.0024521788602734,0.0085377810930299,0.0002656246953676,0.1393943967509822,19,60,0.3166666666666666,13,1,Materials,13,TIER_2_TOP_30
CF,CF,Materials,19,0.00784967462054,0.0255353459838431,0.0004131407695021,0.0038331315617989,-0.0026404858421734,0.0081328530718767,0.00784967462054,0.1475272498228589,19,60,0.3166666666666666,16,1,Materials,14,TIER_2_TOP_30
TRGP,TRGP,Energy,19,0.0145362096758291,0.0244356876592994,0.0007650636671489,0.0027298590609863,-0.002693711430974,0.0077826185542618,0.0145362096758291,0.1553098683771208,19,39,0.4871794871794871,15,1,Energy,15,TIER_2_TOP_30
LYV,LYV,Communication Services,20,0.0008953760088348,0.0241286130311546,4.476880044174281e-05,0.0022006227225105,-0.0019498854452159,0.0076848171446243,0.0008953760088348,0.1629946855217451,20,60,0.3333333333333333,13,1,Communication Services,16,TIER_2_TOP_30
LLY,LLY,Health Care,43,0.010347578930387,0.024071682486316,0.0002406413704741,0.0018998598451718,-0.0011856300788292,0.0076666851108242,0.010347578930387,0.1706613706325694,44,60,0.7333333333333333,35,1,Health Care,17,TIER_2_TOP_30
COST,COST,Consumer Staples,30,0.0021149021509948,0.0230193333797526,7.049673836649564e-05,0.0015266224646357,-0.0016629219493311,0.007331518292665,0.0021149021509948,0.1779928889252345,30,60,0.5,20,1,Consumer Staples,18,TIER_2_TOP_30
TPL,TPL,Energy,8,-0.0084743003614506,0.022962493586363,-0.0010592875451813,0.0028995547822978,-0.0048292415852341,0.0073134151626519,0.0084743003614506,0.1853063040878865,8,14,0.5714285714285714,8,1,Energy,19,TIER_2_TOP_30
NVDA,NVDA,Information Technology,39,0.0094803923863025,0.0226133370348195,0.0002430869842641,0.0021280774409268,-0.0013534708031201,0.0072022109152302,0.0094803923863025,0.1925085150031167,39,60,0.65,24,1,Information Technology,20,TIER_2_TOP_30
WMB,WMB,Energy,17,0.001122612434529,0.0215339960790621,6.603602556053133e-05,0.0030497413480983,-0.003892416722291,0.0068584473565462,0.001122612434529,0.1993669623596629,17,60,0.2833333333333333,14,1,Energy,21,TIER_2_TOP_30
SPG,SPG,Real Estate,37,0.0074424992117064,0.0206565861665531,0.0002011486273434,0.0011316425069245,-0.0011263479435989,0.0065789976123853,0.0074424992117064,0.2059459599720483,38,60,0.6333333333333333,13,1,Real Estate,22,TIER_2_TOP_30
