target_type,priority_rank,security_key,project_ticker,analysis_month_number,ranking_month_end_date,theme_count,theme_codes,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,M01,M02,M03,M04,M05,M06,M07
SECURITY,1,NUE,NUE,,,4,S01 | S03 | S05 | S09,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SECURITY,2,CEG,CEG,,,5,S01 | S02 | S03 | S05 | S09,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SECURITY,3,NFLX,NFLX,,,1,S06,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SECURITY,4,META,META,,,2,S01 | S05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,5,NRG,NRG,,,2,S06 | S09,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
SECURITY,6,MOS,MOS,,,1,S04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,7,ALB,ALB,,,3,S03 | S04 | S05,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,8,VST,VST,,,4,S02 | S03 | S05 | S09,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
SECURITY,9,DVN,DVN,,,2,S04 | S09,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
SECURITY,10,IRM,IRM,,,2,S01 | S05,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,11,TSLA,TSLA,,,3,S01 | S03 | S05,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,12,MPC,MPC,,,2,S02 | S03,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,13,FCX,FCX,,,3,S01 | S03 | S04,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,14,CF,CF,,,2,S03 | S04,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SECURITY,15,TRGP,TRGP,,,2,S02 | S05,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
