domain,theme_code_a,theme_code_b,count_a,count_b,cooccurrence_count,jaccard
SECURITY_STRUCTURAL,S01,S01,9,9,9,1.0
SECURITY_STRUCTURAL,S01,S02,9,5,2,0.16666666666666666
SECURITY_STRUCTURAL,S01,S03,9,8,4,0.3076923076923077
SECURITY_STRUCTURAL,S01,S04,9,8,1,0.0625
SECURITY_STRUCTURAL,S01,S05,9,15,6,0.3333333333333333
SECURITY_STRUCTURAL,S01,S06,9,4,0,0.0
SECURITY_STRUCTURAL,S01,S07,9,2,0,0.0
SECURITY_STRUCTURAL,S01,S08,9,3,0,0.0
SECURITY_STRUCTURAL,S01,S09,9,7,2,0.14285714285714285
SECURITY_STRUCTURAL,S01,S10,9,2,0,0.0
SECURITY_STRUCTURAL,S02,S02,5,5,5,1.0
SECURITY_STRUCTURAL,S02,S03,5,8,3,0.3
SECURITY_STRUCTURAL,S02,S04,5,8,0,0.0
SECURITY_STRUCTURAL,S02,S05,5,15,4,0.25
SECURITY_STRUCTURAL,S02,S06,5,4,0,0.0
SECURITY_STRUCTURAL,S02,S07,5,2,0,0.0
SECURITY_STRUCTURAL,S02,S08,5,3,0,0.0
SECURITY_STRUCTURAL,S02,S09,5,7,2,0.2
SECURITY_STRUCTURAL,S02,S10,5,2,0,0.0
SECURITY_STRUCTURAL,S03,S03,8,8,8,1.0
SECURITY_STRUCTURAL,S03,S04,8,8,3,0.23076923076923078
SECURITY_STRUCTURAL,S03,S05,8,15,5,0.2777777777777778
SECURITY_STRUCTURAL,S03,S06,8,4,0,0.0
SECURITY_STRUCTURAL,S03,S07,8,2,0,0.0
SECURITY_STRUCTURAL,S03,S08,8,3,0,0.0
SECURITY_STRUCTURAL,S03,S09,8,7,3,0.25
SECURITY_STRUCTURAL,S03,S10,8,2,0,0.0
SECURITY_STRUCTURAL,S04,S04,8,8,8,1.0
SECURITY_STRUCTURAL,S04,S05,8,15,2,0.09523809523809523
SECURITY_STRUCTURAL,S04,S06,8,4,0,0.0
SECURITY_STRUCTURAL,S04,S07,8,2,0,0.0
SECURITY_STRUCTURAL,S04,S08,8,3,0,0.0
SECURITY_STRUCTURAL,S04,S09,8,7,2,0.15384615384615385
SECURITY_STRUCTURAL,S04,S10,8,2,0,0.0
SECURITY_STRUCTURAL,S05,S05,15,15,15,1.0
SECURITY_STRUCTURAL,S05,S06,15,4,0,0.0
SECURITY_STRUCTURAL,S05,S07,15,2,2,0.13333333333333333
SECURITY_STRUCTURAL,S05,S08,15,3,2,0.125
SECURITY_STRUCTURAL,S05,S09,15,7,3,0.15789473684210525
SECURITY_STRUCTURAL,S05,S10,15,2,0,0.0
SECURITY_STRUCTURAL,S06,S06,4,4,4,1.0
SECURITY_STRUCTURAL,S06,S07,4,2,0,0.0
SECURITY_STRUCTURAL,S06,S08,4,3,0,0.0
SECURITY_STRUCTURAL,S06,S09,4,7,2,0.2222222222222222
SECURITY_STRUCTURAL,S06,S10,4,2,1,0.2
SECURITY_STRUCTURAL,S07,S07,2,2,2,1.0
SECURITY_STRUCTURAL,S07,S08,2,3,0,0.0
SECURITY_STRUCTURAL,S07,S09,2,7,0,0.0
SECURITY_STRUCTURAL,S07,S10,2,2,0,0.0
SECURITY_STRUCTURAL,S08,S08,3,3,3,1.0
SECURITY_STRUCTURAL,S08,S09,3,7,0,0.0
SECURITY_STRUCTURAL,S08,S10,3,2,0,0.0
SECURITY_STRUCTURAL,S09,S09,7,7,7,1.0
SECURITY_STRUCTURAL,S09,S10,7,2,0,0.0
SECURITY_STRUCTURAL,S10,S10,2,2,2,1.0
MONTH_MACRO,M01,M01,2,2,2,1.0
MONTH_MACRO,M01,M02,2,7,0,0.0
MONTH_MACRO,M01,M03,2,3,0,0.0
MONTH_MACRO,M01,M04,2,7,0,0.0
MONTH_MACRO,M01,M05,2,8,0,0.0
MONTH_MACRO,M01,M06,2,2,0,0.0
MONTH_MACRO,M01,M07,2,6,0,0.0
MONTH_MACRO,M02,M02,7,7,7,1.0
MONTH_MACRO,M02,M03,7,3,0,0.0
MONTH_MACRO,M02,M04,7,7,4,0.4
MONTH_MACRO,M02,M05,7,8,5,0.5
MONTH_MACRO,M02,M06,7,2,0,0.0
MONTH_MACRO,M02,M07,7,6,2,0.18181818181818182
MONTH_MACRO,M03,M03,3,3,3,1.0
MONTH_MACRO,M03,M04,3,7,1,0.1111111111111111
MONTH_MACRO,M03,M05,3,8,2,0.2222222222222222
MONTH_MACRO,M03,M06,3,2,0,0.0
MONTH_MACRO,M03,M07,3,6,3,0.5
MONTH_MACRO,M04,M04,7,7,7,1.0
MONTH_MACRO,M04,M05,7,8,2,0.15384615384615385
MONTH_MACRO,M04,M06,7,2,1,0.125
MONTH_MACRO,M04,M07,7,6,3,0.3
MONTH_MACRO,M05,M05,8,8,8,1.0
MONTH_MACRO,M05,M06,8,2,1,0.1111111111111111
MONTH_MACRO,M05,M07,8,6,3,0.2727272727272727
MONTH_MACRO,M06,M06,2,2,2,1.0
MONTH_MACRO,M06,M07,2,6,0,0.0
MONTH_MACRO,M07,M07,6,6,6,1.0
