theme_code,theme_name,domain,target_count,target_share_within_domain,sum_absolute_contribution_share,median_priority_rank,positive_month_count,negative_month_count,sum_abs_factor_among_top15_months
S01,AI / Compute / Digital Infrastructure,SECURITY_STRUCTURAL,9,0.3,0.0855824362,11.0,,,
S02,Power / Energy Infrastructure,SECURITY_STRUCTURAL,5,0.16666666666666666,0.0464489986,12.0,,,
S03,Electrification / Energy Transition,SECURITY_STRUCTURAL,8,0.26666666666666666,0.0813591364,9.5,,,
S04,Commodity / Resource Scarcity & Pricing,SECURITY_STRUCTURAL,8,0.26666666666666666,0.06721637659999999,13.5,,,
S05,Capacity Expansion / Supply-Demand Imbalance,SECURITY_STRUCTURAL,15,0.5,0.1336424035,15.0,,,
S06,Digital Platform / Monetization Shift,SECURITY_STRUCTURAL,4,0.13333333333333333,0.0369818397,14.5,,,
S07,Experiential / Consumer Demand,SECURITY_STRUCTURAL,2,0.06666666666666667,0.0141971893,19.5,,,
S08,Real-Asset Occupancy / Demographic Demand,SECURITY_STRUCTURAL,3,0.1,0.0184225687,29.0,,,
S09,Strategic Consolidation / Portfolio Scale,SECURITY_STRUCTURAL,7,0.23333333333333334,0.0704093797,8.0,,,
S10,Recurring Membership / Customer-Loyalty Economics,SECURITY_STRUCTURAL,2,0.06666666666666667,0.0133575772,23.0,,,
M01,Accommodative Monetary / Fiscal Support,MONTH_MACRO,2,0.13333333333333333,,4.5,0.0,2.0,0.0621827009
M02,Restrictive / Tightening Monetary Policy,MONTH_MACRO,7,0.4666666666666667,,10.0,3.0,4.0,0.1803390321
M03,Easing / Policy-Pivot Transition,MONTH_MACRO,3,0.2,,13.0,3.0,0.0,0.078555533
M04,Disinflation / Inflation Deceleration,MONTH_MACRO,7,0.4666666666666667,,10.0,2.0,5.0,0.1767925064
M05,Persistent / Sticky Inflation,MONTH_MACRO,8,0.5333333333333333,,7.5,6.0,2.0,0.2146889476
M06,Labor / Growth Resilience,MONTH_MACRO,2,0.13333333333333333,,6.0,1.0,1.0,0.0564818416
M07,Macro Uncertainty / Dual-Mandate Rebalancing,MONTH_MACRO,6,0.4,,9.5,4.0,2.0,0.1567165899
