theme_code,metric,theme_size,null_mean,null_p95,observed,monte_carlo_p_one_sided
S01,average_pairwise_contribution_correlation,9,0.058849322545952217,0.11802857850363495,0.06897053941554401,0.35548222588870554
S01,active_count_vs_abs_commonality_correlation,9,0.08772853951547278,0.2570554137960457,0.08041927779023351,0.5396730163491825
S02,average_pairwise_contribution_correlation,5,0.05814324775908097,0.15935522577762704,0.13588560550459228,0.09419529023548823
S02,active_count_vs_abs_commonality_correlation,5,0.06755220129326374,0.25558452844558716,0.08833443506028558,0.4568771561421929
S03,average_pairwise_contribution_correlation,8,0.059265404146264224,0.125529996382718,0.08355242751573091,0.2438878056097195
S03,active_count_vs_abs_commonality_correlation,8,0.08360334379474357,0.26090186799538334,-0.019284378365787686,0.8192090395480226
S04,average_pairwise_contribution_correlation,8,0.05915733349306522,0.12467916369299074,0.09133235400741076,0.1911904404779761
S04,active_count_vs_abs_commonality_correlation,8,0.08404904116763949,0.2582740337168589,0.03489033614071729,0.6812659367031648
S05,average_pairwise_contribution_correlation,15,0.059083228540753284,0.09431482977242792,0.061895238892575005,0.42357882105894706
S05,active_count_vs_abs_commonality_correlation,15,0.10938487180948255,0.25185654370763205,0.07762001793477415,0.6464176791160442
S06,average_pairwise_contribution_correlation,4,0.059735212530933175,0.18705417966491816,0.18794248492625573,0.049497525123743814
S06,active_count_vs_abs_commonality_correlation,4,0.062392239222931724,0.25187259699579523,0.11901076544410288,0.35563221838908055
S08,average_pairwise_contribution_correlation,3,0.058635709306800274,0.2303269637440458,0.012596890599844068,0.6696665166741663
S08,active_count_vs_abs_commonality_correlation,3,0.05323237290996333,0.24755660533109802,-0.22335839935868768,0.9742012899355033
S09,average_pairwise_contribution_correlation,7,0.059092169263161444,0.13448961568586384,0.05876507142761889,0.4681265936703165
S09,active_count_vs_abs_commonality_correlation,7,0.08031648921016114,0.2599229712053438,0.08133079791431899,0.5174741262936853
