analysis_month_number,theme_code,theme_name,active_tagged_winner_count,signed_theme_commonality_contribution,absolute_theme_commonality_contribution,aggregate_commonality_factor,absolute_aggregate_commonality_factor
1,S01,AI / Compute / Digital Infrastructure,4,-0.002029239894125949,0.002029239894125949,-0.026570510089296,0.026570510089296
2,S01,AI / Compute / Digital Infrastructure,5,-0.001404831399088,0.001404831399088,-0.0356121908414631,0.0356121908414631
3,S01,AI / Compute / Digital Infrastructure,2,0.001364387015420874,0.001364387015420874,-0.0010463437925989,0.0010463437925989
4,S01,AI / Compute / Digital Infrastructure,5,0.005808101528435801,0.005808101528435801,0.0057917762034896,0.0057917762034896
5,S01,AI / Compute / Digital Infrastructure,4,-0.0022368122574206997,0.0022368122574206997,-0.0026792784585861,0.0026792784585861
6,S01,AI / Compute / Digital Infrastructure,5,0.0009256766799923134,0.0009256766799923134,-0.0101285285565611,0.0101285285565611
7,S01,AI / Compute / Digital Infrastructure,4,0.0014591661511140996,0.0014591661511140996,0.012173374055108,0.012173374055108
8,S01,AI / Compute / Digital Infrastructure,3,-0.0025230532854746,0.0025230532854746,0.0038951094595815,0.0038951094595815
9,S01,AI / Compute / Digital Infrastructure,4,0.0030627585331068,0.0030627585331068,0.0161165519219697,0.0161165519219697
10,S01,AI / Compute / Digital Infrastructure,5,0.0020069067038535,0.0020069067038535,-0.0089659536708787,0.0089659536708787
11,S01,AI / Compute / Digital Infrastructure,6,0.00100053438452426,0.00100053438452426,-0.0068449511039414,0.0068449511039414
12,S01,AI / Compute / Digital Infrastructure,6,-0.004243160324861101,0.004243160324861101,-0.0289931560266946,0.0289931560266946
13,S01,AI / Compute / Digital Infrastructure,5,0.004969858658842599,0.004969858658842599,0.0119494207845293,0.0119494207845293
14,S01,AI / Compute / Digital Infrastructure,4,0.004444167878254,0.004444167878254,0.0158407516767279,0.0158407516767279
15,S01,AI / Compute / Digital Infrastructure,6,-0.0031543459017618998,0.0031543459017618998,-0.008876295590203,0.008876295590203
16,S01,AI / Compute / Digital Infrastructure,6,-0.0050247255598788,0.0050247255598788,-0.0141747443189113,0.0141747443189113
17,S01,AI / Compute / Digital Infrastructure,5,-0.0015690525877608927,0.0015690525877608927,0.0083588027088511,0.0083588027088511
18,S01,AI / Compute / Digital Infrastructure,4,0.004712677034867,0.004712677034867,-0.009238506382375,0.009238506382375
19,S01,AI / Compute / Digital Infrastructure,3,0.0023273006608749,0.0023273006608749,0.0203271535655298,0.0203271535655298
20,S01,AI / Compute / Digital Infrastructure,3,-0.0004885762528944,0.0004885762528944,0.013974997835212,0.013974997835212
21,S01,AI / Compute / Digital Infrastructure,4,0.0018700347165067242,0.0018700347165067242,0.0175925023717133,0.0175925023717133
22,S01,AI / Compute / Digital Infrastructure,2,0.0007645948756508,0.0007645948756508,-0.0304047667239001,0.0304047667239001
23,S01,AI / Compute / Digital Infrastructure,3,-0.0015123357240484,0.0015123357240484,-0.0072981595634097,0.0072981595634097
24,S01,AI / Compute / Digital Infrastructure,2,0.0031363116055769997,0.0031363116055769997,-0.0312120412597236,0.0312120412597236
25,S01,AI / Compute / Digital Infrastructure,3,-0.0002855295127247,0.0002855295127247,0.0138729690242993,0.0138729690242993
26,S01,AI / Compute / Digital Infrastructure,3,-0.0005749499712060015,0.0005749499712060015,0.004974391368723,0.004974391368723
27,S01,AI / Compute / Digital Infrastructure,3,-0.0007432636052044001,0.0007432636052044001,-0.004284561570165,0.004284561570165
28,S01,AI / Compute / Digital Infrastructure,4,0.0038775563012146247,0.0038775563012146247,-0.0003828212947141,0.0003828212947141
29,S01,AI / Compute / Digital Infrastructure,6,0.0038756506731239997,0.0038756506731239997,0.0005910370618961,0.0005910370618961
30,S01,AI / Compute / Digital Infrastructure,6,0.0029797850375339998,0.0029797850375339998,-0.0164626176104256,0.0164626176104256
31,S01,AI / Compute / Digital Infrastructure,6,0.0027641360720519,0.0027641360720519,0.0067270697611475,0.0067270697611475
32,S01,AI / Compute / Digital Infrastructure,5,0.0026560455163492,0.0026560455163492,-2.9990140570888204e-05,2.9990140570888204e-05
33,S01,AI / Compute / Digital Infrastructure,7,0.0015130040720223192,0.0015130040720223192,0.0048159159545982,0.0048159159545982
34,S01,AI / Compute / Digital Infrastructure,5,-0.0004574850599822509,0.0004574850599822509,0.0126267700200857,0.0126267700200857
35,S01,AI / Compute / Digital Infrastructure,5,-0.0003110762564998001,0.0003110762564998001,-0.0246613613736501,0.0246613613736501
36,S01,AI / Compute / Digital Infrastructure,7,0.005057827627626595,0.005057827627626595,0.0281785759812571,0.0281785759812571
37,S01,AI / Compute / Digital Infrastructure,6,0.0154202207884951,0.0154202207884951,0.0231646645293638,0.0231646645293638
38,S01,AI / Compute / Digital Infrastructure,6,0.00015436396540524725,0.00015436396540524725,6.43981556931439e-05,6.43981556931439e-05
39,S01,AI / Compute / Digital Infrastructure,5,-0.0012136559008186,0.0012136559008186,-0.0047691818457908,0.0047691818457908
40,S01,AI / Compute / Digital Infrastructure,5,0.004400718970976759,0.004400718970976759,0.00553998713446,0.00553998713446
41,S01,AI / Compute / Digital Infrastructure,6,0.0027599068822902,0.0027599068822902,0.0034828197343235,0.0034828197343235
42,S01,AI / Compute / Digital Infrastructure,5,-0.0029456476922687146,0.0029456476922687146,-0.0246093538642911,0.0246093538642911
43,S01,AI / Compute / Digital Infrastructure,5,0.0027626338039625354,0.0027626338039625354,0.0202047024805952,0.0202047024805952
44,S01,AI / Compute / Digital Infrastructure,6,0.007663783680051814,0.007663783680051814,0.0131559473403163,0.0131559473403163
45,S01,AI / Compute / Digital Infrastructure,6,0.0052384552946765,0.0052384552946765,0.0193663611725195,0.0193663611725195
46,S01,AI / Compute / Digital Infrastructure,6,-0.003306536564270755,0.003306536564270755,0.0215465414423573,0.0215465414423573
47,S01,AI / Compute / Digital Infrastructure,6,0.0006312581647764701,0.0006312581647764701,-0.0059751641454837,0.0059751641454837
48,S01,AI / Compute / Digital Infrastructure,7,0.0058409132321424456,0.0058409132321424456,0.0252698003019361,0.0252698003019361
49,S01,AI / Compute / Digital Infrastructure,7,-0.0079428545487539,0.0079428545487539,-2.5337452551444826e-06,2.5337452551444826e-06
50,S01,AI / Compute / Digital Infrastructure,6,-0.0042774041819335995,0.0042774041819335995,-0.0253731270417185,0.0253731270417185
51,S01,AI / Compute / Digital Infrastructure,3,0.003712296834914191,0.003712296834914191,0.018242169448524,0.018242169448524
52,S01,AI / Compute / Digital Infrastructure,2,0.0012845201960222999,0.0012845201960222999,-0.0050563676581227,0.0050563676581227
53,S01,AI / Compute / Digital Infrastructure,2,-0.0013427637750992,0.0013427637750992,-0.0108125408351624,0.0108125408351624
54,S01,AI / Compute / Digital Infrastructure,3,-0.0017073964164239998,0.0017073964164239998,-0.0063128062593659,0.0063128062593659
55,S01,AI / Compute / Digital Infrastructure,3,-0.0030373371214848003,0.0030373371214848003,-0.0175185485725618,0.0175185485725618
56,S01,AI / Compute / Digital Infrastructure,5,0.003807374163588381,0.003807374163588381,0.036804289069262,0.036804289069262
57,S01,AI / Compute / Digital Infrastructure,3,-0.0010149205616584,0.0010149205616584,-0.0147803375173818,0.0147803375173818
58,S01,AI / Compute / Digital Infrastructure,2,-0.0014235912541288001,0.0014235912541288001,0.0031069545891763,0.0031069545891763
59,S01,AI / Compute / Digital Infrastructure,2,0.0005312340017457,0.0005312340017457,-0.0046790653000441,0.0046790653000441
1,S02,Power / Energy Infrastructure,1,-0.003892416722291,0.003892416722291,-0.026570510089296,0.026570510089296
2,S02,Power / Energy Infrastructure,1,0.0007520822943494,0.0007520822943494,-0.0356121908414631,0.0356121908414631
3,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0010463437925989,0.0010463437925989
4,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0057917762034896,0.0057917762034896
5,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0026792784585861,0.0026792784585861
6,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0101285285565611,0.0101285285565611
7,S02,Power / Energy Infrastructure,0,0.0,0.0,0.012173374055108,0.012173374055108
8,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0038951094595815,0.0038951094595815
9,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0161165519219697,0.0161165519219697
10,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0089659536708787,0.0089659536708787
11,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0068449511039414,0.0068449511039414
12,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0289931560266946,0.0289931560266946
13,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0119494207845293,0.0119494207845293
14,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0158407516767279,0.0158407516767279
15,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.008876295590203,0.008876295590203
16,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.0141747443189113,0.0141747443189113
17,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0083588027088511,0.0083588027088511
18,S02,Power / Energy Infrastructure,0,0.0,0.0,-0.009238506382375,0.009238506382375
19,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0203271535655298,0.0203271535655298
20,S02,Power / Energy Infrastructure,0,0.0,0.0,0.013974997835212,0.013974997835212
21,S02,Power / Energy Infrastructure,0,0.0,0.0,0.0175925023717133,0.0175925023717133
