theme_code,theme_name,theme_size,tested_randomization,average_pairwise_contribution_correlation,presence_count_vs_abs_commonality_correlation,aggregate_contribution_variance_ratio,share_of_top30_absolute_security_contribution,sync_monte_carlo_p_one_sided,presence_monte_carlo_p_one_sided,sync_null_mean,sync_null_p95,presence_null_mean,presence_null_p95,sync_holm_p,presence_holm_p,sync_exploratory_flag,presence_exploratory_flag
S01,AI / Compute / Digital Infrastructure,9,1,0.06897053941554401,0.08041927779023351,1.4268321598613078,0.33530637535597985,0.35548222588870554,0.5396730163491825,0.058849322545952217,0.11802857850363495,0.08772853951547278,0.2570554137960457,1.0,1.0,0,0
S02,Power / Energy Infrastructure,5,1,0.13588560550459228,0.08833443506028558,1.6250764238162783,0.18198413189133886,0.09419529023548823,0.4568771561421929,0.05814324775908097,0.15935522577762704,0.06755220129326374,0.25558452844558716,0.6593670316484176,1.0,0,0
S03,Electrification / Energy Transition,8,1,0.08355242751573091,-0.019284378365787686,1.6244433937916163,0.3187597638929209,0.2438878056097195,0.8192090395480226,0.059265404146264224,0.125529996382718,0.08360334379474357,0.26090186799538334,1.0,1.0,0,0
S04,Commodity / Resource Scarcity & Pricing,8,1,0.09133235400741076,0.03489033614071729,1.5724201331628007,0.2633493574706663,0.1911904404779761,0.6812659367031648,0.05915733349306522,0.12467916369299074,0.08404904116763949,0.2582740337168589,1.0,1.0,0,0
S05,Capacity Expansion / Supply-Demand Imbalance,15,1,0.061895238892575005,0.07762001793477415,1.9358506739920784,0.523602177327216,0.42357882105894706,0.6464176791160442,0.059083228540753284,0.09431482977242792,0.10938487180948255,0.25185654370763205,1.0,1.0,0,0
S06,Digital Platform / Monetization Shift,4,1,0.18794248492625573,0.11901076544410288,1.2239358418500488,0.14489242418336643,0.049497525123743814,0.35563221838908055,0.059735212530933175,0.18705417966491816,0.062392239222931724,0.25187259699579523,0.3959802009899505,1.0,0,0
S07,Experiential / Consumer Demand,2,0,0.20366050955539486,0.14761531635619893,1.1924155328836297,0.055623657278484256,,,,,,,,,0,0
S08,Real-Asset Occupancy / Demographic Demand,3,1,0.012596890599844068,-0.22335839935868768,1.0374117710544648,0.07217841684815653,0.6696665166741663,0.9742012899355033,0.058635709306800274,0.2303269637440458,0.05323237290996333,0.24755660533109802,1.0,1.0,0,0
S09,Strategic Consolidation / Portfolio Scale,7,1,0.05876507142761889,0.08133079791431899,1.3655632188684022,0.2758593350492998,0.4681265936703165,0.5174741262936853,0.059092169263161444,0.13448961568586384,0.08031648921016114,0.2599229712053438,1.0,1.0,0,0
S10,Recurring Membership / Customer-Loyalty Economics,2,0,0.48881156120320124,0.18040756728060972,1.4834146915005795,0.05233411197345116,,,,,,,,,0,0
