gics_sector,observations,alpha_monthly,beta_spy,beta_sector_equal_weight,r_squared,winner_return_mean,residual_mean,residual_std
Communication Services,59,-0.001132661580778911,0.30943083160093154,0.7351573881135401,0.5848934631733731,0.007669038078468224,5.880418562633244e-20,0.04140994348208809
Consumer Discretionary,59,-0.004114661673139538,0.5208667093579545,0.5893014073301694,0.7609568028357163,0.007643659598743294,-1.1760837125266489e-19,0.031844537204922606
Consumer Staples,59,0.005462109204366246,0.10278967889077933,0.7371779259503891,0.5215676519693023,0.00886459203159277,-3.5282511375799465e-18,0.028308297989923004
Energy,59,0.003019347214308042,0.15098906221376995,1.023029321771844,0.7794517143991851,0.026912635014147212,-2.3521674250532977e-18,0.045567082577946
Financials,59,-0.0008204986417915667,0.03658161072884203,0.7400897536353301,0.7056587315777069,0.00867047577675206,1.2348878981529813e-18,0.027280813831306826
Health Care,59,-0.0007987918140028213,0.017308714679630022,0.9265748524482734,0.6924872337002959,0.004190521870819617,-5.880418562633244e-18,0.030267274284578618
Industrials,59,0.0003748613021942622,-0.08386171383727536,1.0302794248650398,0.8163887822245285,0.012782474753481758,-1.9875814741700365e-17,0.024359219194115926
Information Technology,59,0.0005236624024297999,-0.3820552638384731,1.287934649747219,0.7754648017196688,0.011889099264551546,-9.702690628344854e-18,0.03227381654399878
Materials,59,0.0022780784293218136,0.25013182037327075,0.9113335981702121,0.665574641999282,0.011632790100541059,1.393659199344079e-17,0.04352162538799253
Real Estate,59,0.0015404288638026908,0.20735898631418548,0.7441767435621931,0.7663261719442443,0.008996529335521817,-6.7036771614018985e-18,0.026671015153957003
Utilities,59,-0.0014223123571198524,0.2891936228087799,0.8156062910268472,0.7084491505168135,0.010756446238196153,1.4407025478451449e-18,0.030998939084521938
