stage,component,eigenvalue,explained_variance_ratio,cumulative_explained_variance_ratio
RAW_WINNER,1,5.97634659821301,0.5433042362011828,0.5433042362011828
RAW_WINNER,2,1.0654810551643388,0.09686191410584899,0.6401661503070318
RAW_WINNER,3,0.9964998931344743,0.09059089937586132,0.7307570496828931
RAW_WINNER,4,0.6345766310746622,0.05768878464315112,0.7884458343260442
RAW_WINNER,5,0.579902124522941,0.05271837495663101,0.8411642092826752
RAW_WINNER,6,0.45249153925192187,0.04113559447744745,0.8822998037601226
RAW_WINNER,7,0.40229477436802175,0.03657225221527471,0.9188720559753973
RAW_WINNER,8,0.2982046585661315,0.027109514415102866,0.9459815703905002
RAW_WINNER,9,0.27296828718547606,0.02481529883504328,0.9707968692255435
RAW_WINNER,10,0.21159119070917215,0.019235562791742926,0.9900324320172864
RAW_WINNER,11,0.10964324780984949,0.009967567982713591,1.0
ACTIVE_VS_SECTOR,1,3.277305264236213,0.29793684220329203,0.29793684220329203
ACTIVE_VS_SECTOR,2,1.3968065757142398,0.1269824159740218,0.4249192581773138
ACTIVE_VS_SECTOR,3,1.1001956245617455,0.10001778405106776,0.5249370422283816
ACTIVE_VS_SECTOR,4,1.0322013758753823,0.09383648871594383,0.6187735309443254
ACTIVE_VS_SECTOR,5,0.9126890673036261,0.08297173339123873,0.7017452643355642
ACTIVE_VS_SECTOR,6,0.842433404780241,0.07658485498002189,0.778330119315586
ACTIVE_VS_SECTOR,7,0.6968947108477926,0.06335406462252659,0.8416841839381126
ACTIVE_VS_SECTOR,8,0.551930608890937,0.05017550989917609,0.8918596938372887
ACTIVE_VS_SECTOR,9,0.5151449017699867,0.046831354706362426,0.9386910485436512
ACTIVE_VS_SECTOR,10,0.39869017634417947,0.03624456148583449,0.9749356100294857
ACTIVE_VS_SECTOR,11,0.2757082896756567,0.02506438997051424,0.9999999999999999
RESIDUAL_SPY_PLUS_SECTOR,1,2.9643261398731644,0.2694841945339241,0.2694841945339241
RESIDUAL_SPY_PLUS_SECTOR,2,1.4689831688510602,0.1335439244410055,0.4030281189749296
RESIDUAL_SPY_PLUS_SECTOR,3,1.1566422047377356,0.10514929133979416,0.5081774103147237
RESIDUAL_SPY_PLUS_SECTOR,4,1.0936055266433773,0.09941868424030705,0.6075960945550308
RESIDUAL_SPY_PLUS_SECTOR,5,0.8990345093719709,0.08173040994290647,0.6893265044979373
RESIDUAL_SPY_PLUS_SECTOR,6,0.871469336426989,0.07922448512972628,0.7685509896276635
RESIDUAL_SPY_PLUS_SECTOR,7,0.6690769222153005,0.060825174746845505,0.829376164374509
RESIDUAL_SPY_PLUS_SECTOR,8,0.5984832952091921,0.05440757229174474,0.8837837366662538
RESIDUAL_SPY_PLUS_SECTOR,9,0.5541247046730595,0.050374973152096325,0.9341587098183501
RESIDUAL_SPY_PLUS_SECTOR,10,0.459538952960394,0.04177626845094491,0.9759349782692951
RESIDUAL_SPY_PLUS_SECTOR,11,0.2647152390377552,0.02406502173070502,1.0000000000000002
