gics_sector,mean_current_winner_retention,median_current_winner_retention,mean_previous_winner_survival,mean_jaccard_similarity,mean_entrant_count,mean_exit_count
Communication Services,0.7279661016949153,0.75,0.7245762711864406,0.6058918482647296,1.1864406779661016,1.2033898305084745
Consumer Discretionary,0.7380243109056668,0.75,0.7349768875192605,0.5961634908793433,2.7966101694915255,2.847457627118644
Consumer Staples,0.7788539144471347,0.8333333333333334,0.7808716707021791,0.6532216841538875,1.4406779661016949,1.423728813559322
Energy,0.7711864406779662,0.75,0.7711864406779662,0.6681194511702986,0.9152542372881356,0.9152542372881356
Financials,0.6892779536847333,0.7142857142857143,0.6909107841311231,0.54118251306686,4.254237288135593,4.220338983050848
Health Care,0.7463059539330726,0.75,0.7460886571056062,0.6049770103608588,3.0508474576271185,3.0508474576271185
Industrials,0.7488801452784504,0.7857142857142857,0.7506053268765133,0.6099101628054243,3.6610169491525424,3.6271186440677967
Information Technology,0.7419910597876699,0.7333333333333333,0.7413112311417396,0.595775052814461,3.5254237288135593,3.542372881355932
Materials,0.711864406779661,0.8,0.711864406779661,0.5758676351896691,1.4406779661016949,1.4406779661016949
Real Estate,0.7401129943502824,0.8,0.7423728813559322,0.6146489104116223,1.4915254237288136,1.4915254237288136
Utilities,0.7661016949152543,0.8,0.768361581920904,0.6396287328490718,1.305084745762712,1.2881355932203389
