security_key,project_ticker,winner_months,first_winner_month,last_winner_month,eligible_months,gics_sectors_seen,winner_sector_count,latest_winner_sector,max_consecutive_winner_streak,winner_share_of_eligible_months
PWR,PWR,47,1,60,60,Industrials,1,Industrials,17,0.7833333333333333
LLY,LLY,44,2,60,60,Health Care,1,Health Care,35,0.7333333333333333
IRM,IRM,42,2,50,60,Real Estate,1,Real Estate,30,0.7
HWM,HWM,42,3,60,60,Industrials,1,Industrials,22,0.7
GE,GE,39,5,60,60,Industrials,1,Industrials,25,0.65
NVDA,NVDA,39,1,57,60,Information Technology,1,Information Technology,24,0.65
ANET,ANET,39,8,57,60,Information Technology,1,Information Technology,18,0.65
SPG,SPG,38,3,60,60,Real Estate,1,Real Estate,13,0.6333333333333333
AVGO,AVGO,36,2,60,60,Information Technology,1,Information Technology,11,0.6
MCK,MCK,35,14,60,60,Health Care,1,Health Care,14,0.5833333333333334
NRG,NRG,34,1,60,60,Utilities,1,Utilities,17,0.5666666666666667
WMT,WMT,32,1,59,60,Consumer Staples,1,Consumer Staples,30,0.5333333333333333
CEG,CEG,32,25,60,36,Utilities,1,Utilities,26,0.8888888888888888
CAH,CAH,32,21,60,60,Health Care,1,Health Care,21,0.5333333333333333
COR,COR,32,14,60,60,Health Care,1,Health Care,11,0.5333333333333333
URI,URI,31,1,48,60,Industrials,1,Industrials,12,0.5166666666666667
TSLA,TSLA,31,1,59,60,Consumer Discretionary,1,Consumer Discretionary,9,0.5166666666666667
RCL,RCL,30,3,58,60,Consumer Discretionary,1,Consumer Discretionary,29,0.5
COST,COST,30,1,55,60,Consumer Staples,1,Consumer Staples,20,0.5
CBRE,CBRE,30,3,60,60,Real Estate,1,Real Estate,17,0.5
NFLX,NFLX,29,1,57,60,Communication Services,1,Communication Services,13,0.48333333333333334
PGR,PGR,29,1,54,60,Financials,1,Financials,13,0.48333333333333334
BSX,BSX,28,28,57,60,Health Care,1,Health Care,25,0.4666666666666667
NUE,NUE,27,4,60,60,Materials,1,Materials,15,0.45
WELL,WELL,27,32,60,60,Real Estate,1,Real Estate,14,0.45
HCA,HCA,27,3,60,60,Health Care,1,Health Care,13,0.45
FICO,FICO,26,27,53,34,Information Technology,1,Information Technology,14,0.7647058823529411
ISRG,ISRG,26,5,55,60,Health Care,1,Health Care,13,0.43333333333333335
MOS,MOS,26,3,59,60,Materials,1,Materials,11,0.43333333333333335
GS,GS,26,2,60,60,Financials,1,Financials,10,0.43333333333333335
PH,PH,26,1,60,60,Industrials,1,Industrials,8,0.43333333333333335
KLAC,KLAC,26,2,60,60,Information Technology,1,Information Technology,7,0.43333333333333335
AXON,AXON,25,29,58,32,Industrials,1,Industrials,18,0.78125
AJG,AJG,25,1,54,60,Financials,1,Financials,11,0.4166666666666667
MPC,MPC,24,22,60,60,Energy,1,Energy,20,0.4
GWW,GWW,24,1,44,60,Industrials,1,Industrials,18,0.4
ADM,ADM,24,2,60,60,Consumer Staples,1,Consumer Staples,15,0.4
TT,TT,24,1,55,60,Industrials,1,Industrials,13,0.4
KR,KR,24,9,57,60,Consumer Staples,1,Consumer Staples,11,0.4
META,META,23,13,56,60,Communication Services,1,Communication Services,21,0.38333333333333336
PM,PM,23,6,60,60,Consumer Staples,1,Consumer Staples,17,0.38333333333333336
TPR,TPR,23,3,60,60,Consumer Discretionary,1,Consumer Discretionary,15,0.38333333333333336
FTNT,FTNT,23,7,55,60,Information Technology,1,Information Technology,13,0.38333333333333336
VRTX,VRTX,23,17,52,60,Health Care,1,Health Care,11,0.38333333333333336
SYF,SYF,23,3,57,60,Financials,1,Financials,9,0.38333333333333336
RTX,RTX,23,10,60,60,Industrials,1,Industrials,7,0.38333333333333336
DVN,DVN,22,2,23,60,Energy,1,Energy,22,0.36666666666666664
JCI,JCI,22,3,60,60,Industrials,1,Industrials,12,0.36666666666666664
PEG,PEG,22,1,50,60,Utilities,1,Utilities,12,0.36666666666666664
CNP,CNP,22,3,58,60,Utilities,1,Utilities,11,0.36666666666666664
COF,COF,22,3,58,60,Financials,1,Financials,10,0.36666666666666664
MNST,MNST,22,1,60,60,Consumer Staples,1,Consumer Staples,9,0.36666666666666664
LRCX,LRCX,22,1,60,60,Information Technology,1,Information Technology,8,0.36666666666666664
MS,MS,22,1,60,60,Financials,1,Financials,7,0.36666666666666664
RL,RL,22,10,60,60,Consumer Discretionary,1,Consumer Discretionary,7,0.36666666666666664
PHM,PHM,21,27,47,60,Consumer Discretionary,1,Consumer Discretionary,21,0.35
IPG,IPG,21,5,31,58,Communication Services,1,Communication Services,14,0.3620689655172414
ALB,ALB,21,1,60,60,Materials,1,Materials,12,0.35
STX,STX,21,5,60,60,Information Technology,1,Information Technology,11,0.35
WRB,WRB,21,16,60,60,Financials,1,Financials,11,0.35
DFS,DFS,21,1,52,52,Financials,1,Financials,10,0.40384615384615385
CTVA,CTVA,21,17,58,60,Materials,1,Materials,10,0.35
ENPH,ENPH,21,1,28,56,Information Technology,1,Information Technology,9,0.375
WFC,WFC,21,8,59,60,Financials,1,Financials,8,0.35
TDG,TDG,20,27,46,60,Industrials,1,Industrials,20,0.3333333333333333
ETN,ETN,20,8,48,60,Industrials,1,Industrials,15,0.3333333333333333
ORLY,ORLY,20,13,57,60,Consumer Discretionary,1,Consumer Discretionary,14,0.3333333333333333
VTR,VTR,20,3,60,60,Real Estate,1,Real Estate,14,0.3333333333333333
LYV,LYV,20,6,57,60,Communication Services,1,Communication Services,13,0.3333333333333333
