gics_sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
Communication Services,1.0,0.5839499390718136,0.30374180764846737,0.36325998843704943,0.44137809513032117,0.45862356347988015,0.5154054126482025,0.6417174184216202,0.46499641621525295,0.4500267976601705,0.38489175916749324
Consumer Discretionary,0.5839499390718136,1.0,0.45480665646395324,0.2607861903050929,0.6333910534683774,0.5755050182956825,0.8275687876743926,0.6431153663906066,0.5694995901450471,0.6704828660076043,0.5248812125536407
Consumer Staples,0.30374180764846737,0.45480665646395324,1.0,0.23815188595431983,0.4356107425679355,0.5155296665367197,0.47633724722142023,0.15758998530252907,0.5146865491881853,0.6105829001468153,0.4600215167589417
Energy,0.36325998843704943,0.2607861903050929,0.23815188595431983,1.0,0.5096993881309149,0.18207551425694718,0.31947164495487507,0.20437600799574362,0.43297860004481314,0.2603667417726074,0.3023073406496904
Financials,0.44137809513032117,0.6333910534683774,0.4356107425679355,0.5096993881309149,1.0,0.509861114154622,0.7468585246228172,0.34373144802426936,0.572255436722428,0.525965084217945,0.4788529355167561
Health Care,0.45862356347988015,0.5755050182956825,0.5155296665367197,0.18207551425694718,0.509861114154622,1.0,0.6514814420758861,0.4291469934794841,0.5064652370462297,0.5928894420914841,0.4511258598366486
Industrials,0.5154054126482025,0.8275687876743926,0.47633724722142023,0.31947164495487507,0.7468585246228172,0.6514814420758861,1.0,0.5585718787255269,0.615708255984487,0.6053678263278939,0.6050114550368818
Information Technology,0.6417174184216202,0.6431153663906066,0.15758998530252907,0.20437600799574362,0.34373144802426936,0.4291469934794841,0.5585718787255269,1.0,0.43393919237156114,0.4676123739321827,0.44501081650244095
Materials,0.46499641621525295,0.5694995901450471,0.5146865491881853,0.43297860004481314,0.572255436722428,0.5064652370462297,0.615708255984487,0.43393919237156114,1.0,0.6791740064566054,0.5064774850589683
Real Estate,0.4500267976601705,0.6704828660076043,0.6105829001468153,0.2603667417726074,0.525965084217945,0.5928894420914841,0.6053678263278939,0.4676123739321827,0.6791740064566054,1.0,0.6188689468167231
Utilities,0.38489175916749324,0.5248812125536407,0.4600215167589417,0.3023073406496904,0.4788529355167561,0.4511258598366486,0.6050114550368818,0.44501081650244095,0.5064774850589683,0.6188689468167231,1.0
