gics_sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
Communication Services,1.0,0.1837225645000137,0.14401038895703405,0.10622794484740403,0.036703894619090585,0.1993312580731072,0.25327327928387317,0.4071754616855305,0.14141774891957948,0.08982303070799214,0.2169895011011577
Consumer Discretionary,0.1837225645000137,1.0,0.10945075511683167,-0.07533421576930271,0.17812843792838345,0.17115105072322997,0.48736083837333666,0.27341262167412705,-0.12026901071390506,0.08945725237579477,0.0809164213625483
Consumer Staples,0.14401038895703405,0.10945075511683167,1.0,0.01674765157169261,0.2190429631931354,0.20222617059323375,0.14456740956803235,0.07561751157704016,0.27366481495394224,0.18442653872936318,0.07364540293194566
Energy,0.10622794484740403,-0.07533421576930271,0.01674765157169261,1.0,0.1338644110233168,0.21760536533884534,0.06447372421200365,0.2675291282013603,0.1368894592472938,0.18951629200338968,0.226755663034967
Financials,0.036703894619090585,0.17812843792838345,0.2190429631931354,0.1338644110233168,1.0,0.32084266335208783,0.46298676775195385,0.2281343080342149,0.06492789058930269,0.25544853069305595,0.32441648380048027
Health Care,0.1993312580731072,0.17115105072322997,0.20222617059323375,0.21760536533884534,0.32084266335208783,1.0,0.5421439844682983,0.30889992295160335,0.2082475355558554,0.16132167886360577,0.11556063787014575
Industrials,0.25327327928387317,0.48736083837333666,0.14456740956803235,0.06447372421200365,0.46298676775195385,0.5421439844682983,1.0,0.3008779387974103,-0.05963511517821549,0.0613756165854896,0.3272516804019104
Information Technology,0.4071754616855305,0.27341262167412705,0.07561751157704016,0.2675291282013603,0.2281343080342149,0.30889992295160335,0.3008779387974103,1.0,0.1386217818675053,0.22936710236601268,0.2435673169129888
Materials,0.14141774891957948,-0.12026901071390506,0.27366481495394224,0.1368894592472938,0.06492789058930269,0.2082475355558554,-0.05963511517821549,0.1386217818675053,1.0,0.19173468519636583,0.06403518431540658
Real Estate,0.08982303070799214,0.08945725237579477,0.18442653872936318,0.18951629200338968,0.25544853069305595,0.16132167886360577,0.0613756165854896,0.22936710236601268,0.19173468519636583,1.0,0.1349511388163669
Utilities,0.2169895011011577,0.0809164213625483,0.07364540293194566,0.226755663034967,0.32441648380048027,0.11556063787014575,0.3272516804019104,0.2435673169129888,0.06403518431540658,0.1349511388163669,1.0
