gics_sector,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities
Communication Services,1.0,0.2843163883420859,0.17571890032770315,0.10813419787116003,0.13146689807141704,0.2309948576237741,0.2774609184150397,0.4447146725292946,0.17536025036122707,0.222943877208942,0.29216617422066016
Consumer Discretionary,0.2843163883420859,1.0,0.17185209253017975,0.0023207113452390748,0.25532980017301116,0.25150976546928794,0.49554849749174457,0.40421697372698445,-0.05578708856754867,0.1992640386578441,0.09686303549459108
Consumer Staples,0.17571890032770315,0.17185209253017975,1.0,0.03571167744973509,0.21719631205464746,0.22961665473303458,0.18143203220535725,0.16303285905912576,0.3006224348895106,0.13906198891534072,0.13707482257988193
Energy,0.10813419787116003,0.0023207113452390748,0.03571167744973509,1.0,0.08754912356890494,0.19434293211263756,0.03742738712897795,0.2620047480654315,0.17398525986372007,0.19403174175318816,0.24665353095904022
Financials,0.13146689807141704,0.25532980017301116,0.21719631205464746,0.08754912356890494,1.0,0.36725387054391484,0.4508051192597466,0.2649328192352886,0.023173557698157814,0.4262851066118471,0.24911273592228597
Health Care,0.2309948576237741,0.25150976546928794,0.22961665473303458,0.19434293211263756,0.36725387054391484,1.0,0.5432627221431996,0.3040199686951567,0.2263920913403917,0.21365990460655238,0.13112684943629188
Industrials,0.2774609184150397,0.49554849749174457,0.18143203220535725,0.03742738712897795,0.4508051192597466,0.5432627221431996,1.0,0.27743590881307306,-0.05178992759649201,0.1550940484517972,0.31376374063550155
Information Technology,0.4447146725292946,0.40421697372698445,0.16303285905912576,0.2620047480654315,0.2649328192352886,0.3040199686951567,0.27743590881307306,1.0,0.1578230462923044,0.28025137878688067,0.2840772976719088
Materials,0.17536025036122707,-0.05578708856754867,0.3006224348895106,0.17398525986372007,0.023173557698157814,0.2263920913403917,-0.05178992759649201,0.1578230462923044,1.0,0.18148676408898876,0.1326819732419476
Real Estate,0.222943877208942,0.1992640386578441,0.13906198891534072,0.19403174175318816,0.4262851066118471,0.21365990460655238,0.1550940484517972,0.28025137878688067,0.18148676408898876,1.0,0.1490254646184766
Utilities,0.29216617422066016,0.09686303549459108,0.13707482257988193,0.24665353095904022,0.24911273592228597,0.13112684943629188,0.31376374063550155,0.2840772976719088,0.1326819732419476,0.1490254646184766,1.0
