analysis_month_number,positive_winner_sectors,winner_beats_sector_baseline_count,mean_winner_sector_return,cross_sector_winner_return_std,mean_winner_active_vs_sector,cross_sector_active_return_std,commonality_factor_equal_weight_residual,positive_residual_sector_count,cross_sector_residual_std
1,8,2,0.036082867343639934,0.05869219972798222,-0.03061093565131903,0.039992176619306256,-0.02657051008929606,3,0.03912166276587902
2,6,1,0.018073923377850312,0.05254085550890179,-0.03790752984157711,0.032523424494762934,-0.03561219084146316,1,0.03614067181776985
3,9,5,0.04462539358581181,0.045442244075429614,-0.0013795257167085967,0.036605110595813825,-0.0010463437925989133,6,0.037775910142385474
4,9,7,0.026876119311221622,0.03574109531710348,0.005354844715916877,0.017385744199159156,0.005791776203489693,6,0.018835697245195477
5,5,5,0.003764071362654592,0.06216696460992719,0.002926281302078405,0.039541359187915175,-0.0026792784585861333,4,0.04026205872854656
6,6,3,-0.0021107465628472767,0.058204802085648676,-0.007205934618448764,0.03015956190560612,-0.010128528556561172,2,0.031078491816276223
7,10,9,0.03434555030495622,0.021994204614433806,0.013091188192736254,0.020574288057625022,0.012173374055108033,9,0.020068838742750682
8,2,6,-0.02732762817143595,0.06853980914321302,0.0033727803170629025,0.024338116206488587,0.0038951094595815025,5,0.025107471699222582
9,10,7,0.07170526306994245,0.04367728433672976,0.02074777079915719,0.03245417068827518,0.016116551921969733,8,0.02689625045479636
10,1,3,-0.03208200249316766,0.03694837908211583,-0.004420773925408974,0.022561038088831715,-0.008965953670878752,2,0.02244309892797585
11,11,4,0.05681143570362104,0.039130543401355224,-0.010384438294604417,0.021638528951196247,-0.006844951103941435,4,0.023610416745485432
12,2,1,-0.05557089324526891,0.094926076915679,-0.03128600638204453,0.024322158408078394,-0.02899315602669469,1,0.026202873510228302
13,4,5,0.0045968992854663665,0.07015923394804302,0.010174787312055504,0.05044243707669927,0.011949420784529308,5,0.050870940820433655
14,9,7,0.05509229972126118,0.05235113474754379,0.019061422644651327,0.0474970066952606,0.015840751676727997,7,0.046355676983831334
15,0,2,-0.06841477371614124,0.0411124715247742,-0.014224937879781048,0.013904262234230058,-0.008876295590203039,4,0.018020692881951197
16,3,4,0.006433367990752229,0.08517032334565919,-0.011039152763691351,0.032428984553194456,-0.014174744318911376,3,0.03127846562261869
17,0,6,-0.08789202034334763,0.06651655518339579,0.009094267239673222,0.04411799945491094,0.008358802708851157,7,0.039168349379661425
18,10,5,0.07440037261907852,0.05354966852228765,-0.004653118055052805,0.040012234603660816,-0.00923850638237508,4,0.03247999737980487
19,3,9,-0.008930038763939564,0.03673740774377634,0.01893530044867473,0.02493292382240816,0.02032715356552983,9,0.021239667236596198
20,0,8,-0.08244130760198748,0.036311301513395386,0.015041052508536186,0.019543886425064372,0.013974997835212005,9,0.019576931928712644
21,11,8,0.11568461740932685,0.06706830862106404,0.018789820722104878,0.02201370943244911,0.017592502371713368,8,0.02274187259664233
22,10,1,0.03518085473537265,0.03302756041879776,-0.03187528870671719,0.03093680746102004,-0.030404766723900186,1,0.03226005100560356
23,0,6,-0.05549009133731946,0.04083600206494659,-0.00839581755184056,0.04325780116085779,-0.0072981595634097,6,0.03878314498564107
24,8,4,0.03853999733943751,0.050070280932357374,-0.03347195981390299,0.045585364243271656,-0.031212041259723676,2,0.035862564286809374
25,2,8,-0.022503514676226164,0.02566215747444898,0.01715503530342955,0.019278749863375383,0.013872969024299318,8,0.019738427824383818
26,8,6,0.010074047684623447,0.03991899900784823,0.013711756849845507,0.031156538699848312,0.004974391368723002,5,0.026654112153762923
27,6,5,5.3294402498075723e-05,0.03959152587372703,-0.0051413115062268885,0.029454009713167497,-0.004284561570165012,6,0.0329877145138733
28,2,7,-0.03428821846602514,0.058978823049349066,0.010661889120796943,0.026347916008195242,-0.00038282129471419406,6,0.027555625187224105
29,10,5,0.07307502428804696,0.04881292448637122,-0.00021628464967596642,0.02737487357523586,0.0005910370618961249,5,0.02385408623555056
30,7,4,0.0222644183764755,0.042024753340169946,-0.016112902933293042,0.02706548560790929,-0.01646261761042568,3,0.02756816581782786
31,3,8,-0.018909348519991466,0.02861891730111478,0.010997364126945259,0.025555781455017315,0.006727069761147586,8,0.02353235656670286
32,1,6,-0.04805433895863229,0.032645140125189355,0.001785042940357668,0.02129783653699729,-2.9990140570888204e-05,6,0.020509765604123476
33,2,7,-0.02888639184738083,0.029762559816457264,0.006785651909057683,0.016562756859214982,0.004815915954598254,6,0.01894209154739148
34,11,7,0.09702103964262725,0.044291195804127687,0.014280629719577255,0.03140523539873297,0.012626770020085727,7,0.03016078316973056
35,9,1,0.0354241924695711,0.043761169289934475,-0.027585922778605432,0.03373626973586585,-0.024661361373650156,1,0.03434305314587468
36,7,10,0.021368921440040968,0.03717214550120385,0.032607715467223304,0.024053627070436918,0.028178575981257194,9,0.028188056632867928
37,11,10,0.062240121349394564,0.03196615241144318,0.027588393651673183,0.02708496736567298,0.023164664529363863,10,0.023411620077299574
