analysis_month_number,gics_sector,previous_winner_count,current_winner_count,overlap_count,entrant_count,exit_count,current_winner_retention,previous_winner_survival,jaccard_similarity
2,Communication Services,5,5,2,3,3,0.4,0.4,0.25
2,Consumer Discretionary,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
2,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
2,Energy,4,4,3,1,1,0.75,0.75,0.6
2,Financials,13,13,9,4,4,0.6923076923076923,0.6923076923076923,0.5294117647058824
2,Health Care,12,12,9,3,3,0.75,0.75,0.6
2,Industrials,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.6470588235294118
2,Information Technology,14,15,11,4,3,0.7333333333333333,0.7857142857142857,0.6111111111111112
2,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
2,Real Estate,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
2,Utilities,5,5,5,0,0,1.0,1.0,1.0
3,Communication Services,5,5,3,2,2,0.6,0.6,0.42857142857142855
3,Consumer Discretionary,12,12,4,8,8,0.3333333333333333,0.3333333333333333,0.2
3,Consumer Staples,6,6,3,3,3,0.5,0.5,0.3333333333333333
3,Energy,4,4,1,3,3,0.25,0.25,0.14285714285714285
3,Financials,13,13,7,6,6,0.5384615384615384,0.5384615384615384,0.3684210526315789
3,Health Care,12,12,7,5,5,0.5833333333333334,0.5833333333333334,0.4117647058823529
3,Industrials,14,14,7,7,7,0.5,0.5,0.3333333333333333
3,Information Technology,15,14,7,7,8,0.5,0.4666666666666667,0.3181818181818182
3,Materials,5,5,3,2,2,0.6,0.6,0.42857142857142855
3,Real Estate,6,5,1,4,5,0.2,0.16666666666666666,0.1
3,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
4,Communication Services,5,5,5,0,0,1.0,1.0,1.0
4,Consumer Discretionary,12,12,9,3,3,0.75,0.75,0.6
4,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
4,Energy,4,4,2,2,2,0.5,0.5,0.3333333333333333
4,Financials,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.7333333333333333
4,Health Care,12,12,9,3,3,0.75,0.75,0.6
4,Industrials,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.6470588235294118
4,Information Technology,14,15,11,4,3,0.7333333333333333,0.7857142857142857,0.6111111111111112
4,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
4,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
4,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
5,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
5,Consumer Discretionary,12,12,9,3,3,0.75,0.75,0.6
5,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
5,Energy,4,4,1,3,3,0.25,0.25,0.14285714285714285
5,Financials,13,13,9,4,4,0.6923076923076923,0.6923076923076923,0.5294117647058824
5,Health Care,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
5,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
5,Information Technology,15,14,12,2,3,0.8571428571428571,0.8,0.7058823529411765
5,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
5,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
5,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
6,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
6,Consumer Discretionary,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
6,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
6,Energy,4,4,3,1,1,0.75,0.75,0.6
6,Financials,13,13,12,1,1,0.9230769230769231,0.9230769230769231,0.8571428571428571
6,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
6,Industrials,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.75
6,Information Technology,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
6,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
6,Real Estate,5,5,5,0,0,1.0,1.0,1.0
6,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
7,Communication Services,5,5,5,0,0,1.0,1.0,1.0
7,Consumer Discretionary,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
7,Consumer Staples,6,6,5,1,1,0.8333333333333334,0.8333333333333334,0.7142857142857143
7,Energy,4,4,4,0,0,1.0,1.0,1.0
7,Financials,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
7,Health Care,12,12,9,3,3,0.75,0.75,0.6
7,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
7,Information Technology,14,14,12,2,2,0.8571428571428571,0.8571428571428571,0.75
7,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
7,Real Estate,5,5,3,2,2,0.6,0.6,0.42857142857142855
7,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
8,Communication Services,5,5,3,2,2,0.6,0.6,0.42857142857142855
8,Consumer Discretionary,12,12,7,5,5,0.5833333333333334,0.5833333333333334,0.4117647058823529
8,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
8,Energy,4,4,3,1,1,0.75,0.75,0.6
8,Financials,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.7333333333333333
8,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
8,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
8,Information Technology,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
8,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
8,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
8,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
9,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
9,Consumer Discretionary,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
9,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
9,Energy,4,4,3,1,1,0.75,0.75,0.6
9,Financials,13,13,11,2,2,0.8461538461538461,0.8461538461538461,0.7333333333333333
9,Health Care,12,12,9,3,3,0.75,0.75,0.6
9,Industrials,14,14,13,1,1,0.9285714285714286,0.9285714285714286,0.8666666666666667
9,Information Technology,14,15,12,3,2,0.8,0.8571428571428571,0.7058823529411765
9,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
9,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
9,Utilities,5,5,3,2,2,0.6,0.6,0.42857142857142855
10,Communication Services,5,5,3,2,2,0.6,0.6,0.42857142857142855
10,Consumer Discretionary,12,12,7,5,5,0.5833333333333334,0.5833333333333334,0.4117647058823529
10,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
10,Energy,4,4,4,0,0,1.0,1.0,1.0
10,Financials,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
10,Health Care,12,12,10,2,2,0.8333333333333334,0.8333333333333334,0.7142857142857143
10,Industrials,14,14,10,4,4,0.7142857142857143,0.7142857142857143,0.5555555555555556
10,Information Technology,15,15,12,3,3,0.8,0.8,0.6666666666666666
10,Materials,5,5,4,1,1,0.8,0.8,0.6666666666666666
10,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
10,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
11,Communication Services,5,5,2,3,3,0.4,0.4,0.25
11,Consumer Discretionary,12,12,6,6,6,0.5,0.5,0.3333333333333333
11,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
11,Energy,4,4,4,0,0,1.0,1.0,1.0
11,Financials,13,13,8,5,5,0.6153846153846154,0.6153846153846154,0.4444444444444444
11,Health Care,12,12,9,3,3,0.75,0.75,0.6
11,Industrials,14,14,8,6,6,0.5714285714285714,0.5714285714285714,0.4
11,Information Technology,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.5
11,Materials,5,5,5,0,0,1.0,1.0,1.0
11,Real Estate,5,5,2,3,3,0.4,0.4,0.25
11,Utilities,5,5,4,1,1,0.8,0.8,0.6666666666666666
12,Communication Services,5,5,4,1,1,0.8,0.8,0.6666666666666666
12,Consumer Discretionary,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
12,Consumer Staples,6,6,4,2,2,0.6666666666666666,0.6666666666666666,0.5
12,Energy,4,4,3,1,1,0.75,0.75,0.6
12,Financials,13,13,10,3,3,0.7692307692307693,0.7692307692307693,0.625
12,Health Care,12,12,8,4,4,0.6666666666666666,0.6666666666666666,0.5
12,Industrials,14,14,11,3,3,0.7857142857142857,0.7857142857142857,0.6470588235294118
12,Information Technology,15,15,10,5,5,0.6666666666666666,0.6666666666666666,0.5
12,Materials,5,5,5,0,0,1.0,1.0,1.0
12,Real Estate,5,5,4,1,1,0.8,0.8,0.6666666666666666
